multiplicador_baja,multiplicador_neutral,multiplicador_sube,accuracy,balanced_accuracy,f1_macro,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube
1.5,1.0,1.4,0.5478748097412481,0.41699968790494674,0.41804638313707804,87646,346998,90956,16.675418569254184,66.01940639269407,17.30517503805175
1.5,1.0,1.45,0.5457363013698631,0.4180001300796073,0.41636234533361577,69755,341503,114342,13.271499238964992,64.97393455098934,21.754566210045663
1.5,1.0,1.35,0.5486187214611872,0.4157208200058349,0.41533405896552206,104158,350871,70571,19.81697108066971,66.75627853881278,13.426750380517504
1.45,1.0,1.35,0.553451293759513,0.4138605351779439,0.4144112246169396,81374,359015,85211,15.482115677321156,68.30574581430746,16.212138508371385
1.45,1.0,1.4,0.5521232876712329,0.41556975500228993,0.4135855194073372,64552,353636,107412,12.28158295281583,67.28234398782345,20.43607305936073
1.45,1.0,1.3,0.5541609589041095,0.41262418787638805,0.4116797996168371,96878,362838,65884,18.431887366818874,69.03310502283105,12.535007610350076
1.5,1.0,1.5,0.5426369863013699,0.4194623292819304,0.4107270953057523,51593,334194,139813,9.816019786910198,63.583333333333336,26.600646879756468
1.5,1.0,1.3,0.5490791476407915,0.41507458600934494,0.410394616393759,118260,353518,53822,22.5,67.25989345509893,10.240106544901066
1.4,1.0,1.3,0.5586624809741249,0.4106685595484921,0.4103568172698538,75171,370828,79601,14.301940639269406,70.55327245053272,15.144786910197869
1.4,1.0,1.35,0.5572831050228311,0.41215139944731477,0.40942149939784706,59440,365567,100593,11.308980213089802,69.55232115677322,19.138698630136986
1.75,1.0,1.5,0.5125285388127854,0.41976718203791163,0.4088988672349973,170622,297432,57546,32.46232876712329,56.589041095890416,10.948630136986301
1.75,1.0,1.75,0.5019634703196347,0.4217937396987861,0.4086709761337202,70303,274173,181124,13.37576103500761,52.16381278538813,34.46042617960426
1.45,1.0,1.45,0.5492979452054795,0.41721842135442416,0.4083082051013332,47508,346433,131659,9.038812785388128,65.9119101978691,25.04927701674277
1.4,1.0,1.25,0.5594254185692542,0.4095726887791744,0.40775611263218225,89650,374542,61408,17.05669710806697,71.25989345509893,11.683409436834093
1.45,1.0,1.25,0.5547469558599696,0.41222996167774406,0.4070684923364542,110147,365368,50085,20.95643074581431,69.5144596651446,9.529109589041095
1.35,1.0,1.25,0.5635654490106545,0.4075594998776622,0.4060314098125797,69330,382108,74162,13.190639269406393,72.69939117199391,14.109969558599694
1.4,1.0,1.4,0.5554071537290716,0.4146474821134203,0.4052171061846736,43500,358493,123607,8.276255707762557,68.2064307458143,23.517313546423136
1.35,1.0,1.3,0.5622412480974125,0.409001084883803,0.40518868782121514,54510,377039,94051,10.371004566210045,71.73496955859969,17.89402587519026
1.35,1.0,1.2,0.5642865296803653,0.4065061412282387,0.4034264944852435,82997,385669,56934,15.790905631659054,73.37690258751903,10.832191780821917
1.5,1.0,1.25,0.5488070776255708,0.41388607118431914,0.40309230731439455,129675,355269,40656,24.671803652968034,67.59303652968036,7.735159817351598
1.4,1.0,1.2,0.5598059360730594,0.4089453037183441,0.4028940991040148,102192,376966,46442,19.442922374429227,71.7210806697108,8.835996955859969
1.3,1.0,1.2,0.5679927701674277,0.404469857847467,0.4014203035988982,63808,392858,68934,12.140030441400304,74.74467275494673,13.115296803652967
2.0,1.0,1.75,0.4692199391171994,0.4167753944995918,0.401408055792607,207774,240887,76939,39.53082191780822,45.8308599695586,14.638318112633181
1.35,1.0,1.35,0.5604908675799086,0.4114404883853051,0.4013241632428162,39735,370190,115675,7.559931506849315,70.43188736681887,22.00818112633181
1.3,1.0,1.25,0.5667256468797565,0.40591413603334797,0.4007496486012294,50018,387941,87641,9.516362252663622,73.8091704718417,16.674467275494674
1.45,1.0,1.2,0.5543949771689498,0.4109985965563809,0.39979344010058937,120936,367039,37625,23.009132420091323,69.83238203957382,7.158485540334855
1.45,1.0,1.5,0.5450342465753425,0.41860738872708586,0.3993342351783824,32303,337506,155791,6.145928462709285,64.21347031963471,29.64060121765601
