multiplicador_baja,multiplicador_neutral,multiplicador_sube,accuracy,balanced_accuracy,f1_macro,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube
1.4,1.0,1.3,0.4226655251141552,0.4108911216261439,0.40985715974751646,137879,217128,170593,26.232686453576864,41.31050228310502,32.456811263318116
1.45,1.0,1.35,0.4186681887366819,0.4096455296732029,0.4093908071803422,146583,201609,177408,27.888698630136986,38.35787671232877,33.75342465753425
1.4,1.0,1.25,0.42168949771689496,0.41081471345981324,0.40937425042220005,170190,220906,134504,32.38013698630137,42.029299847793,25.590563165905632
1.35,1.0,1.25,0.4262709284627093,0.4116277115002382,0.4092318342708929,128967,233307,163326,24.537100456621005,44.388698630136986,31.074200913242013
1.45,1.0,1.3,0.4177720700152207,0.4096722444888252,0.4090424206682182,179823,205130,140647,34.212899543378995,39.02777777777778,26.75932267884323
1.35,1.0,1.2,0.42514649923896497,0.41131154120005625,0.4085465697965549,160028,237376,128196,30.446727549467273,45.16286149162861,24.39041095890411
1.5,1.0,1.4,0.4145072298325723,0.40812201254495434,0.40812947728392396,155163,186357,184080,29.521118721461185,35.4560502283105,35.02283105022831
1.5,1.0,1.35,0.4136168188736682,0.4082207847714899,0.4079164576899452,189275,189745,146580,36.01122526636225,36.10064687975647,27.88812785388128
1.3,1.0,1.2,0.42920091324200915,0.41152445599352844,0.4070636979103961,119390,250384,155826,22.714992389649925,47.63774733637747,29.647260273972602
1.55,1.0,1.45,0.41012747336377475,0.40622909107455807,0.4059973675927023,163022,172154,190424,31.01636225266362,32.75380517503805,36.22983257229833
1.3,1.0,1.15,0.4276636225266362,0.4107014662893736,0.4059696254876797,149243,254709,121648,28.394786910197865,48.46061643835616,23.144596651445966
1.55,1.0,1.4,0.40911719939117197,0.4062443381893537,0.40583281310746183,197844,175309,152447,37.641552511415526,33.354071537290714,29.00437595129376
1.6,1.0,1.45,0.405218797564688,0.4046924308405477,0.4037475692079915,205597,161880,158123,39.11662861491629,30.799086757990867,30.084284627092845
1.6,1.0,1.5,0.4061491628614916,0.40457602005477034,0.4036849205445973,170228,158881,196491,32.38736681887367,30.22850076103501,37.384132420091326
1.45,1.0,1.25,0.4158542617960426,0.4086888124803218,0.40360128516786814,208586,207321,109693,39.68531202435312,39.44463470319634,20.870053272450534
1.4,1.0,1.2,0.4195833333333333,0.4095572411621002,0.40351820300960656,198067,223280,104253,37.683980213089804,42.48097412480974,19.835045662100455
1.25,1.0,1.15,0.4312119482496195,0.4105781147105791,0.4034971232372857,110104,267498,147998,20.948249619482496,50.89383561643835,28.157914764079145
1.4,1.0,1.35,0.4215353881278539,0.40896707384209047,0.40293602576679893,103955,211537,210108,19.778348554033485,40.24676560121765,39.97488584474886
1.5,1.0,1.3,0.41191590563165903,0.4074743112791199,0.4028919148381556,218904,191786,114910,41.64840182648402,36.48896499238965,21.86263318112633
1.45,1.0,1.4,0.4175133181126332,0.40759062396367596,0.4024387702555936,111473,196245,217882,21.20871385083714,37.33732876712329,41.453957382039576
1.35,1.0,1.3,0.4253006088280061,0.40993738616615905,0.40231506104955334,96110,227314,202176,18.285768645357685,43.24847792998478,38.465753424657535
1.25,1.0,1.1,0.429486301369863,0.4094644833647745,0.4021651745184996,138666,272141,114793,26.3824200913242,51.77720700152207,21.84037290715373
1.35,1.0,1.15,0.42261986301369864,0.40954119180713827,0.4020115514330669,187053,239998,98549,35.5884703196347,45.6617199391172,18.749809741248097
1.65,1.0,1.5,0.4013394216133942,0.4031261470454208,0.4011816344084858,212959,149110,163531,40.51731354642313,28.369482496194827,31.11320395738204
1.55,1.0,1.35,0.4075494672754947,0.4056798257497647,0.4011771510439017,228236,177320,120044,43.423896499238964,33.73668188736682,22.83942161339422
1.5,1.0,1.45,0.41326674277016745,0.4059112499718176,0.4011178230135408,119067,181312,225221,22.65353881278539,34.496194824961954,42.85026636225267
1.3,1.0,1.25,0.42844368340943684,0.41014843554860786,0.40017002958488024,87964,244006,193630,16.73592085235921,46.42427701674277,36.83980213089802
1.6,1.0,1.4,0.4035331050228311,0.40405859645615094,0.39920987935786806,236732,163749,125119,45.040334855403344,31.154680365296805,23.804984779299847
1.3,1.0,1.1,0.42470700152207,0.4084337574369397,0.3988765548807249,175253,257478,92869,33.34341704718417,48.98744292237443,17.669140030441397
1.55,1.0,1.5,0.4087347792998478,0.40381390013798163,0.3988222666350423,126015,167385,232200,23.975456621004565,31.846461187214615,44.178082191780824
1.25,1.0,1.2,0.43111301369863014,0.4099791382409074,0.3971818849317785,80170,260779,184651,15.253044140030442,49.615487062404874,35.131468797564686
1.65,1.0,1.45,0.3995852359208524,0.4024465413117266,0.39680688020928107,244799,150844,129957,46.57515220700152,28.69939117199391,24.725456621004565
