simbolo,mes,muestras,accuracy_original,accuracy_ajustada,delta_accuracy,balanced_accuracy_original,balanced_accuracy_ajustada,delta_balanced_accuracy,f1_macro_original,f1_macro_ajustada,delta_f1_macro,recall_baja_original,recall_baja_ajustada,delta_recall_baja,recall_neutral_original,recall_neutral_ajustada,delta_recall_neutral,recall_sube_original,recall_sube_ajustada,delta_recall_sube,predicho_baja_original_pct,predicho_baja_ajustada_pct,predicho_neutral_original_pct,predicho_neutral_ajustada_pct,predicho_sube_original_pct,predicho_sube_ajustada_pct
BTCUSDT,2026-01,44640,0.6347222222222222,0.6013664874551972,-0.033355734767025025,0.398453272675154,0.408535536034171,0.010082263359016963,0.3831561971598489,0.4114554829487322,0.0282992857888833,0.048377510994888864,0.1767502674432426,0.12837275644835372,0.9130996438796174,0.8264436841002724,-0.08665595977934504,0.23388266315095582,0.22241265655899803,-0.011470006591957793,3.490143369175627,12.775537634408602,85.71460573476702,75.79301075268818,10.795250896057347,11.431451612903226
BTCUSDT,2026-02,40320,0.4137152777777778,0.41703869047619047,0.0033234126984126866,0.3918323213279646,0.40844311334159933,0.016610792013634745,0.3502517309158182,0.40217234477026137,0.05192061385444319,0.066167592368993,0.24712227320293004,0.18095468083393704,0.6626835314307506,0.5172567215407106,-0.1454268098900401,0.44664584018414993,0.4609503452811575,0.014304505097007592,6.066468253968254,20.15625,56.93204365079365,40.510912698412696,37.001488095238095,39.332837301587304
BTCUSDT,2026-03,44640,0.4648073476702509,0.434744623655914,-0.030062724014336906,0.3884972384918856,0.3910641453112909,0.0025669068194053013,0.355163867316522,0.3854415578361093,0.030277690519587286,0.06518051853646717,0.20491075034326792,0.13973023180680075,0.7697623781122787,0.609438606456499,-0.1603237716557796,0.330548818826911,0.3588430791341058,0.028294260307194785,5.201612903225807,18.741039426523297,71.8839605734767,53.499103942652326,22.91442652329749,27.759856630824377
BTCUSDT,2026-04,43200,0.5941203703703704,0.536875,-0.05724537037037036,0.37461984073087545,0.3793304088257638,0.0047105680948883455,0.35673459742585,0.3723410438389892,0.015606446413139186,0.0775369065035244,0.23912754355632398,0.16159063705279958,0.9057769304099142,0.7689990467111535,-0.13677788369876076,0.14054568527918782,0.12986463620981387,-0.010681049069373949,4.462962962962963,18.136574074074076,87.01388888888889,72.4861111111111,8.523148148148147,9.377314814814815
BTCUSDT,2026-05,44400,0.6706081081081081,0.6407882882882883,-0.02981981981981985,0.35181811207200053,0.37335365482422156,0.021535542752221026,0.3243480597344052,0.37193328660881647,0.047585226874411246,0.025213501423342822,0.12796529754642808,0.10275179612308526,0.9511955775080959,0.875077688004972,-0.07611788950312393,0.07904525728456292,0.11701797892126473,0.0379727216367018,1.9414414414414414,9.27027027027027,93.99774774774775,85.13288288288288,4.0608108108108105,5.596846846846846
ETHUSDT,2026-01,44640,0.5349014336917562,0.5255600358422939,-0.009341397849462307,0.39248606006911907,0.42505080495337433,0.03256474488425526,0.3566025334720297,0.4240839456606738,0.06748141218864412,0.03432849447639916,0.2424906418332877,0.20816214735688854,0.8448163795905103,0.7357816054598635,-0.10903477413064677,0.2983133061404476,0.29688016756697166,-0.0014331385734759339,3.1742831541218637,17.63216845878136,77.81810035842294,62.54032258064516,19.0076164874552,19.827508960573475
ETHUSDT,2026-02,40320,0.3709077380952381,0.3940972222222222,0.023189484126984128,0.3781418471437224,0.3965031559530956,0.0183613088093732,0.32846062703504897,0.3903935826904785,0.061932955655429556,0.06331365156149961,0.27850892793625953,0.21519527637475994,0.5372642232786382,0.38736390124214076,-0.14990032203649745,0.5338476665910294,0.5236366386808865,-0.010211027910142945,6.026785714285714,24.838789682539684,45.25297619047619,27.30902777777778,48.720238095238095,47.852182539682545
ETHUSDT,2026-03,44640,0.42302867383512543,0.39325716845878134,-0.0297715053763441,0.38252070862936494,0.37971334397929996,-0.0028073646500649807,0.34794706548488435,0.37816351549374705,0.030216450008862694,0.07312389584453491,0.2775942852753668,0.20447038943083187,0.6804479799037052,0.4792233619426418,-0.2012246179610634,0.39399025013985456,0.38232238471989133,-0.01166786541996323,5.44578853046595,26.406810035842295,62.27598566308244,40.62051971326165,32.27822580645161,32.97267025089606
ETHUSDT,2026-04,43200,0.5050694444444445,0.45717592592592593,-0.04789351851851853,0.37382001519125385,0.37890848968060586,0.005088474489352013,0.340268238511235,0.3749358672505478,0.034667628739312784,0.048732366577883005,0.27069152609253233,0.22195915951464934,0.8584158863708328,0.6741756004885331,-0.18424028588229968,0.21431179262504563,0.1918583424607521,-0.022453450164293537,4.469907407407407,24.800925925925927,81.87037037037037,61.58101851851852,13.659722222222223,13.618055555555555
ETHUSDT,2026-05,44400,0.5923873873873874,0.5656081081081081,-0.026779279279279256,0.3643088841596432,0.38750469592366654,0.023195811764023355,0.33162375198015726,0.38429231066831965,0.05266855868816239,0.04978824501601074,0.20886272079330648,0.15907447577729572,0.930176145693387,0.8231452455590387,-0.10703090013434835,0.11296226176953174,0.13050612141865456,0.01754385964912282,1.9549549549549552,13.623873873873874,90.80405405405405,78.009009009009,7.240990990990991,8.367117117117118
