mes,tipo_decision,muestras,accuracy,balanced_accuracy,f1_macro,recall_baja,recall_neutral,recall_sube,reales_baja,reales_neutral,reales_sube,porcentaje_real_baja,porcentaje_real_neutral,porcentaje_real_sube,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube,cm_baja_baja,cm_baja_neutral,cm_baja_sube,cm_neutral_baja,cm_neutral_neutral,cm_neutral_sube,cm_sube_baja,cm_sube_neutral,cm_sube_sube
2025-01,original,44640,0.40069444444444446,0.38075861411839723,0.33306863141587506,0.06234648172229447,0.7296508091008639,0.3502785515320334,13842,16438,14360,31.008064516129032,36.82347670250896,32.168458781362006,2594,28390,13656,5.810931899641577,63.59767025089605,30.591397849462364,863,8131,4848,666,11994,3778,1065,8265,5030
2025-01,ajustada,44640,0.3824148745519713,0.3753618526324321,0.3728813227629355,0.27828348504551365,0.5026767246623677,0.34512534818941504,13842,16438,14360,31.008064516129032,36.82347670250896,32.168458781362006,11997,18738,13905,26.875,41.975806451612904,31.149193548387093,3852,4886,5104,4330,8263,3845,3815,5589,4956
2025-02,original,40320,0.42155257936507934,0.42400316903644786,0.3679474749105247,0.06824969043630272,0.6752724347253711,0.5284873819476699,13729,13673,12918,34.0500992063492,33.911210317460316,32.03869047619048,2047,20673,17600,5.076884920634921,51.27232142857143,43.65079365079365,937,5992,6800,467,9233,3973,643,5448,6827
2025-02,ajustada,40320,0.42058531746031746,0.4223499031648637,0.4178685921521432,0.3020613300313206,0.4573246544284356,0.5076637250348351,13729,13673,12918,34.0500992063492,33.911210317460316,32.03869047619048,10370,12571,17379,25.719246031746028,31.178075396825395,43.10267857142857,4147,2922,6660,3259,6253,4161,2964,3396,6558
2025-03,original,44640,0.4016353046594982,0.40029349107408474,0.3388049637656691,0.04721422966256866,0.7233565896434744,0.4303096539162113,15292,15623,13725,34.25627240143369,34.99775985663082,30.74596774193548,2028,27099,15513,4.543010752688172,60.70564516129032,34.751344086021504,722,8739,5831,546,11301,3776,760,7059,5906
2025-03,ajustada,44640,0.39834229390681003,0.3984600282051764,0.38882999963691695,0.23463248757520272,0.5309479613390514,0.42979963570127505,15292,15623,13725,34.25627240143369,34.99775985663082,30.74596774193548,10571,18342,15727,23.680555555555554,41.08870967741935,35.23073476702509,3588,5730,5974,3474,8295,3854,3509,4317,5899
2025-04,original,43200,0.41131944444444446,0.40330767193175876,0.36163758284943287,0.08374527478918291,0.6447729248879673,0.48140481611812597,13756,14951,14493,31.842592592592595,34.6087962962963,33.54861111111111,2807,23288,17105,6.497685185185185,53.907407407407405,39.59490740740741,1152,6995,5609,792,9640,4519,863,6653,6977
2025-04,ajustada,43200,0.407662037037037,0.40511295425712834,0.40202440648933885,0.28903751090433266,0.4587652999799344,0.46753605188711794,13756,14951,14493,31.842592592592595,34.6087962962963,33.54861111111111,10995,15615,16590,25.451388888888886,36.145833333333336,38.40277777777778,3976,4459,5321,3599,6859,4493,3420,4297,6776
2025-05,original,44640,0.41303763440860214,0.3999302925487813,0.3586819297290165,0.07218349449066787,0.6528903111595288,0.4747170719961474,13341,14687,16612,29.88575268817204,32.90098566308244,37.21326164874552,3345,23210,18085,7.493279569892473,51.99372759856631,40.51299283154122,963,6781,5597,496,9589,4602,1886,6840,7886
2025-05,ajustada,44640,0.41913082437275984,0.4159486229400173,0.41588070760759194,0.331009669440072,0.486484646285831,0.4303515530941488,13341,14687,16612,29.88575268817204,32.90098566308244,37.21326164874552,12810,14726,17104,28.696236559139788,32.988351254480285,38.31541218637993,4416,3805,5120,2707,7145,4835,5687,3776,7149
