mes,tipo_decision,muestras,accuracy,balanced_accuracy,f1_macro,recall_baja,recall_neutral,recall_sube,reales_baja,reales_neutral,reales_sube,porcentaje_real_baja,porcentaje_real_neutral,porcentaje_real_sube,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube,cm_baja_baja,cm_baja_neutral,cm_baja_sube,cm_neutral_baja,cm_neutral_neutral,cm_neutral_sube,cm_sube_baja,cm_sube_neutral,cm_sube_sube,desde_ajuste,hasta_ajuste,muestras_ajuste,multiplicador_baja,multiplicador_neutral,multiplicador_sube
2025-04,original,43200,0.5405555555555556,0.40813011781533226,0.38921801673459977,0.08686980609418282,0.8603874415497662,0.2771331058020478,9025,22455,11720,20.891203703703702,51.979166666666664,27.12962962962963,2462,33111,7627,5.6990740740740735,76.64583333333333,17.65509259259259,784,5995,2246,1002,19320,2133,676,7796,3248,2025-01-01T00:00:00+00:00,2025-03-31T19:59:00+00:00,129360,1.55,1.0,1.35
2025-04,ajustada_walk_forward,43200,0.4997685185185185,0.43367593694653817,0.4248613023449051,0.3949030470914127,0.6899131596526387,0.21621160409556314,9025,22455,11720,20.891203703703702,51.979166666666664,27.12962962962963,12625,24795,5780,29.224537037037035,57.395833333333336,13.37962962962963,3564,3815,1646,5363,15492,1600,3698,5488,2534,2025-01-01T00:00:00+00:00,2025-03-31T19:59:00+00:00,129360,1.55,1.0,1.35
2025-05,original,44640,0.5953181003584229,0.3662973479492682,0.3339819961894073,0.04889106727116775,0.9401850256563916,0.1098159509202454,8161,26699,9780,18.281810035842295,59.80958781362007,21.908602150537636,1241,40723,2676,2.7800179211469533,91.22535842293907,5.994623655913978,399,7229,533,528,25102,1069,314,8392,1074,2025-01-01T00:00:00+00:00,2025-04-30T19:59:00+00:00,172560,1.55,1.0,1.4
2025-05,ajustada_walk_forward,44640,0.5384632616487455,0.398324321503636,0.3880404446732657,0.30915329003798553,0.7595415558635155,0.12627811860940696,8161,26699,9780,18.281810035842295,59.80958781362007,21.908602150537636,10243,30751,3646,22.94578853046595,68.88664874551972,8.167562724014337,2523,4969,669,4678,20279,1742,3042,5503,1235,2025-01-01T00:00:00+00:00,2025-04-30T19:59:00+00:00,172560,1.55,1.0,1.4
2025-06,original,43200,0.6471064814814815,0.36751228735743496,0.33968280798672223,0.037694013303769404,0.9630945970202837,0.10174825174825175,6765,27855,8580,15.659722222222221,64.47916666666667,19.86111111111111,793,40533,1874,1.8356481481481481,93.82638888888889,4.337962962962963,255,6136,374,401,26827,627,137,7570,873,2025-01-01T00:00:00+00:00,2025-05-31T19:59:00+00:00,217200,1.5,1.0,1.4
2025-06,ajustada_walk_forward,43200,0.5934953703703704,0.3883213299128032,0.3877732935899267,0.17989652623798966,0.8285406569736133,0.15652680652680653,6765,27855,8580,15.659722222222221,64.47916666666667,19.86111111111111,5712,33910,3578,13.222222222222221,78.49537037037037,8.282407407407408,1217,4800,748,3289,23079,1487,1206,6031,1343,2025-01-01T00:00:00+00:00,2025-05-31T19:59:00+00:00,217200,1.5,1.0,1.4
2025-07,original,44640,0.6676299283154122,0.3454612201033341,0.31340698555991287,0.024995942217172537,0.9550657335339132,0.05632198455891659,6161,30578,7901,13.80152329749104,68.49910394265233,17.69937275985663,843,42207,1590,1.8884408602150535,94.54973118279571,3.5618279569892475,154,5747,260,489,29204,885,200,7256,445,2025-01-01T00:00:00+00:00,2025-06-30T19:59:00+00:00,260400,1.45,1.0,1.35
2025-07,ajustada_walk_forward,44640,0.6146057347670251,0.3746298355842462,0.3705897783872578,0.18097711410485312,0.8321669173915888,0.11074547525629667,6161,30578,7901,13.80152329749104,68.49910394265233,17.69937275985663,6211,35422,3007,13.913530465949822,79.35035842293907,6.736111111111111,1115,4550,496,3496,25446,1636,1600,5426,875,2025-01-01T00:00:00+00:00,2025-06-30T19:59:00+00:00,260400,1.45,1.0,1.35
2025-08,original,44640,0.6482302867383513,0.3492760396216279,0.319738402846579,0.015187649052340907,0.9371280380357083,0.09551243177683444,7967,30077,6596,17.84722222222222,67.37679211469533,14.775985663082436,1208,41037,2395,2.706093189964158,91.92876344086022,5.365143369175628,121,7248,598,724,28186,1167,363,5603,630,2025-01-01T00:00:00+00:00,2025-07-31T19:59:00+00:00,305040,1.4,1.0,1.3
2025-08,ajustada_walk_forward,44640,0.6173835125448028,0.3588062954100904,0.3510563495552399,0.11861428392117485,0.8644146690161918,0.09338993329290479,7967,30077,6596,17.84722222222222,67.37679211469533,14.775985663082436,4697,36727,3216,10.521953405017921,82.27374551971326,7.204301075268817,945,6183,839,2317,25999,1761,1435,4545,616,2025-01-01T00:00:00+00:00,2025-07-31T19:59:00+00:00,305040,1.4,1.0,1.3
