objetivo,variante,umbral,operaciones_minimas,retorno_minimo,retorno_mediano_minimo,factor_minimo,drawdown_peor,positivas_minimas,precision_operaciones_minima,pr_auc_minimo,pr_auc_lift_minimo,concentracion_mensual_maxima,aprobado
baja_cierre_4h,histgb_63_moderado,0.8,1,0.0034699124991893,0.0034699124991893,6.641434848100466,-0.014990101404488,80.0,0.6,0.2352851491426881,1.3038575879510876,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.65,1,0.0013333334053556,0.0016384014636278,1.6666666866728548,-0.0089797502150945,55.55555555555556,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.64,1,0.0012892854176461,0.0012892854176461,1.6666666866728548,-0.0089797502150945,55.55555555555556,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.63,1,0.0012886069491505,0.0012886069491505,2.333333361341997,-0.0089797502150945,63.63636363636363,0.0,0.2349982432323634,1.1220491573392843,1.0,False
baja_cierre_4h,histgb_101_moderado,0.77,1,0.0011435820963233,0.0011435820963233,8.878947897586672,-0.0078039042910686,70.0,0.0,0.2341322535886603,1.3128936430353293,1.0,False
baja_cierre_4h,histgb_101_moderado,0.76,1,0.0010361011847853,0.0010361011847853,2.67937270699254,-0.0333336087167263,60.0,0.0,0.2341322535886603,1.3128936430353293,1.0,False
baja_cierre_4h,histgb_63_moderado,0.77,3,0.0009163209556912,0.0012012284025549,1.1694679592444608,-0.0565907448228826,60.0,0.3333333333333333,0.2352851491426881,1.3038575879510876,0.6339759658421883,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.6,1,0.0008737375503405,0.0008737375503405,1.669731644607274,-0.0089797502150945,52.94117647058824,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.61,1,0.0008404405564069,0.0008404405564069,2.4000000288089107,-0.0089797502150945,64.28571428571429,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.62,1,0.0007500000540167,0.0007500000540167,1.333333349338284,-0.0119861374911571,50.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
baja_cierre_4h,histgb_101_moderado,0.73,10,0.0006360415378585,0.0032813997715711,1.0998987570609748,-0.050135151256861,63.1578947368421,0.4,0.2341322535886603,1.3128936430353293,0.4397891147921805,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.59,1,0.0004079737127758,-0.0026702633583918,1.177996953064309,-0.0149834045050902,45.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
