variable,grupo,es_cruzada,coeficiente_BAJA,coeficiente_absoluto_BAJA,coeficiente_NEUTRAL,coeficiente_absoluto_NEUTRAL,coeficiente_SUBE,coeficiente_absoluto_SUBE,importancia_media_absoluta,importancia_maxima_absoluta
volatilidad_240m,volatilidad_propia,False,0.2728484570980072,0.2728484570980072,-0.536309540271759,0.536309540271759,0.11912354081869125,0.11912354081869125,0.3094271793961525,0.536309540271759
beta_propio_otro_240m,beta,True,-0.3333183228969574,0.3333183228969574,0.22084775567054749,0.22084775567054749,0.08563625812530518,0.08563625812530518,0.21326744556427002,0.3333183228969574
ratio_volatilidad_240m,volatilidad_relativa,True,0.21599869430065155,0.21599869430065155,-0.1442951112985611,0.1442951112985611,-0.05222964659333229,0.05222964659333229,0.13750781739751497,0.21599869430065155
otro_volatilidad_60m,volatilidad_otro,True,-0.1426173746585846,0.1426173746585846,-0.06315144151449203,0.06315144151449203,0.20193593204021454,0.20193593204021454,0.13590158273776373,0.20193593204021454
rango_relativo,forma_vela,False,0.008886611089110374,0.008886611089110374,-0.21592038869857788,0.21592038869857788,0.11266040802001953,0.11266040802001953,0.1124891359359026,0.21592038869857788
dia_semana_seno,tiempo,False,0.09177594631910324,0.09177594631910324,-0.119118832051754,0.119118832051754,0.08996693044900894,0.08996693044900894,0.10028723627328873,0.119118832051754
minuto_dia_coseno,tiempo,False,-0.08301327377557755,0.08301327377557755,0.13465262949466705,0.13465262949466705,-0.06547609716653824,0.06547609716653824,0.09438066681226094,0.13465262949466705
volatilidad_30m,volatilidad_propia,False,0.014956828206777573,0.014956828206777573,-0.18479414284229279,0.18479414284229279,0.072767473757267,0.072767473757267,0.09083948160211246,0.18479414284229279
correlacion_btc_eth_240m,correlacion,True,0.14408312737941742,0.14408312737941742,-0.09245673567056656,0.09245673567056656,0.02209627442061901,0.02209627442061901,0.08621204582353433,0.14408312737941742
beta_propio_otro_1440m,beta,True,0.08930499106645584,0.08930499106645584,-0.0927305668592453,0.0927305668592453,0.0402277410030365,0.0402277410030365,0.07408776630957921,0.0927305668592453
cuerpo_relativo,forma_vela,False,0.013567311689257622,0.013567311689257622,0.05030369758605957,0.05030369758605957,-0.13928364217281342,0.13928364217281342,0.06771821714937687,0.13928364217281342
