grupo,variables,importancia_media,importancia_total,importancia_maxima
volatilidad_otro,2,0.24869685868422192,0.49739371736844384,0.41791993379592896
volatilidad_propia,5,0.09604461764295896,0.4802230882147948,0.3206339180469513
tiempo,4,0.08446769959603746,0.33787079838414985,0.17578035593032837
beta,3,0.10913303390973145,0.32739910172919434,0.20770275592803955
volatilidad_relativa,2,0.16261842008680105,0.3252368401736021,0.2729686200618744
correlacion,3,0.07422150795658429,0.22266452386975288,0.13247837126255035
forma_vela,4,0.052817759201085814,0.21127103680434325,0.17644934356212616
operaciones_relativas,5,0.03107301217193405,0.15536506085967025,0.07429483532905579
divergencia_rendimiento,6,0.021890601408409163,0.13134360845045498,0.09401894360780716
desviacion_media,5,0.02474329573257516,0.1237164786628758,0.06985405087471008
volumen_relativo,5,0.023881057929247617,0.11940528964623809,0.0764690488576889
residual,3,0.03722985016389025,0.11168955049167076,0.09482986479997635
rendimiento_propio,6,0.01839158278825279,0.11034949672951673,0.07074297219514847
rendimiento_otro,6,0.012208250627736561,0.07324950376641937,0.0394597090780735
zscore_divergencia,2,0.03354109326998393,0.06708218653996786,0.07241210341453552
presion_compradora,2,0.0024482466687913984,0.004896493337582797,0.007027768529951572
