grupo,variables,importancia_media,importancia_total,importancia_maxima
volatilidad_propia,5,0.10959296921888988,0.5479648460944494,0.536309540271759
beta,3,0.1135965958237648,0.3407897874712944,0.3333183228969574
tiempo,4,0.06149399280548096,0.24597597122192383,0.13465262949466705
forma_vela,4,0.05747841019183397,0.2299136407673359,0.21592038869857788
volatilidad_otro,2,0.09922546148300171,0.19845092296600342,0.20193593204021454
volatilidad_relativa,2,0.08827415543297926,0.1765483108659585,0.21599869430065155
operaciones_relativas,5,0.03124620416201651,0.15623102081008255,0.0790800005197525
residual,3,0.047765647526830435,0.1432969425804913,0.0737714096903801
correlacion,3,0.04682454704824421,0.14047364114473262,0.14408312737941742
divergencia_rendimiento,6,0.018266308677589726,0.10959785206553836,0.05896814167499542
volumen_relativo,5,0.020862793466100506,0.10431396733050254,0.10220663249492645
desviacion_media,5,0.019843700093527632,0.09921850046763817,0.04581519588828087
rendimiento_propio,6,0.014361811355532458,0.08617086813319474,0.05214164778590202
rendimiento_otro,6,0.011021137602963589,0.06612682561778153,0.061421677470207214
zscore_divergencia,2,0.015775836848964293,0.031551673697928585,0.022969141602516174
presion_compradora,2,0.00489008057047613,0.00978016114095226,0.008902153931558132
