variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.060030613,-0.09059686,0.009202787,0.09059686
cuerpo_relativo,-0.0071832817,0.003882362,-0.19366612,0.19366612
mecha_superior_relativa,-0.024317468,0.015713293,-0.059586633,0.059586633
mecha_inferior_relativa,0.074486606,-0.0076938486,0.043295447,0.074486606
rendimiento_1m,0.0011526317,-0.03698828,0.12256857,0.12256857
rendimiento_5m,-0.058512527,-0.06310315,-0.05001989,0.06310315
volatilidad_5m,-0.04043874,-0.089797355,0.039958894,0.089797355
desviacion_media_cierre_5m,0.032509007,-0.024401093,-0.04599107,0.04599107
volumen_relativo_5m,0.016974172,-0.021359747,0.10545493,0.10545493
operaciones_relativas_5m,-0.021702677,-0.016425954,-0.019084897,0.021702677
rendimiento_15m,-0.046722203,-0.013916495,-0.004437363,0.046722203
volatilidad_15m,-0.10051732,-0.06785622,0.046398334,0.10051732
desviacion_media_cierre_15m,0.047018744,-0.13897157,-0.0660739,0.13897157
volumen_relativo_15m,0.0378501,-0.030560242,0.06808487,0.06808487
operaciones_relativas_15m,-0.09789771,-0.057460707,0.05523354,0.09789771
rendimiento_30m,-0.04611428,-0.019413466,0.010380633,0.04611428
volatilidad_30m,0.042962495,-0.040494986,0.07990279,0.07990279
desviacion_media_cierre_30m,0.05624859,-0.00021923312,-0.04788563,0.05624859
volumen_relativo_30m,-0.015319473,-0.078041226,0.033097986,0.078041226
operaciones_relativas_30m,0.058792364,-0.010897054,0.008313607,0.058792364
rendimiento_60m,-0.01609432,0.054749887,0.043624517,0.054749887
volatilidad_60m,-0.32974577,-0.06545327,0.09414708,0.32974577
desviacion_media_cierre_60m,0.08626648,0.0070695565,0.04795809,0.08626648
volumen_relativo_60m,-0.115515515,-0.01480514,0.06242626,0.115515515
operaciones_relativas_60m,-0.020239359,0.038123988,0.066392615,0.066392615
rendimiento_240m,0.034502562,-0.032887027,-0.090392835,0.090392835
volatilidad_240m,0.18587506,-0.06366486,-0.23576699,0.23576699
desviacion_media_cierre_240m,0.07176887,0.018377794,0.041364737,0.07176887
volumen_relativo_240m,0.012805805,-0.06442216,-0.10620972,0.10620972
operaciones_relativas_240m,0.049166784,0.03007098,-0.053165693,0.053165693
minuto_dia_seno,0.043291684,0.043844342,-0.006001374,0.043844342
minuto_dia_coseno,-0.10202587,0.06421074,-0.06774924,0.10202587
dia_semana_seno,-0.0106570115,-0.047772903,0.0008956573,0.047772903
dia_semana_coseno,-0.042362317,0.045237653,0.05857951,0.05857951
otro_rendimiento_1m,-0.03234118,0.04380333,0.03425361,0.04380333
divergencia_rendimiento_1m,0.06765989,-0.14309394,0.04506491,0.14309394
divergencia_rendimiento_60m,-0.07100528,0.061591525,-0.053386185,0.07100528
otro_rendimiento_240m,0.036290895,-0.008041031,-0.01743677,0.036290895
divergencia_rendimiento_240m,-0.045992505,-0.06875329,-0.016918005,0.06875329
otro_volatilidad_60m,0.23060857,-0.1359512,-0.033351574,0.23060857
ratio_volatilidad_60m,0.25069553,-0.0756969,-0.02479626,0.25069553
otro_volatilidad_240m,0.14439513,-0.32951725,0.34478158,0.34478158
ratio_volatilidad_240m,-0.08131198,-0.035573173,0.21166068,0.21166068
correlacion_btc_eth_60m,0.09695625,-0.08408714,0.11479395,0.11479395
beta_propio_otro_60m,-0.28810152,0.072996125,0.04246857,0.28810152
residual_propio_otro_60m,0.08113714,0.0408627,-0.06609589,0.08113714
correlacion_btc_eth_240m,-0.016125655,-0.055110004,0.12193309,0.12193309
beta_propio_otro_240m,0.025926184,-0.037307497,-0.10061025,0.10061025
residual_propio_otro_240m,0.014146869,0.012632379,0.013921185,0.014146869
correlacion_btc_eth_1440m,0.024715222,-0.066368856,0.02937699,0.066368856
beta_propio_otro_1440m,-0.045283772,0.030218532,0.025459852,0.045283772
residual_propio_otro_1440m,0.034473706,0.022999307,0.03048939,0.034473706
