variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.009282314,-0.19654992,0.12107553,0.19654992
cuerpo_relativo,0.11653112,-0.06921614,-0.0534886,0.11653112
mecha_superior_relativa,-0.031043425,-0.023849769,0.052139692,0.052139692
mecha_inferior_relativa,-0.003481678,-0.011923359,0.0184709,0.0184709
proporcion_compradora_base,0.010066805,-0.0024781246,-0.0037591374,0.010066805
proporcion_compradora_cotizacion,0.0008819322,-0.004565577,0.002031748,0.004565577
rendimiento_1m,-0.09182277,0.0535676,0.032093402,0.09182277
rendimiento_5m,-0.017590737,0.007707734,0.009220779,0.017590737
volatilidad_5m,0.025039488,-0.036948364,0.049538996,0.049538996
desviacion_media_cierre_5m,0.022606993,-0.00912106,-0.009789882,0.022606993
volumen_relativo_5m,-0.0121094985,0.009714407,0.03247048,0.03247048
operaciones_relativas_5m,0.018372776,0.030936603,-0.039092626,0.039092626
rendimiento_15m,-0.010925891,-0.0035195646,-0.003880423,0.010925891
volatilidad_15m,0.01760448,-0.115362085,0.045299158,0.115362085
desviacion_media_cierre_15m,-0.012866106,-0.0051681446,0.0106847985,0.012866106
volumen_relativo_15m,0.021565353,0.028158106,-0.07157064,0.07157064
operaciones_relativas_15m,-0.031974137,0.018033417,0.0014220766,0.031974137
rendimiento_30m,-0.028091218,0.020797012,-0.003004358,0.028091218
volatilidad_30m,0.09620965,-0.15767954,0.03867029,0.15767954
desviacion_media_cierre_30m,0.089445084,0.045413423,-0.09073656,0.09073656
volumen_relativo_30m,-0.026601043,0.00605679,0.004017486,0.026601043
operaciones_relativas_30m,0.0460994,-0.04722787,-0.00373091,0.04722787
rendimiento_60m,0.013203088,0.026773294,-0.037864275,0.037864275
volatilidad_60m,-0.4404889,0.097447954,0.19250934,0.4404889
desviacion_media_cierre_60m,0.024546308,-0.07459576,0.065599956,0.07459576
volumen_relativo_60m,-0.04787809,0.002369627,0.0066094114,0.04787809
operaciones_relativas_60m,-0.09083943,0.0011376052,0.0585771,0.09083943
rendimiento_240m,-0.018413864,0.016902912,-0.016366014,0.018413864
volatilidad_240m,0.27965665,-0.10742201,-0.2889952,0.2889952
desviacion_media_cierre_240m,0.04755327,-0.021163823,-0.0061718496,0.04755327
volumen_relativo_240m,0.063759044,-0.11862619,-0.051101133,0.11862619
operaciones_relativas_240m,0.029264191,-0.0467658,-0.0020289833,0.0467658
minuto_dia_seno,-0.030553423,0.042690545,-0.033738587,0.042690545
minuto_dia_coseno,-0.12143424,0.16543953,-0.1086128,0.16543953
dia_semana_seno,0.09624597,-0.13593115,0.12365597,0.13593115
dia_semana_coseno,-0.0041100886,-0.032608423,0.027433384,0.032608423
otro_rendimiento_1m,-0.044051003,0.030985234,-0.0005143163,0.044051003
divergencia_rendimiento_1m,-0.05504886,0.022232667,0.04885673,0.05504886
otro_rendimiento_5m,-0.00883305,0.010952482,0.007022395,0.010952482
divergencia_rendimiento_5m,-0.00998606,-0.009302683,0.00061258045,0.00998606
otro_rendimiento_15m,-0.014948063,0.004780236,-0.00865132,0.014948063
divergencia_rendimiento_15m,0.012204078,-0.014665143,0.010812241,0.014665143
otro_rendimiento_30m,-0.019548694,0.011560971,-0.0046880553,0.019548694
divergencia_rendimiento_30m,-0.0049896603,0.009324098,0.004487812,0.009324098
otro_rendimiento_60m,-0.0014412733,0.0090094535,-0.007931024,0.0090094535
divergencia_rendimiento_60m,0.022624053,0.023028463,-0.041772515,0.041772515
otro_rendimiento_240m,0.055964697,-0.008241044,-0.044068336,0.055964697
divergencia_rendimiento_240m,-0.13252524,0.04052286,0.058677897,0.13252524
otro_volatilidad_60m,0.3330838,-0.32381374,-0.06553723,0.3330838
ratio_volatilidad_60m,0.26167396,-0.07542906,-0.011418549,0.26167396
otro_volatilidad_240m,0.053599283,-0.411788,0.4271755,0.4271755
ratio_volatilidad_240m,-0.15239573,-0.008985796,0.2568804,0.2568804
correlacion_btc_eth_60m,0.13051458,-0.04115668,0.087995805,0.13051458
beta_propio_otro_60m,-0.17712052,0.050951984,-0.020890646,0.17712052
residual_propio_otro_60m,-0.014246653,-0.021086432,0.02607555,0.02607555
correlacion_btc_eth_240m,0.07106856,-0.028761374,0.08470088,0.08470088
beta_propio_otro_240m,0.08064986,-0.087398425,-0.0602535,0.087398425
residual_propio_otro_240m,0.12171289,-0.03990235,-0.07273926,0.12171289
correlacion_btc_eth_1440m,-0.06157755,-0.018492797,0.112904266,0.112904266
beta_propio_otro_1440m,0.052145287,-0.026873406,-0.06431418,0.06431418
residual_propio_otro_1440m,0.029937191,-0.062473502,0.07903332,0.07903332
zscore_divergencia_240m,-0.024111435,-0.016657257,0.014637273,0.024111435
zscore_divergencia_1440m,0.051382266,0.01025459,-0.07841532,0.07841532
