variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.022987243,-0.22027971,0.12034233,0.22027971
cuerpo_relativo,0.002314634,0.052668262,-0.114445835,0.114445835
mecha_superior_relativa,-0.004605417,-0.043885596,0.02967846,0.043885596
mecha_inferior_relativa,0.0073958803,-0.03225784,0.017787276,0.03225784
rendimiento_1m,0.00017854985,-0.024257926,0.049655557,0.049655557
volatilidad_5m,0.0030204218,-0.04349506,0.02280907,0.04349506
operaciones_relativas_5m,-0.0025640745,0.030917747,-0.015137937,0.030917747
volatilidad_15m,0.032678384,-0.105020955,0.039830495,0.105020955
desviacion_media_cierre_15m,0.010612316,0.01392967,-0.008571108,0.01392967
volumen_relativo_15m,0.0030281825,0.029648412,0.010290719,0.029648412
operaciones_relativas_15m,0.009148477,-0.014414568,-0.022712799,0.022712799
volatilidad_30m,0.022488832,-0.18627855,0.090640895,0.18627855
desviacion_media_cierre_30m,0.011282806,0.01355528,-0.017796448,0.017796448
operaciones_relativas_30m,-0.028436879,-0.011780144,0.030782275,0.030782275
rendimiento_60m,0.0041208104,0.02420078,-0.010387553,0.02420078
volatilidad_60m,0.08397715,-0.05293386,-0.14079891,0.14079891
desviacion_media_cierre_60m,0.0070305564,-0.024435125,-0.00080071564,0.024435125
volumen_relativo_60m,-0.017819626,-0.04053418,-0.006209532,0.04053418
operaciones_relativas_60m,-0.09859751,0.018517954,0.05119288,0.09859751
rendimiento_240m,0.0706494,0.00051024,-0.05906642,0.0706494
volatilidad_240m,0.2192865,-0.5138385,0.2063144,0.5138385
desviacion_media_cierre_240m,-0.015228688,0.043575495,-0.036492966,0.043575495
volumen_relativo_240m,0.0375883,-0.0062252213,-0.06807975,0.06807975
operaciones_relativas_240m,0.09077671,-0.05822426,-0.08199066,0.09077671
minuto_dia_seno,-0.040482275,0.058127377,-0.04588339,0.058127377
minuto_dia_coseno,-0.059711404,0.13279068,-0.08906839,0.13279068
dia_semana_seno,0.05294129,-0.10118506,0.09775718,0.10118506
dia_semana_coseno,0.005203011,-0.016114423,0.0031035354,0.016114423
otro_rendimiento_1m,-0.0034450558,-0.024209224,0.049657065,0.049657065
divergencia_rendimiento_1m,0.0054786806,-0.009085709,0.018459141,0.018459141
divergencia_rendimiento_60m,0.017044928,0.032892466,-0.039588302,0.039588302
otro_rendimiento_240m,0.055135135,-0.03556701,-0.0080963895,0.055135135
divergencia_rendimiento_240m,0.051307358,0.05359939,-0.09912993,0.09912993
otro_volatilidad_60m,-0.19144793,-0.07804215,0.27151227,0.27151227
ratio_volatilidad_60m,-0.019587845,0.016061397,-0.04967205,0.04967205
otro_volatilidad_240m,0.052135985,0.06822694,-0.16581702,0.16581702
ratio_volatilidad_240m,0.25375423,-0.05333923,-0.19751838,0.25375423
correlacion_btc_eth_60m,0.08661052,-0.032104418,0.021255098,0.08661052
beta_propio_otro_60m,0.015376426,-0.031455573,0.082410984,0.082410984
residual_propio_otro_60m,-0.027964832,-0.04462089,0.048007447,0.048007447
correlacion_btc_eth_240m,0.14235264,-0.049537092,-0.009691755,0.14235264
beta_propio_otro_240m,-0.3298485,0.10846267,0.19519612,0.3298485
residual_propio_otro_240m,-0.060077205,-0.06434568,0.119923376,0.119923376
correlacion_btc_eth_1440m,-0.021997996,-0.005938662,0.024365487,0.024365487
beta_propio_otro_1440m,0.0662954,-0.08193591,0.061338928,0.08193591
residual_propio_otro_1440m,0.06252089,0.004860317,-0.06459453,0.06459453
