variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.032221768,-0.075027466,0.18245599,0.18245599
cuerpo_relativo,-0.02005855,-0.121664755,-0.04222147,0.121664755
mecha_superior_relativa,-0.13471866,0.030717036,-0.029821416,0.13471866
mecha_inferior_relativa,-0.06830874,0.054698464,0.037489254,0.06830874
rendimiento_1m,-0.050910562,-0.12500411,-0.03466101,0.12500411
rendimiento_5m,-0.13450223,-0.08848932,0.062815845,0.13450223
volatilidad_5m,0.05988154,0.11094608,-0.06315995,0.11094608
desviacion_media_cierre_5m,0.16009201,0.07445739,0.02370645,0.16009201
volumen_relativo_5m,0.027164623,-0.15036723,-0.009587488,0.15036723
operaciones_relativas_5m,-0.033647742,0.00039361173,0.07454598,0.07454598
rendimiento_15m,0.10910242,0.08063448,-0.13343659,0.13343659
volatilidad_15m,-0.13576353,0.0030008645,-0.09691744,0.13576353
desviacion_media_cierre_15m,0.024384331,0.06225948,-0.08351793,0.08351793
volumen_relativo_15m,-0.027254403,-0.03859351,0.08329918,0.08329918
operaciones_relativas_15m,-0.07086694,-0.03086448,0.04155473,0.07086694
rendimiento_30m,0.01638491,-0.039949164,-0.042057633,0.042057633
volatilidad_30m,0.02763325,-0.06729563,-0.033159923,0.06729563
desviacion_media_cierre_30m,-0.1139757,0.057458274,-0.055713322,0.1139757
volumen_relativo_30m,-0.14454012,-0.032910056,-0.03251427,0.14454012
operaciones_relativas_30m,-0.113367185,0.08192551,-0.082296774,0.113367185
rendimiento_60m,-0.13898927,-0.15008923,0.18900241,0.18900241
volatilidad_60m,-0.088216476,0.012944142,-0.114126734,0.114126734
desviacion_media_cierre_60m,-0.060622368,0.025004964,-0.012692974,0.060622368
volumen_relativo_60m,-0.1072451,0.03033593,0.0029790779,0.1072451
operaciones_relativas_60m,-0.16595866,0.09574597,0.14389898,0.16595866
rendimiento_240m,0.03647584,-0.020806765,0.08487525,0.08487525
volatilidad_240m,0.14001715,-0.435996,0.2185307,0.435996
desviacion_media_cierre_240m,-0.042564295,0.07160921,-0.028162887,0.07160921
volumen_relativo_240m,0.0713149,0.09339618,-0.053860456,0.09339618
operaciones_relativas_240m,0.22010584,0.003388475,-0.055509314,0.22010584
minuto_dia_seno,0.036110263,-0.09372194,0.019552547,0.09372194
minuto_dia_coseno,-0.09301352,0.055627577,0.036531527,0.09301352
dia_semana_seno,0.08709153,0.041575115,-0.03878648,0.08709153
dia_semana_coseno,-0.030510418,0.036608294,-0.06288849,0.06288849
otro_rendimiento_1m,0.0074969023,-0.11617366,-0.028684514,0.11617366
divergencia_rendimiento_1m,-0.09337809,-0.11445472,0.016657762,0.11445472
divergencia_rendimiento_60m,0.070434935,-0.080992654,-0.048589434,0.080992654
otro_rendimiento_240m,0.062445763,-0.091555335,0.07615478,0.091555335
divergencia_rendimiento_240m,-0.010077904,0.07181607,-0.018697029,0.07181607
otro_volatilidad_60m,-0.05020572,0.07585023,0.033105575,0.07585023
ratio_volatilidad_60m,-0.070224375,0.09965969,-0.033553727,0.09965969
otro_volatilidad_240m,0.1282037,-0.051311165,-0.27975953,0.27975953
ratio_volatilidad_240m,0.055066597,-0.050160084,-0.15320374,0.15320374
correlacion_btc_eth_60m,-0.025161523,0.05962495,0.03627698,0.05962495
beta_propio_otro_60m,0.055364087,-0.00212169,0.012054561,0.055364087
residual_propio_otro_60m,-0.07338779,-0.00056424574,-0.0049207387,0.07338779
correlacion_btc_eth_240m,-0.10198769,0.06454802,0.15133475,0.15133475
beta_propio_otro_240m,-0.14699414,0.0694855,0.07010319,0.14699414
residual_propio_otro_240m,-0.046966378,0.13333145,-0.024058122,0.13333145
correlacion_btc_eth_1440m,0.13776553,0.06581179,-0.008289547,0.13776553
beta_propio_otro_1440m,-0.007565164,-0.01818399,0.020090068,0.020090068
residual_propio_otro_1440m,-0.11340275,-0.08622614,-0.012634535,0.11340275
