variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.3396885,0.3396885
ratio_volatilidad_240m,0.2800476,0.2800476
beta_propio_otro_240m,-0.16509235,0.16509235
correlacion_btc_eth_60m,0.14526717,0.14526717
volatilidad_240m,-0.14233275,0.14233275
beta_propio_otro_60m,-0.1262174,0.1262174
correlacion_btc_eth_240m,0.11178663,0.11178663
minuto_dia_coseno,-0.10855951,0.10855951
dia_semana_seno,0.10492783,0.10492783
rango_relativo,0.10185586,0.10185586
ratio_volatilidad_60m,0.09919831,0.09919831
correlacion_btc_eth_1440m,0.09616847,0.09616847
volatilidad_60m,0.082681485,0.082681485
operaciones_relativas_240m,-0.06000531,0.06000531
mecha_superior_relativa,0.05394565,0.05394565
desviacion_media_cierre_30m,-0.053878974,0.053878974
zscore_divergencia_1440m,-0.047891144,0.047891144
operaciones_relativas_60m,0.04559972,0.04559972
residual_propio_otro_1440m,0.043787014,0.043787014
volatilidad_15m,0.04213051,0.04213051
volatilidad_30m,0.034318916,0.034318916
desviacion_media_cierre_240m,-0.03229903,0.03229903
otro_volatilidad_60m,-0.031632565,0.031632565
volumen_relativo_5m,0.028408037,0.028408037
volumen_relativo_15m,-0.028401138,0.028401138
cuerpo_relativo,-0.026603637,0.026603637
divergencia_rendimiento_1m,0.025970316,0.025970316
operaciones_relativas_5m,-0.025276223,0.025276223
dia_semana_coseno,0.02508151,0.02508151
volumen_relativo_240m,-0.0249807,0.0249807
mecha_inferior_relativa,0.024494462,0.024494462
beta_propio_otro_1440m,-0.024148736,0.024148736
residual_propio_otro_60m,0.02154259,0.02154259
otro_rendimiento_240m,-0.02136272,0.02136272
rendimiento_60m,-0.020211468,0.020211468
rendimiento_240m,-0.01887089,0.01887089
operaciones_relativas_15m,-0.01850088,0.01850088
minuto_dia_seno,-0.018343205,0.018343205
divergencia_rendimiento_60m,-0.017176505,0.017176505
rendimiento_30m,0.015964838,0.015964838
otro_rendimiento_30m,0.014031441,0.014031441
volumen_relativo_60m,-0.01304583,0.01304583
divergencia_rendimiento_240m,0.011876481,0.011876481
rendimiento_1m,0.011100047,0.011100047
zscore_divergencia_240m,0.010531332,0.010531332
divergencia_rendimiento_15m,0.007680711,0.007680711
desviacion_media_cierre_60m,0.0072572404,0.0072572404
otro_rendimiento_15m,-0.007073016,0.007073016
otro_rendimiento_60m,-0.0068317465,0.0068317465
desviacion_media_cierre_15m,0.006714257,0.006714257
divergencia_rendimiento_5m,-0.005797258,0.005797258
volumen_relativo_30m,-0.0053039654,0.0053039654
otro_rendimiento_1m,-0.005204963,0.005204963
operaciones_relativas_30m,0.0039971718,0.0039971718
rendimiento_15m,-0.0038170528,0.0038170528
rendimiento_5m,-0.0033998855,0.0033998855
desviacion_media_cierre_5m,-0.0029348838,0.0029348838
residual_propio_otro_240m,-0.002620098,0.002620098
divergencia_rendimiento_30m,-0.0026056028,0.0026056028
proporcion_compradora_base,-0.002304694,0.002304694
proporcion_compradora_cotizacion,0.00158092,0.00158092
otro_rendimiento_5m,0.00032309597,0.00032309597
volatilidad_5m,-1.1979371e-06,1.1979371e-06
