variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_60m,0.39191732,0.39191732
volatilidad_60m,-0.38758025,0.38758025
volatilidad_240m,0.25655442,0.25655442
ratio_volatilidad_60m,0.20585369,0.20585369
divergencia_rendimiento_240m,-0.16246475,0.16246475
ratio_volatilidad_240m,-0.14049402,0.14049402
residual_propio_otro_240m,0.14038675,0.14038675
beta_propio_otro_60m,-0.1256942,0.1256942
cuerpo_relativo,0.1253495,0.1253495
minuto_dia_coseno,-0.12286222,0.12286222
volatilidad_30m,0.11503398,0.11503398
beta_propio_otro_240m,0.10186049,0.10186049
otro_volatilidad_240m,0.10141232,0.10141232
volumen_relativo_240m,0.09089477,0.09089477
dia_semana_seno,0.08342564,0.08342564
correlacion_btc_eth_60m,0.079363495,0.079363495
rendimiento_1m,-0.07752854,0.07752854
rango_relativo,0.076560035,0.076560035
correlacion_btc_eth_1440m,-0.06848409,0.06848409
correlacion_btc_eth_240m,0.06429287,0.06429287
volatilidad_5m,0.061654303,0.061654303
divergencia_rendimiento_60m,0.05878221,0.05878221
otro_rendimiento_240m,0.05831996,0.05831996
desviacion_media_cierre_30m,0.051197045,0.051197045
otro_rendimiento_1m,-0.051130164,0.051130164
desviacion_media_cierre_240m,0.048330143,0.048330143
operaciones_relativas_30m,0.047740098,0.047740098
rendimiento_30m,-0.04276105,0.04276105
rendimiento_60m,0.039442364,0.039442364
volatilidad_15m,0.038630735,0.038630735
residual_propio_otro_60m,-0.037181027,0.037181027
rendimiento_240m,-0.035658635,0.035658635
operaciones_relativas_240m,0.0353812,0.0353812
beta_propio_otro_1440m,0.034328144,0.034328144
operaciones_relativas_60m,-0.031026151,0.031026151
residual_propio_otro_1440m,0.030624751,0.030624751
volumen_relativo_5m,-0.02833335,0.02833335
minuto_dia_seno,-0.026651446,0.026651446
desviacion_media_cierre_60m,0.025836632,0.025836632
mecha_superior_relativa,-0.024800926,0.024800926
desviacion_media_cierre_15m,0.022744345,0.022744345
rendimiento_15m,-0.02270478,0.02270478
rendimiento_5m,-0.02114877,0.02114877
divergencia_rendimiento_1m,-0.020475624,0.020475624
desviacion_media_cierre_5m,0.017461399,0.017461399
volumen_relativo_15m,-0.016146801,0.016146801
volumen_relativo_60m,0.010834853,0.010834853
volumen_relativo_30m,-0.010621578,0.010621578
mecha_inferior_relativa,0.007468161,0.007468161
operaciones_relativas_5m,-0.0062411516,0.0062411516
dia_semana_coseno,0.0028648402,0.0028648402
operaciones_relativas_15m,-0.0013403648,0.0013403648
