umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.06,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.07,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.08,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.09,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.1,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.11,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.12,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.13,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.14,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.15,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.16,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.17,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.18,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.00048436342670973143,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.19,0.155510547233262,81388,441971,0,1,523359,0.9999980892693366,0.15551084437260082,1.0,2.262586770202637e-06,0.5000011312933851,0.26916379907630794,1.0000019107343143,-0.00048436439312530237,-0.0001133628864080638,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.2,0.155510547233262,81388,441970,0,2,523358,0.9999961785386732,0.15551114151307519,1.0,4.525173540405274e-06,0.5000022625867702,0.26916424416201185,1.0000038214759306,-0.0004843643545304814,-0.00011335960978853254,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.21,0.155510547233262,81388,441953,0,19,523341,0.9999636961173953,0.15551619307487852,1.0,4.2989148633850105e-05,0.5000214945743169,0.26917181084419634,1.0000363052006245,-0.00048437319250853165,-0.00011328744540728408,2182,5.980824540932963,0.15490375802016498,0.48854262144821264,-0.000484660918576808,-0.000484660918576808,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0
0.22,0.155510547233262,81388,441913,0,59,523301,0.999887266890859,0.1555280803973239,1.0,0.0001334926194419556,0.500066746309721,0.26918961648053796,1.0001127458193277,-0.0004843940755709219,-0.00011309975749296264,2182,5.980824540932963,0.15582034830430797,0.48625114573785516,-0.0004843396858176055,-0.0004843396858176055,-0.00013447166781577202,0.8375418299856028,-0.6945268522176864,0.0
0.23,0.155510547233262,81388,441809,0,163,523197,0.9996885509018649,0.15555899594225503,1.0,0.0003688016435430299,0.5001844008217715,0.2692359221614827,1.000311546128896,-0.0004845044007664546,-0.00011309776883239309,2182,5.980824540932963,0.15490375802016498,0.4867094408799267,-0.0004846635777238136,-0.0004846635777238136,-0.00014119395583489514,0.8374987973049999,-0.6948927267496828,0.0
0.24,0.155510547233262,81388,441659,0,313,523047,0.999401941302354,0.15560360732400721,1.0,0.0007081896590734255,0.5003540948295367,0.2693027372670345,1.00059841658589,-0.0004846030029666297,-0.00011287981830965244,2182,5.980824540932963,0.15490375802016498,0.4867094408799267,-0.0004846635777238136,-0.0004846635777238136,-0.00014119395583489514,0.8374987973049999,-0.6948927267496828,0.0
0.25,0.155510547233262,81388,441384,0,588,522772,0.9988764903699174,0.1556854613483507,1.0,0.0013304010208791508,0.5006652005104396,0.26942531779661016,1.0011247733237434,-0.0004847601708091848,-0.00011245537089821234,2182,5.980824540932963,0.153987167736022,0.4830430797433547,-0.00048541846855198453,-0.00048541846855198453,-0.00015935041344938838,0.8374727256235595,-0.694940292986379,0.0
0.26,0.155510547233262,81387,440872,1,1100,522259,0.9978962855395903,0.1558364719420824,0.9999877131763897,0.002488845447222901,0.5012382793118063,0.269650971511496,1.0020958366787271,-0.0004850436272120946,-0.00011139660224990244,2182,5.980824540932963,0.15627864344637946,0.4853345554537122,-0.0004808616258506068,-0.0004808616258506068,-0.0001299154770550981,0.8392531174705546,-0.6942856930852603,0.0
