variable,coeficiente_clase_positiva,coeficiente_absoluto
volatilidad_60m,-0.4056454,0.4056454
otro_volatilidad_60m,0.36712912,0.36712912
volatilidad_240m,0.3178552,0.3178552
ratio_volatilidad_60m,0.19629593,0.19629593
cuerpo_relativo,0.18715237,0.18715237
ratio_volatilidad_240m,-0.15548699,0.15548699
divergencia_rendimiento_240m,-0.14462258,0.14462258
residual_propio_otro_240m,0.13316087,0.13316087
rendimiento_1m,-0.12959549,0.12959549
minuto_dia_coseno,-0.12340233,0.12340233
beta_propio_otro_60m,-0.119224526,0.119224526
correlacion_btc_eth_60m,0.09833494,0.09833494
beta_propio_otro_240m,0.09326248,0.09326248
dia_semana_seno,0.08888738,0.08888738
volumen_relativo_240m,0.08624858,0.08624858
desviacion_media_cierre_30m,0.08109884,0.08109884
volatilidad_30m,0.07661229,0.07661229
correlacion_btc_eth_240m,0.075383,0.075383
otro_rendimiento_1m,-0.074822664,0.074822664
correlacion_btc_eth_1440m,-0.07133132,0.07133132
operaciones_relativas_60m,-0.0674745,0.0674745
otro_rendimiento_240m,0.06073986,0.06073986
divergencia_rendimiento_1m,-0.054171875,0.054171875
residual_propio_otro_60m,-0.046955824,0.046955824
volatilidad_5m,0.046824403,0.046824403
divergencia_rendimiento_60m,0.0457063,0.0457063
desviacion_media_cierre_240m,0.045470398,0.045470398
operaciones_relativas_240m,0.044781636,0.044781636
operaciones_relativas_30m,0.038071543,0.038071543
beta_propio_otro_1440m,0.036661763,0.036661763
zscore_divergencia_1440m,0.03555641,0.03555641
zscore_divergencia_240m,-0.03277322,0.03277322
rango_relativo,0.03149201,0.03149201
volumen_relativo_30m,-0.03145725,0.03145725
rendimiento_60m,0.027290968,0.027290968
mecha_superior_relativa,-0.026661776,0.026661776
desviacion_media_cierre_5m,0.026431045,0.026431045
residual_propio_otro_1440m,0.023664303,0.023664303
rendimiento_30m,-0.022554183,0.022554183
volumen_relativo_5m,-0.022217238,0.022217238
rendimiento_5m,-0.021292415,0.021292415
desviacion_media_cierre_60m,0.020972751,0.020972751
rendimiento_240m,-0.02052836,0.02052836
otro_rendimiento_5m,-0.020332415,0.020332415
otro_rendimiento_30m,-0.018536003,0.018536003
otro_volatilidad_240m,0.017819567,0.017819567
minuto_dia_seno,-0.016514353,0.016514353
volumen_relativo_15m,-0.015249042,0.015249042
otro_rendimiento_15m,-0.012300201,0.012300201
mecha_inferior_relativa,0.011100109,0.011100109
divergencia_rendimiento_15m,0.010187072,0.010187072
volatilidad_15m,0.009955314,0.009955314
rendimiento_15m,-0.008902589,0.008902589
desviacion_media_cierre_15m,0.007508818,0.007508818
divergencia_rendimiento_5m,0.0065285885,0.0065285885
volumen_relativo_60m,-0.00535691,0.00535691
proporcion_compradora_base,0.0047799814,0.0047799814
proporcion_compradora_cotizacion,-0.004046816,0.004046816
otro_rendimiento_60m,-0.0024271456,0.0024271456
operaciones_relativas_5m,0.0019097575,0.0019097575
divergencia_rendimiento_30m,0.0014904061,0.0014904061
dia_semana_coseno,0.001289111,0.001289111
operaciones_relativas_15m,0.00013548523,0.00013548523
