variable,coeficiente_clase_positiva,coeficiente_absoluto
volatilidad_240m,0.5369598,0.5369598
otro_volatilidad_240m,-0.31760272,0.31760272
volatilidad_60m,-0.29551992,0.29551992
cuerpo_relativo,0.21721822,0.21721822
otro_volatilidad_60m,0.21617186,0.21617186
divergencia_rendimiento_240m,-0.20196389,0.20196389
ratio_volatilidad_60m,0.16721861,0.16721861
residual_propio_otro_240m,0.1642079,0.1642079
rendimiento_1m,-0.14058784,0.14058784
beta_propio_otro_60m,-0.10563883,0.10563883
desviacion_media_cierre_30m,0.095431075,0.095431075
correlacion_btc_eth_240m,0.09061979,0.09061979
ratio_volatilidad_240m,-0.085968085,0.085968085
otro_rendimiento_1m,-0.085864425,0.085864425
minuto_dia_coseno,-0.08380121,0.08380121
desviacion_media_cierre_240m,0.080688626,0.080688626
rendimiento_240m,-0.08055756,0.08055756
volumen_relativo_240m,0.07210476,0.07210476
correlacion_btc_eth_60m,0.07195203,0.07195203
volumen_relativo_60m,-0.070099965,0.070099965
dia_semana_seno,0.05705297,0.05705297
zscore_divergencia_240m,-0.05309343,0.05309343
zscore_divergencia_1440m,0.051268112,0.051268112
volatilidad_5m,0.05047269,0.05047269
rango_relativo,-0.048856128,0.048856128
divergencia_rendimiento_1m,-0.046541918,0.046541918
beta_propio_otro_240m,-0.046373554,0.046373554
operaciones_relativas_60m,-0.0452282,0.0452282
otro_rendimiento_240m,0.04507606,0.04507606
volumen_relativo_30m,-0.043125246,0.043125246
correlacion_btc_eth_1440m,-0.04238563,0.04238563
mecha_superior_relativa,-0.037590776,0.037590776
divergencia_rendimiento_60m,0.036536537,0.036536537
operaciones_relativas_30m,0.03214453,0.03214453
residual_propio_otro_60m,-0.030688481,0.030688481
rendimiento_30m,-0.029351754,0.029351754
beta_propio_otro_1440m,0.029124103,0.029124103
minuto_dia_seno,-0.026844304,0.026844304
rendimiento_5m,-0.024358623,0.024358623
otro_rendimiento_30m,-0.024206676,0.024206676
desviacion_media_cierre_15m,0.024045052,0.024045052
operaciones_relativas_240m,-0.023215907,0.023215907
rendimiento_60m,0.022425374,0.022425374
otro_rendimiento_5m,-0.021028595,0.021028595
volatilidad_30m,0.01874242,0.01874242
volatilidad_15m,-0.017797831,0.017797831
otro_rendimiento_15m,-0.01557124,0.01557124
rendimiento_15m,-0.013216179,0.013216179
volumen_relativo_15m,-0.012223253,0.012223253
divergencia_rendimiento_15m,0.0102785835,0.0102785835
proporcion_compradora_base,0.010047485,0.010047485
volumen_relativo_5m,0.009781394,0.009781394
mecha_inferior_relativa,0.008989429,0.008989429
dia_semana_coseno,0.0076450394,0.0076450394
desviacion_media_cierre_5m,0.0073976377,0.0073976377
desviacion_media_cierre_60m,-0.0041511417,0.0041511417
divergencia_rendimiento_5m,0.0038419352,0.0038419352
residual_propio_otro_1440m,0.0036140508,0.0036140508
divergencia_rendimiento_30m,0.0029370857,0.0029370857
proporcion_compradora_cotizacion,-0.0023773739,0.0023773739
otro_rendimiento_60m,-0.0017831158,0.0017831158
operaciones_relativas_5m,0.0001674228,0.0001674228
operaciones_relativas_15m,2.5933e-05,2.5933e-05
