umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.22361047835990888,117794,408973,4,29,526767,0.9999373576309795,0.22361689323742756,0.9999660435661046,7.09042987564853e-05,0.5000184739324306,0.36549921264728924,1.0000286877321927,-0.0004209132158679317,-0.00035296005647378337,2195,6.0000113895432605,0.22915717539863326,0.4783599088838269,-0.0004259415340564955,-0.0004259415340564955,-0.00033946591672640025,0.8917782139928262,-0.7131877600773733,0.0
0.06,0.22361047835990888,117776,408905,22,97,526681,0.9997741078208049,0.22361923061587563,0.9998132396135758,0.00023716265446134738,0.5000252011340186,0.36549212619806076,1.000039140634334,-0.0004208749484340639,-0.0003529034997531433,2195,6.0000113895432605,0.22915717539863326,0.4783599088838269,-0.0004259415340564955,-0.0004259415340564955,-0.00033946591672640025,0.8917782139928262,-0.7131877600773733,0.0
0.07,0.22361047835990888,117756,408686,42,316,526442,0.9993204252088079,0.22368276087394243,0.9996434574440992,0.0007726123588637708,0.5002080349014815,0.365565627716379,1.00032325190914,-0.0004208295266306823,-0.0003540571008090465,2195,6.0000113895432605,0.22915717539863326,0.4788154897494305,-0.0004265333927197871,-0.0004265333927197871,-0.00038511324299528304,0.8921967920014245,-0.7137675555453478,0.0
0.08,0.22361047835990888,117712,408136,86,866,525848,0.9981928625664389,0.22385175944379365,0.9992699366712507,0.0021173490594178024,0.5006936428653342,0.3657662752506813,1.0010790240495637,-0.00042140252783809775,-0.00035572586506249504,2195,6.0000113895432605,0.22277904328018222,0.4847380410022779,-0.00042420224660647465,-0.00042420224660647465,-0.00031376377074332495,0.8910240265201871,-0.715401772487894,0.0
0.09,0.22361047835990888,117625,406962,173,2040,524587,0.995799164768413,0.22422400860105188,0.9985313842340278,0.004987750671145862,0.5017595674525868,0.366213407847319,1.0027437454883286,-0.00042145548003620544,-0.00035659093715212364,2195,6.0000113895432605,0.214123006833713,0.47699316628701594,-0.00042272056405829965,-0.00042272056405829965,-0.00040093737740498625,0.889040721764585,-0.715614692779178,0.0
0.1,0.22361047835990888,117404,404559,394,4443,521963,0.9908181473044799,0.22492782055433047,0.9966552912613117,0.010863027564657386,0.5037591594129845,0.3670245607343992,1.0058912364218517,-0.00041955548424777003,-0.00035534327840913704,2193,5.9945444087783,0.22891016871865025,0.48153214774281805,-0.0004205906278583372,-0.0004205906278583372,-0.0003260731398633254,0.8917747216742883,-0.7116060752191486,0.0
0.11,0.22361047835990888,116932,400430,866,8572,517362,0.9820842824601367,0.22601582644260693,0.9926484320616649,0.020958332722089378,0.5068033823918772,0.36819698973487,1.010756866584877,-0.00042093889989733703,-0.0003587922709179514,2189,5.983610447248381,0.22978529008679763,0.47830059387848334,-0.00042173447223736526,-0.00042173447223736526,-0.0003675966345755288,0.8918469333571358,-0.7123721228959865,0.0
0.12,0.22361047835990888,115968,393762,1830,15240,509730,0.9675968109339408,0.22750868106644695,0.9844649314928946,0.037261431484442616,0.5108631814886686,0.3696026312770108,1.017433005533237,-0.00042660019915056774,-0.00036603730547180025,2184,5.969942995335982,0.21703296703296704,0.4734432234432234,-0.0004248228528659049,-0.0004248228528659049,-0.00037985730718115285,0.89231251773967,-0.7177844401747318,0.0
0.13,0.22361047835990888,114471,383130,3327,25872,497601,0.9445728929384966,0.23004575955434173,0.971756736107574,0.06325641439406164,0.5175065752508178,0.37202205398448807,1.0287789787027557,-0.00043631041501388044,-0.0003772993400759095,2172,5.937141110746224,0.2283609576427256,0.48250460405156537,-0.00041118368717346036,-0.00041118368717346036,-0.00028891059303337574,0.8947435443305041,-0.7045357458779526,0.0
0.14,0.22361047835990888,112062,366952,5736,42050,479014,0.909290053151101,0.23394305803170679,0.9513064737941221,0.10281123319690368,0.527058853495513,0.37553534446358317,1.046207940466758,-0.00044008946572510215,-0.00038244280786692286,2149,5.874270831949188,0.22429036761284318,0.4839460214053048,-0.000463627688848278,-0.000463627688848278,-0.00023926697394993646,0.882509383011313,-0.7364989218229685,0.0
0.15,0.22361047835990888,108482,345172,9316,63830,453654,0.8611503416856492,0.23912938054111724,0.9209154654578177,0.15606280653884333,0.5384891359983305,0.37967143347122767,1.0694014980649973,-0.0004440325207126657,-0.0003923505285238216,2114,5.778598668562393,0.2303689687795648,0.4810785241248817,-0.00045915158786994774,-0.00045915158786994774,-0.0002924873657516036,0.8829639850147036,-0.7187693217554274,0.0
0.16,0.22361047835990888,103898,319251,13900,89751,423149,0.8032441154138192,0.24553526062923461,0.8820013922137897,0.21943902474804525,0.5507202084809175,0.3841337506262166,1.0980489931873274,-0.0004440081302735541,-0.00040371417036744184,2053,5.611855755231122,0.23916220165611302,0.4705309303458354,-0.00045026951939422917,-0.00045026951939422917,-0.00035017722511043736,0.8895447669212334,-0.7077302443959911,0.0
0.17,0.22361047835990888,97868,290018,19930,118984,387886,0.7363059984813971,0.25231124608776806,0.8308120681166064,0.2909130028704016,0.560862535493504,0.38707176813978694,1.128351622600012,-0.0004464953690742373,-0.00041399228682603706,1966,5.374042091955376,0.23855544252288913,0.4745676500508647,-0.0004461952731366937,-0.0004461952731366937,-0.0004538841635650659,0.8923046341569302,-0.697433099004072,0.0
0.18,0.22361047835990888,90486,257545,27312,151457,348031,0.6606511009870919,0.2599940809870385,0.7681454693628075,0.37030870264693083,0.5692270860048692,0.38849449046753204,1.1627097392483055,-0.0004527177370769386,-0.0004152113238387045,1875,5.12529446714971,0.2448,0.4752,-0.00041056867806224165,-0.00041056867806224165,-0.0004760742169958032,0.9020691283096135,-0.6641156344311436,0.0
0.19,0.22361047835990888,81653,222709,36145,186293,304362,0.5777562642369021,0.26827593457790394,0.6931611742134841,0.455481880284204,0.574321527248844,0.3868343755921925,1.1997467048306405,-0.00047787971999614675,-0.00040823779341092603,1755,4.797275621252129,0.25071225071225073,0.4735042735042735,-0.00048382696595224736,-0.00048382696595224736,-0.00040684889811393177,0.8890498661706887,-0.7005164845479706,0.0
0.2,0.22361047835990888,72093,187985,45705,221017,260078,0.4936940015186029,0.2771976099477849,0.6120052972036877,0.5403812206297279,0.5761932589167078,0.3815696154294001,1.2396449932977902,-0.000494537129675913,-0.0003850890121974704,1606,4.389985554262632,0.25653798256537985,0.4806973848069738,-0.00041329707766463733,-0.00041329707766463733,-0.00037775905290848844,0.9071166255383658,-0.6367290731270174,0.0
0.21,0.22361047835990888,62195,155462,55603,253540,217657,0.413168185269552,0.2857477590888416,0.5279801015297374,0.6198991691972167,0.573939635363477,0.37080979565068345,1.2778817933072018,-0.0005326520918158761,-0.00035569353715469987,1470,4.018230862245373,0.27346938775510204,0.4850340136054422,-0.0003899086641993954,-0.0003899086641993954,-0.00029810872678526223,0.9149233898212971,-0.5720989928237981,0.0
0.22,0.22361047835990888,52436,126877,65362,282125,179313,0.34038154897494305,0.2924272082894157,0.44513489193364913,0.6897888029887385,0.5674618474611938,0.35297245810488337,1.3077527065558345,-0.0005991286606817381,-0.00035864923890693845,1291,3.5289360837814803,0.2935708752904725,0.4701781564678544,-0.0004223538657293903,-0.0004223538657293903,-0.000513973119129485,0.912641908041752,-0.5600551229104771,0.0
0.23,0.22361047835990888,43517,102077,74281,306925,145594,0.27637433561123764,0.2988928115169581,0.3694205334555765,0.7504242033046293,0.5599223683801029,0.3304352448062204,1.3366672872810534,-0.0007034643906661094,-0.00037324991431808563,1141,3.1189125264095034,0.27607361963190186,0.4706397896581946,-0.0004896608960399802,-0.0004896608960399802,-0.0007743014338865706,0.902433293764775,-0.5730414588302783,0.0
0.24,0.22361047835990888,35493,80906,82305,328096,116399,0.22095482156416096,0.30492530004553303,0.30130392706158,0.8021867863726828,0.5517453567171314,0.30310379723053665,1.3636449520703815,-0.0008833712068952513,-0.0004774099886948324,999,2.7307568920973653,0.2912912912912913,0.4924924924924925,-0.00038591945620009764,-0.00038591945620009764,-0.00013443208486041414,0.9239865278335205,-0.5154881129840583,0.0
0.25,0.22361047835990888,28468,62940,89330,346062,91408,0.1735155656795748,0.31143882373534043,0.24166794003293773,0.846113221940235,0.5438905809865864,0.2721528063248664,1.3927738360904034,-0.0010303923995796736,-0.000580273043734314,849,2.320733334725389,0.29093050647820967,0.4664310954063604,-0.000822804984373159,-0.000822804984373159,-0.0005602818514618413,0.8527963390696868,-0.602323862855181,0.0
