umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.17932016202996026,93849,429507,0,4,523356,0.9999923570773463,0.17932153257056382,1.0,9.31291631646221e-06,0.5000046564581583,0.3041096556249544,1.0000076429810683,0.0004843931886196998,0.00011336597034894424,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.06,0.17932016202996026,93849,429497,0,14,523346,0.9999732497707123,0.17932495901373088,1.0,3.259520710761773e-05,0.5000162976035538,0.30411458291139754,1.0000267509448817,0.00048446722078350756,0.00011344253970668738,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.07,0.17932016202996026,93849,429235,0,276,523084,0.9994726383369,0.17941477850593787,1.0,0.0006425912258358925,0.5003212956129179,0.3042437347329451,1.000527639920166,0.00048571068504559527,0.00011411427087992809,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.08,0.17932016202996026,93849,428739,0,772,522588,0.9985249159278509,0.17958506509908378,1.0,0.0017973928490772064,0.5008986964245387,0.30448853654144703,1.0014772631595061,0.00048668009152492834,0.0001150147695138104,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.09,0.17932016202996026,93849,428366,0,1145,522215,0.9978122133904005,0.17971333646103616,1.0,0.0026658222955873072,0.5013329111477937,0.30467289112819446,1.0021925835144527,0.0004875982636937325,0.00011667085294564394,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.1,0.17932016202996026,93849,427825,0,1686,521674,0.996778508101498,0.17989970748015044,1.0,0.003925394227388821,0.5019626971136945,0.3049406764653798,1.0032319034492805,0.0004887852887484548,0.00011977528362483447,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.11,0.17932016202996026,93849,427001,0,2510,520850,0.9952040660348517,0.18018431410194874,1.0,0.005843854988580036,0.50292192749429,0.30534944745314374,1.0048190457905346,0.0004911072505483776,0.00012312885767606918,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.12,0.17932016202996026,93849,426088,0,3423,519937,0.9934595689391623,0.1805007145096425,1.0,0.007969528137812536,0.5039847640689062,0.30580365143551663,1.0065834899228174,0.0004934847829072379,0.00012430914375527458,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.13,0.17932016202996026,93849,425263,0,4248,519112,0.9918832161418526,0.180787575706206,1.0,0.009890317128082866,0.5049451585640414,0.3062152404475978,1.0081832051657447,0.0004943333859624832,0.00012410683404495693,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.14,0.17932016202996026,93841,424359,8,5152,518200,0.9901406297768267,0.18109031262060982,0.9999147566836087,0.011995036215603326,0.505954896449606,0.30664538296770355,1.009871453218706,0.0004951596681229029,0.0001247644947397486,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.15,0.17932016202996026,93803,423216,46,6295,517019,0.9878840568633446,0.1814304696732615,0.9995098509307505,0.014656202053032402,0.5070830264918914,0.3071138118218666,1.0117683790791392,0.000495856803645302,0.00012669165735434973,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.16,0.17932016202996026,93754,421956,95,7555,515710,0.9853829104249465,0.18179597060363384,0.9989877356178543,0.017589770692718,0.5082887531552861,0.3076125526815288,1.0138066380581339,0.0004961424508937757,0.00012676977033065917,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.17,0.17932016202996026,93676,420544,173,8967,514220,0.982535921736472,0.18217105519038543,0.9981566132830397,0.020877230152429156,0.5095169217177344,0.30810977043723653,1.0158983414254825,0.0004955785892836713,0.000124634878130081,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.18,0.17932016202996026,93561,418720,288,10791,512281,0.9788310149801284,0.18263609230090516,0.9969312406099159,0.025123919992735926,0.5110275803013259,0.3087159520234933,1.018491675634282,0.000495086147612068,0.0001226331796331248,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.19,0.17932016202996026,93357,416341,492,13170,509698,0.9738955976765515,0.18316140145733356,0.9947575360419397,0.030662776971951824,0.5127101565069457,0.3093611599428048,1.0214211240046254,0.0004952995155671719,0.00012364329613467895,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.2,0.17932016202996026,93047,412965,802,16546,506012,0.9668526444512382,0.18388299091721144,0.9914543575317798,0.03852287834304593,0.5149886179374129,0.31022853627757097,1.0254451526007926,0.000500945429219379,0.00012734290968208217,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
0.21,0.17932016202996026,92596,408198,1253,21313,500794,0.9568824518495873,0.18489838137038384,0.9866487655702245,0.049621546363189765,0.5181351559667071,0.31143391917503443,1.0311075970335761,0.0005050942268801727,0.00013072859336860088,3,3.0,0.3333333333333333,0.6666666666666666,0.008296342926404058,0.008296342926404058,0.0023463075943124245,40.02899324585849,0.0,0.0
