variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.42709643,0.42709643
ratio_volatilidad_240m,0.22645248,0.22645248
volatilidad_240m,-0.2229335,0.2229335
rango_relativo,0.21246576,0.21246576
volatilidad_60m,0.1884872,0.1884872
dia_semana_seno,0.114207804,0.114207804
correlacion_btc_eth_1440m,0.10768038,0.10768038
minuto_dia_coseno,-0.09992222,0.09992222
desviacion_media_cierre_30m,-0.08933602,0.08933602
volatilidad_15m,0.08663051,0.08663051
divergencia_rendimiento_240m,0.07795065,0.07795065
residual_propio_otro_240m,-0.07781678,0.07781678
mecha_superior_relativa,0.07561831,0.07561831
operaciones_relativas_60m,0.07155212,0.07155212
volatilidad_30m,0.07142282,0.07142282
residual_propio_otro_1440m,0.06995166,0.06995166
correlacion_btc_eth_240m,0.069335364,0.069335364
beta_propio_otro_240m,-0.067044005,0.067044005
cuerpo_relativo,-0.062351394,0.062351394
correlacion_btc_eth_60m,0.05026802,0.05026802
volumen_relativo_15m,-0.043850098,0.043850098
minuto_dia_seno,-0.043223016,0.043223016
volatilidad_5m,0.042578325,0.042578325
beta_propio_otro_1440m,-0.041335166,0.041335166
desviacion_media_cierre_60m,0.04064162,0.04064162
otro_rendimiento_240m,-0.038299214,0.038299214
dia_semana_coseno,0.03597936,0.03597936
desviacion_media_cierre_240m,-0.035050094,0.035050094
operaciones_relativas_5m,-0.034727506,0.034727506
volumen_relativo_60m,0.03109257,0.03109257
operaciones_relativas_30m,0.030561669,0.030561669
mecha_inferior_relativa,0.026981752,0.026981752
residual_propio_otro_60m,0.022278165,0.022278165
rendimiento_1m,0.021817874,0.021817874
volumen_relativo_5m,0.021187117,0.021187117
rendimiento_60m,-0.020567594,0.020567594
divergencia_rendimiento_60m,-0.019198138,0.019198138
volumen_relativo_30m,-0.019176763,0.019176763
rendimiento_30m,0.016640192,0.016640192
operaciones_relativas_15m,-0.016178804,0.016178804
otro_rendimiento_1m,0.014441022,0.014441022
desviacion_media_cierre_5m,0.013363727,0.013363727
ratio_volatilidad_60m,-0.012383789,0.012383789
operaciones_relativas_240m,-0.009492743,0.009492743
volumen_relativo_240m,0.00653449,0.00653449
rendimiento_15m,-0.006506846,0.006506846
divergencia_rendimiento_1m,0.005652708,0.005652708
beta_propio_otro_60m,0.0043306495,0.0043306495
rendimiento_240m,0.0039899456,0.0039899456
desviacion_media_cierre_15m,0.0033984284,0.0033984284
rendimiento_5m,-0.002055881,0.002055881
otro_volatilidad_60m,-0.001151737,0.001151737
