variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.62244797,0.62244797
volatilidad_240m,-0.45784763,0.45784763
desviacion_media_cierre_240m,-0.19694863,0.19694863
rango_relativo,0.19362216,0.19362216
correlacion_btc_eth_1440m,0.18338184,0.18338184
beta_propio_otro_240m,0.15523808,0.15523808
divergencia_rendimiento_240m,0.14652671,0.14652671
desviacion_media_cierre_30m,-0.14034645,0.14034645
desviacion_media_cierre_60m,0.11769356,0.11769356
otro_volatilidad_60m,0.11434655,0.11434655
volatilidad_15m,0.109932356,0.109932356
ratio_volatilidad_240m,0.10113253,0.10113253
dia_semana_seno,0.09719956,0.09719956
residual_propio_otro_240m,-0.09205493,0.09205493
mecha_superior_relativa,0.08284337,0.08284337
volatilidad_30m,0.080118336,0.080118336
operaciones_relativas_240m,0.068272755,0.068272755
volatilidad_60m,0.06642915,0.06642915
volumen_relativo_240m,-0.06569771,0.06569771
operaciones_relativas_60m,0.06235102,0.06235102
residual_propio_otro_1440m,0.061088383,0.061088383
rendimiento_240m,0.057774138,0.057774138
minuto_dia_coseno,-0.053647805,0.053647805
correlacion_btc_eth_240m,-0.050605062,0.050605062
zscore_divergencia_1440m,-0.04822147,0.04822147
beta_propio_otro_1440m,-0.046897907,0.046897907
operaciones_relativas_15m,-0.03828415,0.03828415
operaciones_relativas_30m,0.035614565,0.035614565
otro_rendimiento_240m,-0.03321531,0.03321531
dia_semana_coseno,0.032147747,0.032147747
operaciones_relativas_5m,-0.03173741,0.03173741
correlacion_btc_eth_60m,0.031381514,0.031381514
volatilidad_5m,0.03071777,0.03071777
mecha_inferior_relativa,0.02869745,0.02869745
rendimiento_30m,0.02591373,0.02591373
ratio_volatilidad_60m,0.025624119,0.025624119
rendimiento_1m,-0.024679173,0.024679173
volumen_relativo_15m,-0.024480939,0.024480939
zscore_divergencia_240m,0.021701483,0.021701483
otro_rendimiento_1m,-0.020432433,0.020432433
otro_rendimiento_30m,0.019984012,0.019984012
volumen_relativo_5m,0.019925613,0.019925613
minuto_dia_seno,-0.016152197,0.016152197
divergencia_rendimiento_60m,-0.015624002,0.015624002
rendimiento_60m,-0.014416509,0.014416509
desviacion_media_cierre_5m,0.01353932,0.01353932
beta_propio_otro_60m,-0.012104716,0.012104716
rendimiento_5m,-0.011833852,0.011833852
volumen_relativo_30m,0.011503095,0.011503095
volumen_relativo_60m,0.010783758,0.010783758
residual_propio_otro_60m,-0.009529427,0.009529427
otro_rendimiento_5m,-0.009129636,0.009129636
desviacion_media_cierre_15m,-0.008923853,0.008923853
proporcion_compradora_base,-0.007321915,0.007321915
proporcion_compradora_cotizacion,0.0047133323,0.0047133323
otro_rendimiento_60m,-0.002957325,0.002957325
cuerpo_relativo,-0.0028840818,0.0028840818
divergencia_rendimiento_15m,0.0027848587,0.0027848587
otro_rendimiento_15m,-0.0026125186,0.0026125186
divergencia_rendimiento_1m,0.0018791548,0.0018791548
rendimiento_15m,-0.0015135002,0.0015135002
divergencia_rendimiento_5m,-0.0002358983,0.0002358983
divergencia_rendimiento_30m,8.830283e-05,8.830283e-05
