variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.6573942,0.6573942
volatilidad_240m,-0.48630798,0.48630798
correlacion_btc_eth_1440m,0.18027313,0.18027313
desviacion_media_cierre_240m,-0.16634037,0.16634037
beta_propio_otro_240m,0.16585134,0.16585134
divergencia_rendimiento_240m,0.1658112,0.1658112
rango_relativo,0.16071792,0.16071792
desviacion_media_cierre_30m,-0.12068501,0.12068501
residual_propio_otro_240m,-0.11754144,0.11754144
desviacion_media_cierre_60m,0.10243531,0.10243531
dia_semana_seno,0.09804827,0.09804827
volumen_relativo_240m,-0.08421942,0.08421942
ratio_volatilidad_240m,0.08246805,0.08246805
volatilidad_15m,0.07223295,0.07223295
mecha_superior_relativa,0.06995182,0.06995182
correlacion_btc_eth_60m,0.065246955,0.065246955
residual_propio_otro_1440m,0.06329379,0.06329379
volatilidad_60m,0.059428047,0.059428047
volatilidad_30m,0.059413675,0.059413675
correlacion_btc_eth_240m,-0.059150733,0.059150733
cuerpo_relativo,-0.059143145,0.059143145
rendimiento_240m,0.058147084,0.058147084
zscore_divergencia_1440m,-0.05686125,0.05686125
minuto_dia_coseno,-0.056273513,0.056273513
beta_propio_otro_1440m,-0.052239,0.052239
otro_rendimiento_240m,-0.043145142,0.043145142
volumen_relativo_15m,-0.04220211,0.04220211
operaciones_relativas_240m,0.041895412,0.041895412
operaciones_relativas_30m,0.040101737,0.040101737
operaciones_relativas_5m,-0.037662376,0.037662376
ratio_volatilidad_60m,0.03708247,0.03708247
desviacion_media_cierre_5m,0.034067698,0.034067698
rendimiento_60m,-0.033828557,0.033828557
volumen_relativo_5m,0.033625565,0.033625565
divergencia_rendimiento_1m,0.031504113,0.031504113
otro_volatilidad_60m,0.031212477,0.031212477
operaciones_relativas_15m,-0.029440528,0.029440528
divergencia_rendimiento_60m,-0.029121196,0.029121196
beta_propio_otro_60m,-0.026644148,0.026644148
mecha_inferior_relativa,0.025173806,0.025173806
dia_semana_coseno,0.024150854,0.024150854
residual_propio_otro_60m,0.02041911,0.02041911
rendimiento_1m,0.019190094,0.019190094
operaciones_relativas_60m,0.01701018,0.01701018
volatilidad_5m,0.016958393,0.016958393
rendimiento_5m,-0.016550085,0.016550085
divergencia_rendimiento_30m,-0.016182471,0.016182471
minuto_dia_seno,-0.016107885,0.016107885
divergencia_rendimiento_5m,-0.015595847,0.015595847
zscore_divergencia_240m,0.015561752,0.015561752
otro_rendimiento_30m,0.015351538,0.015351538
volumen_relativo_30m,0.015092063,0.015092063
otro_rendimiento_60m,-0.010873473,0.010873473
rendimiento_30m,0.009044876,0.009044876
desviacion_media_cierre_15m,0.007606213,0.007606213
proporcion_compradora_base,-0.00702815,0.00702815
otro_rendimiento_5m,-0.004886215,0.004886215
volumen_relativo_60m,0.004323245,0.004323245
proporcion_compradora_cotizacion,0.003379495,0.003379495
otro_rendimiento_15m,-0.0031299733,0.0031299733
rendimiento_15m,-0.0027596534,0.0027596534
divergencia_rendimiento_15m,0.0019124827,0.0019124827
otro_rendimiento_1m,-0.0017066775,0.0017066775
