variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.5998498,0.5998498
volatilidad_240m,-0.4712389,0.4712389
correlacion_btc_eth_1440m,0.18269011,0.18269011
divergencia_rendimiento_240m,0.1519374,0.1519374
beta_propio_otro_240m,0.14205603,0.14205603
desviacion_media_cierre_240m,-0.13234441,0.13234441
residual_propio_otro_240m,-0.11317332,0.11317332
desviacion_media_cierre_30m,-0.111232646,0.111232646
volumen_relativo_240m,-0.102387585,0.102387585
dia_semana_seno,0.095688105,0.095688105
rango_relativo,0.09268204,0.09268204
desviacion_media_cierre_60m,0.08495629,0.08495629
ratio_volatilidad_240m,0.08454181,0.08454181
correlacion_btc_eth_60m,0.08161617,0.08161617
zscore_divergencia_1440m,-0.059462097,0.059462097
residual_propio_otro_1440m,0.05927332,0.05927332
minuto_dia_coseno,-0.056599684,0.056599684
rendimiento_240m,0.05471057,0.05471057
mecha_superior_relativa,0.054677255,0.054677255
beta_propio_otro_1440m,-0.054635424,0.054635424
operaciones_relativas_15m,-0.051944274,0.051944274
volatilidad_15m,0.045947723,0.045947723
volumen_relativo_5m,0.04248264,0.04248264
correlacion_btc_eth_240m,-0.04058006,0.04058006
volumen_relativo_60m,-0.040056188,0.040056188
otro_rendimiento_240m,-0.038440946,0.038440946
volumen_relativo_15m,-0.03619154,0.03619154
mecha_inferior_relativa,0.03595654,0.03595654
rendimiento_60m,-0.03464013,0.03464013
volumen_relativo_30m,0.03399896,0.03399896
volatilidad_60m,0.03168245,0.03168245
volatilidad_30m,0.03071546,0.03071546
cuerpo_relativo,-0.030348262,0.030348262
ratio_volatilidad_60m,0.02872233,0.02872233
divergencia_rendimiento_60m,-0.027232928,0.027232928
zscore_divergencia_240m,0.024901627,0.024901627
residual_propio_otro_60m,0.022604015,0.022604015
dia_semana_coseno,0.020164985,0.020164985
volatilidad_5m,0.016964601,0.016964601
operaciones_relativas_240m,0.016608272,0.016608272
beta_propio_otro_60m,-0.016122269,0.016122269
operaciones_relativas_5m,-0.013235741,0.013235741
otro_rendimiento_30m,0.013034316,0.013034316
otro_rendimiento_60m,-0.0124910725,0.0124910725
divergencia_rendimiento_5m,-0.012082042,0.012082042
divergencia_rendimiento_1m,0.011898109,0.011898109
rendimiento_30m,0.010413168,0.010413168
divergencia_rendimiento_30m,-0.0096555445,0.0096555445
rendimiento_5m,-0.0076947855,0.0076947855
operaciones_relativas_30m,0.0069464413,0.0069464413
minuto_dia_seno,-0.005784814,0.005784814
rendimiento_1m,0.0057080723,0.0057080723
proporcion_compradora_cotizacion,0.004801978,0.004801978
proporcion_compradora_base,-0.002687903,0.002687903
otro_volatilidad_60m,0.0025227952,0.0025227952
desviacion_media_cierre_15m,-0.0023404195,0.0023404195
otro_rendimiento_1m,-0.001855347,0.001855347
operaciones_relativas_60m,-0.0017786515,0.0017786515
divergencia_rendimiento_15m,0.0012539298,0.0012539298
desviacion_media_cierre_5m,0.0012169294,0.0012169294
otro_rendimiento_15m,-0.00056450866,0.00056450866
otro_rendimiento_5m,0.00022739972,0.00022739972
rendimiento_15m,0.00011025074,0.00011025074
