umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.17932016202996026,93637,423622,212,5889,517259,0.9883426322225619,0.1810253664025179,0.9977410521156326,0.013710941046911488,0.505725996581272,0.3064499237450663,1.0095092729855595,0.0004954669444920124,0.00012476808155215124,2174,5.958896678271429,0.17571297148114076,0.5133394664213431,0.00048672456852891455,0.00048672456852891455,0.00013933007099742323,1.1991560552578426,-0.21212059638411596,0.0
0.06,0.17932016202996026,93481,420930,368,8581,514411,0.9829008712931825,0.1817243410424738,0.9960788074460036,0.019978533727890553,0.5080286705869471,0.30737184756518593,1.0134071873753485,0.0004965236655925724,0.00012664215252899957,2166,5.936968815609897,0.18236380424746076,0.5170821791320406,0.0004880125678335114,0.0004880125678335114,0.0001697261735361666,1.1946008433876478,-0.21385465397163572,0.0
0.07,0.17932016202996026,93094,417046,755,12465,510140,0.9747401406297769,0.18248716038734464,0.9919551620155782,0.02902137547117536,0.5104882687433768,0.3082638922232027,1.0176611392803405,0.0004961980587999068,0.0001268540275530805,2158,5.915040952948365,0.18674698795180722,0.5083410565338277,0.0004920400441216564,0.0004920400441216564,9.710176564337036e-05,1.1990391319386053,-0.21542944331939273,0.0
0.08,0.17932016202996026,92423,410851,1426,18660,503274,0.9616210638948334,0.18364350234663424,0.9848053788532642,0.043444754616296204,0.5141250667347802,0.3095610117178538,1.0241096163851984,0.000498279740872081,0.00012975481068300265,2153,5.901336038784907,0.18578727357176034,0.5215977705527172,0.0004967042665971692,0.0004967042665971692,0.00022866048686309703,1.1995112487111554,-0.2104129031277583,0.0
0.09,0.17932016202996026,91356,401173,2493,28338,492529,0.9410902629165393,0.18548349437292017,0.9734360515295848,0.06597735564397653,0.5197067035867806,0.31159422761426925,1.0343705485941406,0.0005045775255777927,0.00013572710707854263,2137,5.857480313461842,0.19045390734674777,0.518015910154422,0.0004890839464802983,0.0004890839464802983,0.0002235249666806549,1.1918691364777572,-0.21041853852942538,0.0
0.1,0.17932016202996026,89834,388894,4015,40617,478728,0.9147202690308774,0.18765144299059172,0.9572185105861544,0.09456568050643639,0.5258920955462953,0.313788363835781,1.0464603693545598,0.000505991815353602,0.00013612992429112847,2116,5.79991967397532,0.18667296786389415,0.5132325141776938,0.0005033483594901446,0.0005033483594901446,0.00010999718882098719,1.1977478692482193,-0.20156533060571136,0.0
0.11,0.17932016202996026,87854,374483,5995,55028,462337,0.8834014827269948,0.19002156435673545,0.9361207897793263,0.12811778976557062,0.5321192897724485,0.31591589863822533,1.059677630254356,0.0005066601699497184,0.00013532473102406684,2080,5.701244291998424,0.18173076923076922,0.5120192307692307,0.0005143314193201572,0.0005143314193201572,0.00017331093024963717,1.2063553337005946,-0.20137714507775106,0.0
0.12,0.17932016202996026,85447,358483,8402,71028,443930,0.8482306634056863,0.19247854391458113,0.9104732069601168,0.16536945503141945,0.5379213309957681,0.3177773769522425,1.0733792660884525,0.0005074154451380288,0.00013135172633171877,2035,5.577900064527304,0.1832923832923833,0.5027027027027027,0.0005181789601178015,0.0005181789601178015,4.558146006683472e-05,1.2046487388426843,-0.2038241502998258,0.0
0.13,0.17932016202996026,82645,340275,11204,89236,422920,0.8080862121675328,0.1954152085500804,0.8806167353940905,0.20776185010395543,0.544189292749023,0.31985277754664077,1.0897559222449902,0.0005098986792739101,0.00013050485792154287,1980,5.427146008729269,0.17727272727272728,0.5060606060606061,0.00047439678415247573,0.00047439678415247573,0.00012630550487213732,1.179624853341929,-0.20046554916921622,0.0
0.14,0.17932016202996026,79473,319116,14376,110395,398589,0.7615962243962091,0.1993858335277692,0.8468177604449701,0.2570248491889614,0.5519213048169658,0.3227736283552447,1.1118985800071741,0.0005302197266728374,0.0001357486829098864,1917,5.2544640902697015,0.19405320813771518,0.5200834637454356,0.0005012645980277079,0.0005012645980277079,0.00026916286867284533,1.1888054156810421,-0.20876631137076962,0.0
