variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.2870762,0.2870762
beta_propio_otro_240m,-0.25523564,0.25523564
ratio_volatilidad_240m,0.24425223,0.24425223
operaciones_relativas_240m,0.14358471,0.14358471
residual_propio_otro_240m,-0.13840309,0.13840309
divergencia_rendimiento_240m,0.12914355,0.12914355
desviacion_media_cierre_240m,0.093111716,0.093111716
beta_propio_otro_1440m,0.086236805,0.086236805
divergencia_rendimiento_60m,0.077856824,0.077856824
correlacion_btc_eth_240m,0.07543716,0.07543716
residual_propio_otro_60m,-0.06776035,0.06776035
rendimiento_240m,0.067318454,0.067318454
operaciones_relativas_30m,-0.063539416,0.063539416
operaciones_relativas_60m,-0.06147912,0.06147912
volumen_relativo_60m,0.04822561,0.04822561
otro_volatilidad_60m,-0.046262022,0.046262022
volumen_relativo_15m,-0.041105416,0.041105416
correlacion_btc_eth_60m,0.040318485,0.040318485
operaciones_relativas_15m,0.034039263,0.034039263
rendimiento_15m,-0.032696158,0.032696158
volumen_relativo_240m,0.030885354,0.030885354
desviacion_media_cierre_5m,0.027321449,0.027321449
volatilidad_5m,0.026924793,0.026924793
desviacion_media_cierre_15m,0.023471909,0.023471909
rendimiento_60m,-0.022509148,0.022509148
mecha_superior_relativa,-0.019040707,0.019040707
ratio_volatilidad_60m,0.01815678,0.01815678
desviacion_media_cierre_30m,0.018051695,0.018051695
rendimiento_30m,-0.017686771,0.017686771
cuerpo_relativo,0.017566025,0.017566025
residual_propio_otro_1440m,-0.017115144,0.017115144
minuto_dia_seno,-0.01600839,0.01600839
minuto_dia_coseno,-0.014450206,0.014450206
rendimiento_1m,-0.013858559,0.013858559
rango_relativo,0.013587236,0.013587236
rendimiento_5m,-0.012339489,0.012339489
otro_rendimiento_1m,-0.012291771,0.012291771
volatilidad_15m,0.011786923,0.011786923
volatilidad_240m,-0.0094378125,0.0094378125
correlacion_btc_eth_1440m,0.008205672,0.008205672
divergencia_rendimiento_1m,-0.007832504,0.007832504
mecha_inferior_relativa,0.0077840555,0.0077840555
volatilidad_60m,-0.0059779705,0.0059779705
volatilidad_30m,0.0054268194,0.0054268194
desviacion_media_cierre_60m,-0.0038131804,0.0038131804
volumen_relativo_30m,0.0022579033,0.0022579033
beta_propio_otro_60m,-0.0021615985,0.0021615985
operaciones_relativas_5m,0.0019930683,0.0019930683
otro_rendimiento_240m,-0.0014911781,0.0014911781
volumen_relativo_5m,0.0011523607,0.0011523607
dia_semana_seno,0.0011503209,0.0011503209
dia_semana_coseno,-0.00092979823,0.00092979823
