umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.06,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.07,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.08,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.09,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.1,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.11,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.12,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.13,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.14,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.15,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.16,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.17,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.18,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.19,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.2,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.21,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.22,0.19003171812901254,99455,423884,0,21,523339,0.9999598746560685,0.19003934352303192,1.0,4.953940151684929e-05,0.5000247697007584,0.3193832952790168,1.0000401269540393,-0.00035957120564484766,-8.529421172154272e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.23,0.19003171812901254,99455,423838,0,67,523293,0.9998719810455519,0.19005604890567998,1.0,0.00015805428102994774,0.500079027140515,0.3194068868948596,1.0001280353453992,-0.00035960418395125605,-8.53866145809068e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.24,0.19003171812901254,99455,423801,0,104,523256,0.9998012840110058,0.19006948797529316,1.0,0.00024533798846439653,0.5001226689942322,0.31942586528903455,1.0001987554848868,-0.000359692017162692,-8.566096613660257e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.25,0.19003171812901254,99455,423711,0,194,523166,0.9996293182512993,0.19010218553958017,1.0,0.0004576497092508935,0.5002288248546255,0.3194720383668395,1.000370819204612,-0.00035984133218162066,-8.614041467114308e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.26,0.19003171812901254,99455,423562,0,343,523017,0.9993446193824519,0.19015634291045988,1.0,0.0008091435581085385,0.5004045717790543,0.31954850981248956,1.0006558104229881,-0.0003599884980208293,-8.646084867480752e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.27,0.19003171812901254,99455,423282,0,623,522737,0.9988096147966983,0.19025819867352034,1.0,0.001469668911666529,0.5007348344558332,0.3196923136266619,1.0011918039090404,-0.00036030381783630646,-8.690598402028016e-05,2181,5.978083558100271,0.19761577258138469,0.5029802842732691,-0.0003595042888591549,-0.0003595042888591549,4.284490145667341e-05,0.8919958094972339,-0.610389747863431,0.0
0.28,0.19003171812901254,99455,423055,0,850,522510,0.9983758789361051,0.19034085472048382,1.0,0.0020051662518724713,0.5010025831259363,0.3198089924674218,1.0016267631241507,-0.00036058063111458425,-8.740256376948974e-05,2181,5.978083558100271,0.18844566712517194,0.504355800091701,-0.00035804333757832326,-0.00035804333757832326,6.398396135376405e-05,0.89163402963125,-0.610720727426177,0.0
0.29,0.19003171812901254,99455,422825,0,1080,522280,0.9979364108835218,0.1904246764187792,1.0,0.0025477406494379636,0.5012738703247189,0.3199273002163301,1.0020678563222791,-0.00036095211259055417,-8.836850082150072e-05,2181,5.978083558100271,0.18844566712517194,0.504355800091701,-0.00035794991754425594,-0.00035794991754425594,6.398396135376405e-05,0.8916652522410241,-0.6106420711536846,0.0
0.3,0.19003171812901254,99447,422476,8,1429,521923,0.997254280036686,0.19053960066906422,0.9999195616107788,0.003371038322265602,0.5016452999665222,0.3200853586705677,1.002672619839741,-0.00036131560424378805,-8.87530825846028e-05,2181,5.978083558100271,0.18890417239798257,0.5025217790004585,-0.00035902769593980724,-0.00035902769593980724,5.4657054312623465e-05,0.8922653276558764,-0.6132966410132258,0.0
0.31,0.19003171812901254,99446,422050,9,1855,521496,0.9964383980434118,0.19069369659594704,0.9999095068121261,0.004375980467321687,0.5021427436397239,0.320302246070946,1.0034835156649222,-0.0003613276591404177,-8.815392999261817e-05,2181,5.978083558100271,0.19348922512608896,0.4938101788170564,-0.00035781405418700994,-0.00035781405418700994,-5.118427619033028e-05,0.893043059542446,-0.6114104695191089,0.0
