variable,coeficiente_clase_positiva,coeficiente_absoluto
beta_propio_otro_240m,-0.28472394,0.28472394
otro_volatilidad_240m,0.2648254,0.2648254
ratio_volatilidad_240m,0.25193015,0.25193015
operaciones_relativas_240m,0.16149843,0.16149843
divergencia_rendimiento_240m,0.13224839,0.13224839
residual_propio_otro_240m,-0.13030006,0.13030006
desviacion_media_cierre_240m,0.115892276,0.115892276
beta_propio_otro_1440m,0.09791572,0.09791572
correlacion_btc_eth_240m,0.08808127,0.08808127
zscore_divergencia_1440m,-0.08370314,0.08370314
residual_propio_otro_60m,-0.08339291,0.08339291
divergencia_rendimiento_60m,0.06940925,0.06940925
operaciones_relativas_60m,-0.06746565,0.06746565
operaciones_relativas_30m,-0.065325975,0.065325975
zscore_divergencia_240m,0.063601024,0.063601024
rendimiento_240m,0.063214466,0.063214466
volumen_relativo_240m,0.05161995,0.05161995
desviacion_media_cierre_5m,0.04687237,0.04687237
volatilidad_240m,0.046562392,0.046562392
volatilidad_60m,-0.045995064,0.045995064
volumen_relativo_60m,0.043905646,0.043905646
volatilidad_5m,0.042554885,0.042554885
correlacion_btc_eth_60m,0.04041643,0.04041643
desviacion_media_cierre_15m,0.032877002,0.032877002
volumen_relativo_5m,-0.030377856,0.030377856
residual_propio_otro_1440m,-0.027091784,0.027091784
otro_rendimiento_60m,-0.025159264,0.025159264
otro_rendimiento_30m,-0.021682272,0.021682272
rango_relativo,-0.019853825,0.019853825
divergencia_rendimiento_15m,-0.018250937,0.018250937
cuerpo_relativo,-0.018102562,0.018102562
rendimiento_60m,0.016830616,0.016830616
operaciones_relativas_15m,0.01611397,0.01611397
volumen_relativo_15m,-0.01596219,0.01596219
otro_volatilidad_60m,-0.015936852,0.015936852
operaciones_relativas_5m,0.015818855,0.015818855
minuto_dia_coseno,-0.015139102,0.015139102
volatilidad_30m,0.01453954,0.01453954
otro_rendimiento_5m,-0.0133772995,0.0133772995
ratio_volatilidad_60m,0.013133538,0.013133538
rendimiento_5m,-0.013025018,0.013025018
rendimiento_30m,-0.0124825,0.0124825
rendimiento_15m,-0.011618585,0.011618585
volatilidad_15m,0.010332565,0.010332565
desviacion_media_cierre_30m,0.010315613,0.010315613
divergencia_rendimiento_1m,0.0099063115,0.0099063115
volumen_relativo_30m,0.009661991,0.009661991
mecha_superior_relativa,-0.009266959,0.009266959
otro_rendimiento_240m,-0.008965881,0.008965881
divergencia_rendimiento_30m,0.008277836,0.008277836
correlacion_btc_eth_1440m,0.007961691,0.007961691
minuto_dia_seno,-0.0076194215,0.0076194215
mecha_inferior_relativa,0.0063914675,0.0063914675
desviacion_media_cierre_60m,-0.005614961,0.005614961
divergencia_rendimiento_5m,-0.0049703512,0.0049703512
rendimiento_1m,0.0047309557,0.0047309557
proporcion_compradora_cotizacion,-0.004299664,0.004299664
dia_semana_coseno,0.0033476858,0.0033476858
otro_rendimiento_15m,-0.0028435953,0.0028435953
proporcion_compradora_base,0.0021474771,0.0021474771
dia_semana_seno,0.0013891455,0.0013891455
otro_rendimiento_1m,-0.00070597825,0.00070597825
beta_propio_otro_60m,-0.0002142825,0.0002142825
