variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.2922941,0.2922941
beta_propio_otro_240m,-0.25658992,0.25658992
ratio_volatilidad_240m,0.23254173,0.23254173
operaciones_relativas_240m,0.1452678,0.1452678
residual_propio_otro_240m,-0.13291268,0.13291268
divergencia_rendimiento_240m,0.12508191,0.12508191
desviacion_media_cierre_240m,0.101423234,0.101423234
beta_propio_otro_1440m,0.09778926,0.09778926
residual_propio_otro_60m,-0.09490931,0.09490931
correlacion_btc_eth_240m,0.090802625,0.090802625
operaciones_relativas_60m,-0.0794052,0.0794052
divergencia_rendimiento_60m,0.07493205,0.07493205
otro_volatilidad_60m,-0.06818753,0.06818753
rendimiento_240m,0.06535805,0.06535805
zscore_divergencia_1440m,-0.059739415,0.059739415
desviacion_media_cierre_30m,0.05940113,0.05940113
correlacion_btc_eth_60m,0.05007452,0.05007452
zscore_divergencia_240m,0.046122905,0.046122905
operaciones_relativas_30m,-0.04231607,0.04231607
desviacion_media_cierre_5m,0.035558295,0.035558295
volatilidad_30m,-0.03486037,0.03486037
volumen_relativo_60m,0.03394088,0.03394088
otro_rendimiento_60m,-0.026855709,0.026855709
rango_relativo,-0.025754537,0.025754537
otro_rendimiento_30m,-0.025048932,0.025048932
divergencia_rendimiento_15m,-0.024361283,0.024361283
mecha_superior_relativa,-0.02362289,0.02362289
volumen_relativo_240m,0.022797612,0.022797612
rendimiento_30m,-0.020550188,0.020550188
volatilidad_60m,-0.019775607,0.019775607
rendimiento_15m,-0.019216161,0.019216161
rendimiento_60m,0.018399253,0.018399253
minuto_dia_coseno,-0.017748639,0.017748639
volumen_relativo_15m,-0.017534232,0.017534232
volatilidad_5m,0.01674883,0.01674883
residual_propio_otro_1440m,-0.014895244,0.014895244
operaciones_relativas_15m,0.014782387,0.014782387
volumen_relativo_5m,-0.013368014,0.013368014
volatilidad_240m,-0.01077499,0.01077499
dia_semana_seno,0.009206694,0.009206694
volumen_relativo_30m,-0.008821885,0.008821885
otro_rendimiento_15m,-0.008560189,0.008560189
otro_rendimiento_5m,-0.00835061,0.00835061
divergencia_rendimiento_1m,0.007624681,0.007624681
ratio_volatilidad_60m,0.007310326,0.007310326
dia_semana_coseno,0.0068704,0.0068704
proporcion_compradora_base,0.0066403016,0.0066403016
volatilidad_15m,0.006278701,0.006278701
rendimiento_5m,-0.0056019397,0.0056019397
operaciones_relativas_5m,-0.0035323454,0.0035323454
minuto_dia_seno,-0.0034804093,0.0034804093
mecha_inferior_relativa,0.0030021237,0.0030021237
cuerpo_relativo,-0.0029784788,0.0029784788
otro_rendimiento_1m,-0.0025366864,0.0025366864
desviacion_media_cierre_60m,0.0025263894,0.0025263894
divergencia_rendimiento_30m,-0.0022880419,0.0022880419
rendimiento_1m,0.0020710917,0.0020710917
divergencia_rendimiento_5m,0.0018009149,0.0018009149
proporcion_compradora_cotizacion,-0.0017908866,0.0017908866
correlacion_btc_eth_1440m,0.0017665547,0.0017665547
desviacion_media_cierre_15m,-0.0015241504,0.0015241504
otro_rendimiento_240m,-0.0012481625,0.0012481625
beta_propio_otro_60m,0.0011031278,0.0011031278
