umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.06,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.07,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.08,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.09,0.19003171812901254,99455,423905,0,0,523360,1.0,0.19003171812901254,1.0,0.0,0.5,0.31937252635212704,1.0,-0.0003595599620896839,-8.517729305945743e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.1,0.19003171812901254,99455,423904,0,1,523359,0.9999980892693366,0.19003208122913717,1.0,2.3590191198499664e-06,0.5000011795095599,0.319373039141702,1.0000019107343143,-0.0003594709722791012,-8.512198635424184e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.11,0.19003171812901254,99455,423904,0,1,523359,0.9999980892693366,0.19003208122913717,1.0,2.3590191198499664e-06,0.5000011795095599,0.319373039141702,1.0000019107343143,-0.0003594709722791012,-8.512198635424184e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.12,0.19003171812901254,99455,423903,0,2,523358,0.9999961785386732,0.1900324443306494,1.0,4.718038239699933e-06,0.5000023590191198,0.3193735519329237,1.0000038214759304,-0.0003593993377219183,-8.511289129575772e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.13,0.19003171812901254,99455,423902,0,3,523357,0.9999942678080098,0.1900328074335492,1.0,7.077057359549899e-06,0.5000035385286797,0.3193740647257921,1.0000057322248486,-0.000359327729031751,-8.51037962372736e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.14,0.19003171812901254,99455,423891,0,14,523346,0.9999732497707123,0.19003680165702996,1.0,3.302626767789953e-05,0.500016513133839,0.31937970555602835,1.0000267509448817,-0.00035882201539396194,-8.49542937537695e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.15,0.19003171812901254,99455,423821,0,84,523276,0.9998394986242739,0.19006222337733816,1.0,0.00019815760606739716,0.5000990788030337,0.31941560641753824,1.000160527140553,-0.00035848052141883183,-8.530458105204808e-05,2182,5.980824540932963,0.19294225481209898,0.49541704857928504,-0.0003577515174623228,-0.0003577515174623228,-4.326593969550263e-05,0.8935188370128918,-0.6121241711987524,0.0
0.16,0.19003171812901254,99455,423770,0,135,523225,0.9997420513604403,0.1900807491996751,1.0,0.00031846758117974545,0.5001592337905899,0.31944176784223033,1.0002580151942282,-0.00035819607110698003,-8.561506397053442e-05,2182,5.980824540932963,0.1915673693858845,0.4977085242896425,-0.0003602779726181277,-0.0003602779726181277,-2.94547325621064e-05,0.8907793424661993,-0.6124192877825196,0.0
0.17,0.19003171812901254,99455,423662,0,243,523117,0.9995356924487924,0.1901199922770623,1.0,0.0005732416461235419,0.5002866208230617,0.31949718265517885,1.0004645232328524,-0.0003582564264124449,-8.587007857108198e-05,2182,5.980824540932963,0.19523373052245646,0.49725022914757105,-0.0003546472634333575,-0.0003546472634333575,-4.3557683276129744e-05,0.8930592934653304,-0.6091857509813087,0.0
0.18,0.19003171812901254,99455,423494,0,411,522949,0.9992146896973403,0.1901810692820906,1.0,0.0009695568582583361,0.5004847784291292,0.3195834217003747,1.0007859274996223,-0.0003581958662935596,-8.681309141422844e-05,2182,5.980824540932963,0.19477543538038497,0.4995417048579285,-0.00035592664553617156,-0.00035592664553617156,0.0,0.8925331256808536,-0.609478839031057,0.0
0.19,0.19003171812901254,99455,423239,0,666,522694,0.9987274533781718,0.1902738504746563,1.0,0.0015711067338200777,0.50078555336691,0.3197144092492313,1.0012741680600887,-0.00035824109763785746,-8.787364606632764e-05,2181,5.978083558100271,0.19348922512608896,0.5052728106373223,-0.00035929328145690634,-0.00035929328145690634,6.7348789017041e-05,0.8918982656394129,-0.6099009968248759,0.0
0.2,0.19003171812901254,99454,422863,1,1042,522317,0.9980071079180679,0.19040927252990042,0.9999899452013473,0.002458097922883665,0.5012240215621155,0.3199050455794086,1.0019867967548004,-0.0003581819031440001,-8.791816075204295e-05,2181,5.978083558100271,0.18707015130674004,0.5006877579092159,-0.0003576406419532138,-0.0003576406419532138,1.5958125877735263e-05,0.8922312844557828,-0.612074924793932,0.0
0.21,0.19003171812901254,99447,422451,8,1454,521898,0.9972065117701009,0.1905487279123507,0.9999195616107788,0.003430013800261851,0.5016747877055203,0.3200982372339073,1.002720649944275,-0.000358132412922198,-8.708734954865349e-05,2180,5.975342575267579,0.1871559633027523,0.4990825688073395,-0.0003581475493125224,-0.0003581475493125224,-1.0838422359826794e-05,0.8908033098632587,-0.6137588982233084,0.0
0.22,0.19003171812901254,99445,421955,10,1950,521400,0.9962549678997249,0.19072688914461067,0.9998994520134734,0.004600087283707434,0.5022497696485905,0.3203485515941726,1.003658184130747,-0.00035827254445545395,-8.655058070017319e-05,2179,5.972601592434888,0.18953648462597522,0.5016062413951354,-0.00036012353598572597,-0.00036012353598572597,3.264730463847787e-05,0.8920442036357115,-0.6139474907300329,0.0
0.23,0.19003171812901254,99444,421293,11,2612,520737,0.9949881534698869,0.19096780140454778,0.9998893972148207,0.006161757941048112,0.5030255775779344,0.3206877870078943,1.0049259317589274,-0.000358344962215439,-8.637965586344443e-05,2179,5.972601592434888,0.19229004130335017,0.4938044974759064,-0.0003579867067814286,-0.0003579867067814286,-8.961720650346727e-05,0.8920582681774709,-0.6086563571530046,0.0
0.24,0.19003171812901254,99439,420385,16,3520,519824,0.9932436563741975,0.19129359167718304,0.9998391232215574,0.008303747301871882,0.5040714352617146,0.3211444276327794,1.0066403312067822,-0.0003591055414162595,-8.742643916381798e-05,2178,5.969860609602196,0.189623507805326,0.49265381083562904,-0.00035834742559756003,-0.00035834742559756003,-0.00010866292911060338,0.890697913887617,-0.6071974235337643,0.0
0.25,0.19003171812901254,99425,419062,30,4843,518487,0.990689009477224,0.1917598705464168,0.9996983560404203,0.011424729597433387,0.5055615428189268,0.32179395477245437,1.0090940209056627,-0.00035961204690691746,-8.68511674967376e-05,2176,5.964378643936813,0.19117647058823528,0.5036764705882353,-0.0003589773744295344,-0.0003589773744295344,4.2786379567949506e-05,0.8913744445813803,-0.6110194429918872,0.0
0.26,0.19003171812901254,99336,417008,119,6897,516344,0.9865943136655457,0.19238337232542646,0.9988034789603338,0.01627015486960522,0.5075368169149695,0.32262475255724676,1.0123750614874585,-0.0003614051991816889,-8.771258452122677e-05,2175,5.961637661104121,0.19126436781609196,0.5062068965517241,-0.000362481039726356,-0.000362481039726356,0.00012874403754181696,0.8906734299676833,-0.6139820385072683,0.0
0.27,0.19003171812901254,99113,414113,342,9792,513226,0.9806366554570468,0.19311765187266428,0.9965612588607913,0.02309951522157087,0.5098303870411811,0.32353867673389575,1.0162390456395112,-0.00036443841572288664,-8.896783558087762e-05,2172,5.953414712606047,0.19567219152854512,0.496316758747698,-0.0003595899178761727,-0.0003595899178761727,-4.639426893093823e-05,0.8924103480984873,-0.6117886925016867,0.0
0.28,0.19003171812901254,98700,409926,755,13979,508626,0.9718472944053806,0.1940522112514893,0.992408627017244,0.03297672827638268,0.5126926776468134,0.32462780451946366,1.0211569582281377,-0.00036996242160141404,-9.14307656594282e-05,2168,5.94245078127528,0.19095940959409594,0.49953874538745385,-0.0003564593953130402,-0.0003564593953130402,-3.3627569129168755e-05,0.8932710455641653,-0.6120061740442058,0.0
0.29,0.19003171812901254,97986,402947,1469,20958,500933,0.9571480434118007,0.19560699734295803,0.9852295007792469,0.0494403227138156,0.5173349117465312,0.3264089222302911,1.0293386770842141,-0.000376273494098598,-9.455668673363782e-05,2164,5.931486849944514,0.1963955637707948,0.5023105360443623,-0.0003609773977374131,-0.0003609773977374131,2.4771914857335542e-05,0.8922417118403025,-0.6138944831794875,0.0
