variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.2590351,0.2590351
beta_propio_otro_240m,-0.24367547,0.24367547
ratio_volatilidad_240m,0.2126921,0.2126921
residual_propio_otro_240m,-0.15908046,0.15908046
divergencia_rendimiento_240m,0.14497699,0.14497699
operaciones_relativas_240m,0.12673649,0.12673649
desviacion_media_cierre_240m,0.113279946,0.113279946
beta_propio_otro_1440m,0.102497905,0.102497905
otro_volatilidad_60m,-0.102413215,0.102413215
residual_propio_otro_60m,-0.09939127,0.09939127
divergencia_rendimiento_60m,0.086939216,0.086939216
rango_relativo,-0.08208755,0.08208755
correlacion_btc_eth_240m,0.08192078,0.08192078
operaciones_relativas_60m,-0.07172843,0.07172843
correlacion_btc_eth_60m,0.07057114,0.07057114
rendimiento_240m,0.06962154,0.06962154
operaciones_relativas_30m,-0.067894675,0.067894675
volatilidad_30m,-0.04950338,0.04950338
zscore_divergencia_1440m,-0.04302033,0.04302033
desviacion_media_cierre_30m,0.040816728,0.040816728
otro_rendimiento_60m,-0.036450144,0.036450144
zscore_divergencia_240m,0.03511513,0.03511513
volumen_relativo_15m,-0.034715187,0.034715187
operaciones_relativas_15m,0.029347777,0.029347777
volatilidad_60m,-0.022479147,0.022479147
beta_propio_otro_60m,0.02229129,0.02229129
rendimiento_30m,-0.021935856,0.021935856
cuerpo_relativo,-0.020332232,0.020332232
minuto_dia_coseno,-0.018899888,0.018899888
otro_rendimiento_30m,-0.018742872,0.018742872
volatilidad_5m,0.018201068,0.018201068
divergencia_rendimiento_15m,-0.017922198,0.017922198
ratio_volatilidad_60m,-0.017837627,0.017837627
otro_rendimiento_1m,0.017672319,0.017672319
rendimiento_60m,0.017267562,0.017267562
rendimiento_15m,-0.016457409,0.016457409
volumen_relativo_240m,-0.016446441,0.016446441
volumen_relativo_60m,0.015273296,0.015273296
rendimiento_1m,0.014681281,0.014681281
minuto_dia_seno,-0.014452311,0.014452311
divergencia_rendimiento_30m,-0.01442289,0.01442289
desviacion_media_cierre_15m,0.014348778,0.014348778
mecha_inferior_relativa,0.014317386,0.014317386
volumen_relativo_5m,0.013613217,0.013613217
desviacion_media_cierre_60m,0.013159384,0.013159384
otro_rendimiento_240m,-0.009406728,0.009406728
otro_rendimiento_15m,-0.009282933,0.009282933
volumen_relativo_30m,-0.00866592,0.00866592
desviacion_media_cierre_5m,0.008429718,0.008429718
residual_propio_otro_1440m,-0.008386477,0.008386477
dia_semana_seno,0.007334902,0.007334902
mecha_superior_relativa,-0.0063745235,0.0063745235
proporcion_compradora_cotizacion,-0.0056551965,0.0056551965
correlacion_btc_eth_1440m,0.0056030736,0.0056030736
volatilidad_15m,0.0037679498,0.0037679498
operaciones_relativas_5m,-0.003310655,0.003310655
proporcion_compradora_base,0.0029250842,0.0029250842
divergencia_rendimiento_5m,-0.0022196665,0.0022196665
rendimiento_5m,-0.0020744496,0.0020744496
divergencia_rendimiento_1m,0.0014249551,0.0014249551
otro_rendimiento_5m,-0.0011863763,0.0011863763
dia_semana_coseno,0.00062837254,0.00062837254
volatilidad_240m,-0.0004791855,0.0004791855
