variable,coeficiente_clase_positiva,coeficiente_absoluto
volatilidad_240m,0.30475226,0.30475226
otro_volatilidad_240m,-0.25772235,0.25772235
ratio_volatilidad_60m,-0.1448524,0.1448524
desviacion_media_cierre_240m,-0.14091924,0.14091924
otro_volatilidad_60m,0.13622712,0.13622712
cuerpo_relativo,-0.13412388,0.13412388
volatilidad_30m,0.123481266,0.123481266
beta_propio_otro_60m,0.12006672,0.12006672
rango_relativo,0.11724722,0.11724722
residual_propio_otro_60m,0.1046945,0.1046945
dia_semana_seno,0.08781194,0.08781194
minuto_dia_coseno,-0.08251141,0.08251141
divergencia_rendimiento_60m,-0.07669807,0.07669807
divergencia_rendimiento_240m,-0.07395639,0.07395639
correlacion_btc_eth_1440m,0.06960115,0.06960115
operaciones_relativas_240m,-0.06722027,0.06722027
rendimiento_1m,0.0582611,0.0582611
operaciones_relativas_30m,0.057294745,0.057294745
volatilidad_15m,0.0563855,0.0563855
correlacion_btc_eth_60m,-0.052858997,0.052858997
residual_propio_otro_240m,0.050392922,0.050392922
desviacion_media_cierre_30m,-0.047682323,0.047682323
otro_rendimiento_1m,0.04517045,0.04517045
volumen_relativo_30m,-0.044917017,0.044917017
divergencia_rendimiento_1m,0.04249076,0.04249076
minuto_dia_seno,-0.03725787,0.03725787
operaciones_relativas_5m,-0.036695868,0.036695868
volumen_relativo_5m,0.035799354,0.035799354
dia_semana_coseno,0.03522991,0.03522991
rendimiento_240m,-0.03128462,0.03128462
operaciones_relativas_60m,0.030467454,0.030467454
correlacion_btc_eth_240m,0.03028065,0.03028065
mecha_superior_relativa,0.029631488,0.029631488
volatilidad_5m,0.023606969,0.023606969
beta_propio_otro_1440m,0.021105012,0.021105012
volumen_relativo_240m,0.02016933,0.02016933
desviacion_media_cierre_15m,-0.01925247,0.01925247
beta_propio_otro_240m,-0.018162826,0.018162826
mecha_inferior_relativa,0.016729157,0.016729157
desviacion_media_cierre_60m,0.015964862,0.015964862
rendimiento_30m,0.014867584,0.014867584
rendimiento_5m,0.013377089,0.013377089
desviacion_media_cierre_5m,-0.012841817,0.012841817
rendimiento_60m,-0.01249367,0.01249367
ratio_volatilidad_240m,0.012375936,0.012375936
otro_rendimiento_240m,0.0102957385,0.0102957385
volumen_relativo_60m,-0.009575214,0.009575214
rendimiento_15m,0.009305904,0.009305904
operaciones_relativas_15m,0.0075494642,0.0075494642
volatilidad_60m,0.0066094985,0.0066094985
residual_propio_otro_1440m,0.0054454156,0.0054454156
volumen_relativo_15m,-0.00027875425,0.00027875425
