umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.29156605922551254,153597,373203,0,0,526800,1.0,0.29156605922551254,1.0,0.0,0.5,0.45149229053038153,1.0,0.00026401536549363296,0.0003007208948118123,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.06,0.29156605922551254,153597,373203,0,0,526800,1.0,0.29156605922551254,1.0,0.0,0.5,0.45149229053038153,1.0,0.00026401536549363296,0.0003007208948118123,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.07,0.29156605922551254,153597,373203,0,0,526800,1.0,0.29156605922551254,1.0,0.0,0.5,0.45149229053038153,1.0,0.00026401536549363296,0.0003007208948118123,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.08,0.29156605922551254,153597,373194,0,9,526791,0.9999829157175398,0.29157104050752575,1.0,2.411556177201148e-05,0.500012057780886,0.4514982627559569,1.0000170845743377,0.00026428841643707547,0.000300906528528877,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.09,0.29156605922551254,153597,373163,0,40,526760,0.9999240698557327,0.2915881995595717,1.0,0.00010718027454227323,0.5000535901372711,0.4515188349645848,1.000075935910092,0.00026512964663030016,0.0003016305933308816,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.1,0.29156605922551254,153597,373119,0,84,526716,0.9998405466970387,0.2916125578110405,1.0,0.0002250785765387738,0.5001125392882694,0.4515480374474691,1.000159478732372,0.00026618545134941086,0.00030235448935367337,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.11,0.29156605922551254,153596,373095,1,108,526691,0.9997930903568717,0.29162450089331315,0.9999934894561743,0.00028938674126413773,0.5001414380987192,0.45156169151888614,1.0002004405723899,0.0002664525641520753,0.00030252922722429076,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.12,0.29156605922551254,153583,373064,14,139,526647,0.9997095671981777,0.2916241809029578,0.9999088523864399,0.00037245145403439953,0.5001406519202372,0.45155267815666145,1.0001993430840326,0.0002662365069587453,0.00030230007168841055,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.13,0.29156605922551254,153562,373046,35,157,526608,0.999635535307517,0.2916059004040956,0.9997721309660996,0.00042068257757842245,0.500096406771839,0.45151682213450356,1.0001366454610283,0.00026530603540604115,0.00030192069673184996,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.14,0.29156605922551254,153547,373020,50,183,526567,0.9995577069096431,0.2916001192630757,0.9996744728087137,0.0004903497560309,0.5000824112823723,0.4514999323692521,1.000116817566673,0.00026505653977297843,0.0003019200759888374,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.15,0.29156605922551254,153520,373005,77,198,526525,0.9994779802581625,0.2915721000902141,0.9994986881254191,0.0005305423589842525,0.5000146152422017,0.4514484166076086,1.000020718682818,0.0002646638898462563,0.000301625129682348,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.16,0.29156605922551254,153491,372978,106,225,526469,0.9993716780561883,0.29154803036835975,0.999309882354473,0.000602889044300287,0.49995638569938666,0.451400305264489,0.9999381654462777,0.00026390126560573704,0.0003013307910713081,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.17,0.29156605922551254,153451,372951,146,252,526402,0.9992444950645406,0.2915091508010988,0.9990494606014441,0.0006752357296163214,0.4998623481655302,0.45132713430460925,0.9998048180759965,0.0002622491400530379,0.0003007208948118123,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.18,0.29156605922551254,153393,372879,204,324,526272,0.998997722095672,0.29147095038307186,0.998671849059552,0.0008681602237924133,0.4997700046416722,0.451242812953672,0.9996738000208484,0.00025993436345018143,0.0003007401288918077,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.19,0.29156605922551254,153343,372757,254,446,526100,0.9986712224753227,0.29147120319330927,0.9983463218682657,0.0011950600611463466,0.499770690964706,0.45120987734240403,0.9996746670978945,0.00025874383470319076,0.00030157694355836817,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.2,0.29156605922551254,153271,372631,326,572,525902,0.9982953682611997,0.29144403329897967,0.9978775627128134,0.0015326779259545074,0.4997051203193839,0.451129435069073,0.9995814810308956,0.0002574028626401412,0.0003014337806060974,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.21,0.29156605922551254,153221,372327,376,876,525548,0.9976233864844343,0.29154520614672685,0.9975520355215272,0.002347248012475784,0.49994964176700146,0.45121733944886583,0.9999284790594588,0.0002580984641951703,0.00030258853613829295,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.22,0.29156605922551254,153185,371957,412,1246,525142,0.9968526955201215,0.29170205392065385,0.997317655943801,0.0033386655519918114,0.5003281607478964,0.45138116418829616,1.0004664284159224,0.0002598863047096483,0.0003050882969055646,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.23,0.29156605922551254,153133,371512,464,1691,524645,0.9959092634776006,0.29187927074497994,0.9969791076648632,0.0045310461062746015,0.5007550768855689,0.4515585882325188,1.0010742386143963,0.00026226187698102563,0.0003084680076612667,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.24,0.29156605922551254,153076,371001,521,2202,524077,0.9948310554290053,0.2920868498331352,0.9966080066667968,0.005900274113552142,0.5012541403901745,0.45176884460669875,1.0017861839234856,0.00026373732995258966,0.0003100377832712109,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.25,0.29156605922551254,152959,370193,638,3010,523152,0.9930751708428246,0.29237965256751386,0.9958462730391869,0.008065315659306061,0.5019557943492465,0.45204056452244484,1.0027904254156415,0.00026482436129651905,0.0003114562629555895,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.26,0.29156605922551254,152777,368902,820,4301,521679,0.9902790432801822,0.29285633502594505,0.9946613540629049,0.01152455902015793,0.5030929565415314,0.4524875754506305,1.004425329216507,0.000265515148913911,0.0003118503118502147,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.27,0.29156605922551254,152452,366796,1145,6407,519248,0.9856643887623386,0.29360151603857887,0.992545427319544,0.017167600474808618,0.5048565138971763,0.4531563733103464,1.0069811171385075,0.0002655448442031315,0.00031370759657567415,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.28,0.29156605922551254,152017,363814,1580,9389,515831,0.9791780561883068,0.29470311012715406,0.9897133407553533,0.025157889941935085,0.5074356153486442,0.45416982857006283,1.0107593144070832,0.0002670130394347998,0.00032069810914725494,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.29,0.29156605922551254,151330,359964,2267,13239,511294,0.9705656795747912,0.29597452737563906,0.9852405971470797,0.03547399136662888,0.5103572942568543,0.45520243167677105,1.0151199634204227,0.0002675664642895418,0.0003316323841034974,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.3,0.29156605922551254,150308,354785,3289,18418,505093,0.958794608959757,0.2975848012148258,0.978586821357188,0.04935115741298971,0.5139689893850888,0.4563846422444549,1.0206428073463036,0.0002669705910941258,0.0003430904195256268,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.31,0.29156605922551254,148830,348149,4767,25054,496979,0.9433921791951405,0.29946939407902545,0.9689642375827653,0.06713236495955284,0.5180483012711591,0.4575330168957969,1.0271064981792002,0.00026492068266953866,0.0003557505159850205,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.32,0.29156605922551254,146870,340541,6727,32662,487411,0.9252296886864085,0.301326806329771,0.9562035716843428,0.08751805317749321,0.521860812430918,0.45824701095774156,1.033476966181132,0.00025847390630318924,0.00036834307907729347,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.33,0.29156605922551254,144596,331623,9001,41580,476219,0.9039844343204252,0.3036334123585997,0.9413985950246424,0.11141389538669304,0.5264062452056677,0.4591690271444358,1.0413880585591535,0.0002511172347753414,0.00038109007476450074,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.34,0.29156605922551254,141942,321185,11655,52018,463127,0.8791324981017464,0.30648612583589385,0.9241196117111662,0.13938258802849923,0.5317510998698327,0.46030963607707825,1.0511721654091477,0.00024134274939153897,0.00039587714039002186,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.35,0.29156605922551254,138643,309574,14954,63629,448217,0.85082953682612,0.3093211547085452,0.902641327630097,0.1704943422212576,0.5365678349256773,0.4607503314977718,1.0608956184070106,0.00022606294755123755,0.0004070945748058108,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
0.36,0.29156605922551254,134685,297053,18912,76150,431738,0.8195482156416097,0.31196003131528843,0.8768725951678744,0.2040444476598527,0.5404585214138635,0.4601980062699138,1.069946317290663,0.0002030182667794549,0.00040450289368298975,3,3.0,0.3333333333333333,0.3333333333333333,0.002169053943611184,0.002169053943611184,-0.002526775122622893,2.0655854469413275,-0.002526775122622893,0.0
