umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.20189353408743504,105663,417690,0,7,523353,0.9999866248853562,0.20189623447271726,1.0,1.6758559434231034e-05,0.5000083792797171,0.33596283719333053,1.0000133752935398,0.0003595334391058734,8.503969531492572e-05,2182,5.980824540932963,0.21173235563703025,0.5036663611365719,0.0003577515174623228,0.0003577515174623228,4.326593969550263e-05,1.1191705855279823,-0.28093596730885784,0.0
0.06,0.20189353408743504,105663,417690,0,7,523353,0.9999866248853562,0.20189623447271726,1.0,1.6758559434231034e-05,0.5000083792797171,0.33596283719333053,1.0000133752935398,0.0003595334391058734,8.503969531492572e-05,2182,5.980824540932963,0.21173235563703025,0.5036663611365719,0.0003577515174623228,0.0003577515174623228,4.326593969550263e-05,1.1191705855279823,-0.28093596730885784,0.0
0.07,0.20189353408743504,105663,417689,0,8,523352,0.9999847141546927,0.2018966202479402,1.0,1.9152639353406896e-05,0.5000095763196767,0.3359633713027511,1.0000152860789677,0.00035952952504883593,8.500382512877103e-05,2182,5.980824540932963,0.21173235563703025,0.5036663611365719,0.0003577515174623228,0.0003577515174623228,4.326593969550263e-05,1.1191705855279823,-0.28093596730885784,0.0
0.08,0.20189353408743504,105663,417688,0,9,523351,0.9999828034240293,0.2018970060246374,1.0,2.1546719272582758e-05,0.5000107733596363,0.33596390541386995,1.000017196871698,0.00035952580855024935,8.496795494261633e-05,2182,5.980824540932963,0.21173235563703025,0.5036663611365719,0.0003577515174623228,0.0003577515174623228,4.326593969550263e-05,1.1191705855279823,-0.28093596730885784,0.0
0.09,0.20189353408743504,105663,417686,0,11,523349,0.9999789819627025,0.20189777758245453,1.0,2.6334879110934482e-05,0.5000131674395555,0.33596497364120237,1.0000210184790645,0.0003595258580642593,8.496795494261633e-05,2182,5.980824540932963,0.21173235563703025,0.5036663611365719,0.0003577515174623228,0.0003577515174623228,4.326593969550263e-05,1.1191705855279823,-0.28093596730885784,0.0
0.1,0.20189353408743504,105663,417653,0,44,523316,0.9999159278508102,0.20191050913788228,1.0,0.00010533951644373793,0.5000526697582218,0.33598260037298544,1.0000840792179104,0.000359652564492369,8.530458105204808e-05,2182,5.980824540932963,0.2094408799266728,0.5091659028414299,0.0003588834714436344,0.0003588834714436344,0.00013467599943095543,1.1198255493782503,-0.28093596730885784,0.0
0.11,0.20189353408743504,105663,417612,0,85,523275,0.9998375878936105,0.20192632936792318,1.0,0.00020349679312994825,0.500101748396565,0.3360045028285777,1.0001624384883665,0.00035970219575701313,8.523259976467301e-05,2182,5.980824540932963,0.2094408799266728,0.5091659028414299,0.0003579001652245381,0.0003579001652245381,0.0001396045277064495,1.120136175160687,-0.28021316235118554,0.0
0.12,0.20189353408743504,105660,417521,3,176,523181,0.9996579792112504,0.2019568753452438,0.9999716078475909,0.0004213580657749517,0.500196482956683,0.336045187677707,1.0003137359405543,0.00036005170458481043,8.531404098488515e-05,2182,5.980824540932963,0.21035747021081577,0.5050412465627865,0.00035865808528042333,0.00035865808528042333,8.416880320161191e-05,1.1204518006926882,-0.2811844718056493,0.0
0.13,0.20189353408743504,105648,417433,15,264,523081,0.9994669061449099,0.20197254344929372,0.9998580392379546,0.0006320370986624275,0.5002450381683085,0.3360604634000483,1.0003913417149084,0.00036012392918739283,8.503969531492572e-05,2182,5.980824540932963,0.21035747021081577,0.499083409715857,0.00035876309760174554,0.00035876309760174554,-5.417939882512712e-06,1.1203090744018094,-0.2812139819787218,0.0
0.14,0.20189353408743504,105637,417321,26,376,522958,0.9992318862733109,0.20199901330508377,0.9997539346791213,0.0009001740496101241,0.5003270543643658,0.3360912218968186,1.0005224497066014,0.0003603382500858455,8.530458105204808e-05,2182,5.980824540932963,0.21035747021081577,0.499083409715857,0.00035876309760174554,0.00035876309760174554,-5.417939882512712e-06,1.1203090744018094,-0.2812139819787218,0.0
0.15,0.20189353408743504,105619,417161,44,536,522780,0.9988917762152247,0.20203336011324075,0.9995835817646669,0.001283226836678262,0.5004334043006726,0.3361291318385279,1.000692573075397,0.0003605370593363436,8.561182464439376e-05,2182,5.980824540932963,0.20852428964252978,0.502749770852429,0.0003583737423039027,0.0003583737423039027,3.198529070380651e-05,1.1204957652727494,-0.281460822628692,0.0
0.16,0.20189353408743504,105601,416937,62,760,522538,0.9984293793946806,0.20209247939862746,0.9994132288502124,0.001819500738573655,0.5006163647943931,0.3362013113637196,1.0009853971405853,0.0003611630640424623,8.6029038213975e-05,2182,5.980824540932963,0.20302474793767186,0.500916590284143,0.0003580495345465148,0.0003580495345465148,1.0668641809319368e-05,1.1212547592401965,-0.28054011833939985,0.0
0.17,0.20189353408743504,105589,416568,74,1129,522157,0.997701391011923,0.20221695773493412,0.9992996602405761,0.002702916228749548,0.5010012882346628,0.3363671115924946,1.0016019514887435,0.000361835973520649,8.715641307777133e-05,2182,5.980824540932963,0.2153987167736022,0.5041246562786434,0.00035565377841837033,0.00035565377841837033,7.696027499293212e-05,1.1201885015633446,-0.27897835367611024,0.0
0.18,0.20189353408743504,105572,416132,91,1565,521704,0.9968358300214002,0.20235995890389952,0.9991387713769248,0.003746735073510224,0.5014427532252175,0.33655579588980616,1.0023102513835955,0.00036237553532282433,8.899444643895027e-05,2181,5.978083558100271,0.20907840440165062,0.49105914718019256,0.00035771582888873563,0.00035771582888873563,-7.386660921482324e-05,1.120659019620334,-0.28057239808025025,0.0
0.19,0.20189353408743504,105545,415607,118,2090,521152,0.9957811066952003,0.20252248864055017,0.998883242005243,0.005003627031077551,0.5019434345181603,0.33676603144468464,1.0031152783369612,0.0003628708635481447,9.024184399897273e-05,2180,5.975342575267579,0.21055045871559633,0.5064220183486239,0.0003611531201313029,0.0003611531201313029,8.913032577106961e-05,1.1205224005594914,-0.2782868098408544,0.0
0.2,0.20189353408743504,105517,414921,146,2776,520438,0.9944168450015286,0.202746532728202,0.9986182485827584,0.006645965855632193,0.5026321072191953,0.3370606339871682,1.0042249923684903,0.00036359937246093594,9.186737766020414e-05,2180,5.975342575267579,0.21192660550458717,0.5082568807339449,0.00036336784503331954,0.00036336784503331954,0.00010866292911060338,1.121151115568839,-0.2753382900532362,0.0
0.21,0.20189353408743504,105492,414052,171,3645,519544,0.9927086517884439,0.20304728762145266,0.9983816473126828,0.008726421305396017,0.5035540343090393,0.33746263237615703,1.0057146631229803,0.00036478607112213577,9.417005429168679e-05,2179,5.972601592434888,0.21156493804497475,0.5029830197338229,0.0003631240293365232,0.0003631240293365232,4.774637127580306e-05,1.1214618121548425,-0.2722637037771505,0.0
0.22,0.20189353408743504,105465,413032,198,4665,518497,0.9907081167838582,0.2034052270312075,0.9981261179410011,0.011168382822955396,0.5046472503819782,0.33794219430915146,1.007487574828017,0.0003664590935772868,9.626584776523117e-05,2176,5.964378643936813,0.21001838235294118,0.5050551470588235,0.000361305656796225,0.000361305656796225,6.965893406474244e-05,1.1217008288847705,-0.2714698178495619,0.0
0.23,0.20189353408743504,105431,411857,232,5840,517288,0.9883980434118007,0.20381489615069362,0.9978043402136982,0.013981426727987033,0.5058928834708426,0.33848890201637044,1.0095167092494723,0.0003678934210383255,9.78059278117227e-05,2176,5.964378643936813,0.20680147058823528,0.4967830882352941,0.0003596835117890962,0.0003596835117890962,-5.087785183960358e-05,1.1219611759655248,-0.27426168176211185,0.0
0.24,0.20189353408743504,105351,410323,312,7374,515674,0.9853141241210639,0.20429767643899052,0.9970472161494562,0.017653945324002805,0.5073505807367296,0.33911065975469035,1.0119079710126542,0.00036953025229081944,9.833051428986828e-05,2173,5.9561556954387385,0.203865623561896,0.5029912563276576,0.00037006055486889895,0.00037006055486889895,2.428731898351799e-05,1.1258788147863192,-0.2716385271674101,0.0
0.25,0.20189353408743504,105194,408300,469,9397,513494,0.9811487312748395,0.2048592583360273,0.9955613601733814,0.022497169000495573,0.5090292645869384,0.33979749885731736,1.0146895454676021,0.000371660411612995,0.00010026615977742903,2170,5.947932746940664,0.20875576036866358,0.5036866359447004,0.00036451709436905393,0.00036451709436905393,4.998112272924793e-05,1.1236665342510923,-0.27962172295664145,0.0
