variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_60m,0.29028335,0.29028335
volatilidad_240m,0.20458661,0.20458661
beta_propio_otro_240m,0.18368039,0.18368039
rango_relativo,0.16980094,0.16980094
residual_propio_otro_240m,0.15578629,0.15578629
ratio_volatilidad_240m,-0.13276184,0.13276184
volatilidad_30m,0.12864241,0.12864241
divergencia_rendimiento_240m,-0.120736174,0.120736174
beta_propio_otro_60m,0.10507226,0.10507226
cuerpo_relativo,-0.098983854,0.098983854
dia_semana_seno,0.09677315,0.09677315
minuto_dia_coseno,-0.09336758,0.09336758
otro_volatilidad_240m,-0.07466169,0.07466169
residual_propio_otro_1440m,-0.07322324,0.07322324
ratio_volatilidad_60m,-0.07319181,0.07319181
operaciones_relativas_60m,0.07066267,0.07066267
volatilidad_60m,-0.0705094,0.0705094
residual_propio_otro_60m,0.06924891,0.06924891
operaciones_relativas_30m,0.06585269,0.06585269
volatilidad_15m,0.06486247,0.06486247
rendimiento_240m,-0.06336919,0.06336919
desviacion_media_cierre_240m,-0.06310058,0.06310058
volumen_relativo_30m,-0.06293926,0.06293926
minuto_dia_seno,-0.057696797,0.057696797
divergencia_rendimiento_60m,-0.051325038,0.051325038
volatilidad_5m,0.04704477,0.04704477
desviacion_media_cierre_30m,-0.040007483,0.040007483
rendimiento_1m,0.037598632,0.037598632
beta_propio_otro_1440m,0.037060898,0.037060898
operaciones_relativas_15m,-0.03234409,0.03234409
divergencia_rendimiento_1m,0.031801336,0.031801336
volumen_relativo_240m,-0.028915564,0.028915564
correlacion_btc_eth_60m,-0.028276414,0.028276414
desviacion_media_cierre_15m,-0.027761862,0.027761862
otro_rendimiento_1m,0.025659353,0.025659353
volumen_relativo_60m,0.025637649,0.025637649
operaciones_relativas_240m,-0.024948396,0.024948396
rendimiento_60m,-0.024920428,0.024920428
correlacion_btc_eth_1440m,0.022822505,0.022822505
mecha_superior_relativa,0.02236154,0.02236154
volumen_relativo_15m,0.020886172,0.020886172
divergencia_rendimiento_15m,0.019547205,0.019547205
operaciones_relativas_5m,-0.01891925,0.01891925
mecha_inferior_relativa,0.017384995,0.017384995
volumen_relativo_5m,0.015847797,0.015847797
proporcion_compradora_cotizacion,0.01475563,0.01475563
proporcion_compradora_base,0.012547387,0.012547387
divergencia_rendimiento_5m,-0.011911342,0.011911342
dia_semana_coseno,0.011577706,0.011577706
rendimiento_15m,0.009066784,0.009066784
desviacion_media_cierre_60m,0.0077941115,0.0077941115
correlacion_btc_eth_240m,-0.0074240514,0.0074240514
divergencia_rendimiento_30m,-0.0074089095,0.0074089095
otro_rendimiento_5m,0.006484621,0.006484621
zscore_divergencia_1440m,-0.0057109683,0.0057109683
otro_rendimiento_30m,0.004829214,0.004829214
desviacion_media_cierre_5m,0.0026540272,0.0026540272
otro_rendimiento_60m,0.00240356,0.00240356
zscore_divergencia_240m,-0.0022818646,0.0022818646
otro_rendimiento_15m,-0.0012882892,0.0012882892
otro_rendimiento_240m,0.0010341222,0.0010341222
rendimiento_5m,-0.0010032634,0.0010032634
rendimiento_30m,-2.6190351e-05,2.6190351e-05
