variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_60m,0.26043037,0.26043037
volatilidad_240m,0.2300074,0.2300074
beta_propio_otro_240m,0.18360192,0.18360192
ratio_volatilidad_240m,-0.14979309,0.14979309
residual_propio_otro_240m,0.14810455,0.14810455
rango_relativo,0.1406933,0.1406933
cuerpo_relativo,-0.12235851,0.12235851
divergencia_rendimiento_240m,-0.116354845,0.116354845
volatilidad_30m,0.1139257,0.1139257
otro_volatilidad_240m,-0.11184517,0.11184517
beta_propio_otro_60m,0.1027229,0.1027229
minuto_dia_coseno,-0.09719314,0.09719314
dia_semana_seno,0.09717636,0.09717636
volatilidad_60m,-0.08942892,0.08942892
ratio_volatilidad_60m,-0.07994487,0.07994487
operaciones_relativas_30m,0.079122804,0.079122804
residual_propio_otro_1440m,-0.07363225,0.07363225
rendimiento_240m,-0.06520434,0.06520434
volumen_relativo_30m,-0.060103443,0.060103443
volatilidad_15m,0.05698011,0.05698011
residual_propio_otro_60m,0.056503348,0.056503348
volumen_relativo_240m,-0.054215595,0.054215595
minuto_dia_seno,-0.053172592,0.053172592
desviacion_media_cierre_240m,-0.05242601,0.05242601
desviacion_media_cierre_30m,-0.050930027,0.050930027
otro_rendimiento_1m,0.04392414,0.04392414
rendimiento_1m,0.04233761,0.04233761
divergencia_rendimiento_60m,-0.04035288,0.04035288
beta_propio_otro_1440m,0.03810351,0.03810351
operaciones_relativas_15m,-0.035315946,0.035315946
operaciones_relativas_60m,0.034012802,0.034012802
operaciones_relativas_240m,-0.03205438,0.03205438
desviacion_media_cierre_15m,-0.028124658,0.028124658
volatilidad_5m,0.027623044,0.027623044
volumen_relativo_15m,0.027297387,0.027297387
correlacion_btc_eth_1440m,0.027162654,0.027162654
rendimiento_60m,-0.025560895,0.025560895
volumen_relativo_5m,0.025391066,0.025391066
mecha_superior_relativa,0.025338955,0.025338955
operaciones_relativas_5m,-0.023942556,0.023942556
divergencia_rendimiento_1m,0.013373307,0.013373307
correlacion_btc_eth_240m,-0.012266607,0.012266607
zscore_divergencia_240m,0.011564092,0.011564092
divergencia_rendimiento_15m,0.010933638,0.010933638
proporcion_compradora_cotizacion,0.010180541,0.010180541
rendimiento_15m,0.00975759,0.00975759
otro_rendimiento_30m,0.009602137,0.009602137
volumen_relativo_60m,0.009206152,0.009206152
proporcion_compradora_base,0.008753776,0.008753776
dia_semana_coseno,0.00840043,0.00840043
mecha_inferior_relativa,0.0075913803,0.0075913803
otro_rendimiento_5m,0.0065318295,0.0065318295
desviacion_media_cierre_60m,-0.006476257,0.006476257
rendimiento_30m,0.006469659,0.006469659
rendimiento_5m,0.0062132915,0.0062132915
otro_rendimiento_60m,-0.005705496,0.005705496
otro_rendimiento_15m,0.0052026995,0.0052026995
desviacion_media_cierre_5m,0.004949211,0.004949211
otro_rendimiento_240m,-0.004268091,0.004268091
divergencia_rendimiento_30m,-0.0021195451,0.0021195451
divergencia_rendimiento_5m,0.0019488657,0.0019488657
zscore_divergencia_1440m,0.0017665193,0.0017665193
correlacion_btc_eth_60m,-0.00075324235,0.00075324235
