umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.29156605922551254,153596,373076,1,127,526672,0.9997570235383447,0.29163502141750464,0.9999934894561743,0.00034029737167171753,0.500166893413923,0.4515743036945679,1.0002365233874453,0.0002667149164253401,0.00030261442949341966,2195,6.0000113895432605,0.2911161731207289,0.516628701594533,0.00026779847228907105,0.00026779847228907105,0.0003823637993778384,1.061013480882061,-0.45329307926432494,0.0
0.06,0.29156605922551254,153565,373029,32,174,526594,0.9996089597570236,0.2916193500115839,0.9997916625975768,0.0004662341942588886,0.5001289483959178,0.4515349365104802,1.000182774312665,0.0002657158694891746,0.0003021942598572247,2195,6.0000113895432605,0.2911161731207289,0.516628701594533,0.00026779847228907105,0.00026779847228907105,0.0003823637993778384,1.061013480882061,-0.45329307926432494,0.0
0.07,0.29156605922551254,153541,372996,56,207,526537,0.9995007593014427,0.29160533827632246,0.9996354095457594,0.000554657920756264,0.5000950337332578,0.4515022039774515,1.0001347175007758,0.0002651620398150853,0.0003019213174748625,2195,6.0000113895432605,0.29248291571753987,0.516628701594533,0.0002628014944467454,0.0002628014944467454,0.0003823637993778384,1.0606183657296706,-0.45329307926432494,0.0
0.08,0.29156605922551254,153502,372971,95,232,526473,0.9993792710706151,0.29156670902401455,0.9993814983365561,0.0006216455923451848,0.5000015719644506,0.45142999985295634,1.0000022286493282,0.0002643858368167568,0.0003015391840830439,2195,6.0000113895432605,0.2911161731207289,0.5189066059225512,0.00025540802743341057,0.00025540802743341057,0.00039933328703378734,1.0590418415641278,-0.45329307926432494,0.0
0.09,0.29156605922551254,153439,372930,158,273,526369,0.9991818526955201,0.29150462888202,0.9989713340755353,0.0007315053737510149,0.49985141972464314,0.4513137421576961,0.9997893090037444,0.0002614319621392379,0.0003004299904239005,2195,6.0000113895432605,0.289749430523918,0.5152619589977221,0.0002550305520434046,0.0002550305520434046,0.0003823637993778384,1.0587369031867147,-0.45329307926432494,0.0
0.1,0.29156605922551254,153345,372846,252,357,526191,0.9988439635535308,0.29142459677189464,0.9983593429559171,0.0009565839502897887,0.4996579634531034,0.45115536020053315,0.9995148185149064,0.000257998920514095,0.00029952824301737735,2195,6.0000113895432605,0.2911161731207289,0.5170842824601367,0.0002553579346397513,0.0002553579346397513,0.00038916437982439156,1.0587976239782015,-0.45329307926432494,0.0
0.11,0.29156605922551254,153247,372687,350,516,525934,0.9983561123766135,0.29138066753623076,0.997721309660996,0.0013826255415953248,0.49955196760129567,0.45103755384228245,0.9993641520217605,0.00025625866050176286,0.0002991189926316862,2194,5.997277899160781,0.29307201458523247,0.5173199635369189,0.0002518875739983396,0.0002518875739983396,0.0003851004781809664,1.0578881160970608,-0.45329307926432494,0.0
0.12,0.29156605922551254,153185,372408,412,795,525593,0.997708807896735,0.2914517506892215,0.997317655943801,0.0021302079565276807,0.4997239319501643,0.45108143523903477,0.9996079497847087,0.0002570223104937772,0.00030042582094602643,2194,5.997277899160781,0.29398359161349136,0.5191431175934367,0.0002505882683256971,0.0002505882683256971,0.0003801971458773368,1.0574296615606382,-0.45424092266594684,0.0
0.13,0.29156605922551254,153124,371970,473,1233,525094,0.9967615793470007,0.2916125493721124,0.9969205127704317,0.0033038319627655727,0.5001121723665987,0.45123333004268507,1.0001594497889204,0.00026030006868954254,0.00030445931127154324,2193,5.9945444087783,0.2863657090743274,0.5070679434564523,0.0002498821537515969,0.0002498821537515969,0.0001808700875001179,1.0584455638291659,-0.45994718180292227,0.0
0.14,0.29156605922551254,153077,371387,520,1816,524464,0.9955656795747911,0.29187322676103605,0.9966145172106226,0.004865984464219205,0.5007402508374209,0.4515139493349419,1.001053509233343,0.0002635408448910347,0.00030901096470670186,2193,5.9945444087783,0.2872777017783858,0.5180118559051528,0.0002558036080276746,0.0002558036080276746,0.0003847747587757411,1.0584472112600583,-0.453949721404844,0.0
0.15,0.29156605922551254,152975,370802,622,2401,523777,0.9942615793470008,0.29206131617081316,0.9959504417403986,0.006433495979399951,0.5011919688598993,0.45167071662036035,1.001698609730557,0.0002649019019459081,0.00031120083625246764,2192,5.991810918395821,0.2896897810218978,0.5127737226277372,0.000250133564971565,0.000250133564971565,0.00027047898916687796,1.0582090146077512,-0.45307817788229765,0.0
0.16,0.29156605922551254,152782,369909,815,3294,522691,0.9922000759301443,0.29229889169700646,0.9946939067820335,0.008826295608556202,0.5017601011952949,0.4518252578783004,1.002513435457613,0.0002636442729550129,0.00031225511242682913,2189,5.983610447248381,0.2864321608040201,0.5125628140703518,0.000255792979458692,0.000255792979458692,0.00030450910759061145,1.0589285746045891,-0.45270106684431266,0.0
