variable,coeficiente_clase_positiva,coeficiente_absoluto
volatilidad_240m,0.3067973,0.3067973
otro_volatilidad_240m,-0.27966383,0.27966383
ratio_volatilidad_60m,-0.17486878,0.17486878
cuerpo_relativo,-0.13872479,0.13872479
beta_propio_otro_60m,0.13191211,0.13191211
desviacion_media_cierre_240m,-0.12982531,0.12982531
volatilidad_30m,0.10260549,0.10260549
otro_volatilidad_60m,0.09894894,0.09894894
residual_propio_otro_60m,0.09450733,0.09450733
dia_semana_seno,0.08697326,0.08697326
minuto_dia_coseno,-0.080852516,0.080852516
operaciones_relativas_240m,-0.078610405,0.078610405
rango_relativo,0.07419672,0.07419672
correlacion_btc_eth_1440m,0.07412719,0.07412719
operaciones_relativas_30m,0.07356079,0.07356079
desviacion_media_cierre_30m,-0.07026764,0.07026764
divergencia_rendimiento_240m,-0.066204906,0.066204906
divergencia_rendimiento_60m,-0.060410105,0.060410105
volumen_relativo_240m,-0.05757551,0.05757551
volumen_relativo_30m,-0.04803188,0.04803188
rendimiento_1m,0.045778558,0.045778558
volumen_relativo_5m,0.045336433,0.045336433
desviacion_media_cierre_60m,0.043782905,0.043782905
volumen_relativo_60m,-0.04319013,0.04319013
otro_rendimiento_1m,0.043038312,0.043038312
beta_propio_otro_1440m,0.042591862,0.042591862
rendimiento_240m,-0.034896906,0.034896906
residual_propio_otro_240m,0.034464773,0.034464773
volatilidad_15m,0.033766467,0.033766467
rendimiento_60m,-0.032914896,0.032914896
operaciones_relativas_5m,-0.03124292,0.03124292
minuto_dia_seno,-0.030339105,0.030339105
mecha_superior_relativa,0.029680423,0.029680423
zscore_divergencia_1440m,0.025641564,0.025641564
operaciones_relativas_60m,0.025502548,0.025502548
ratio_volatilidad_240m,-0.024838062,0.024838062
correlacion_btc_eth_60m,-0.024243807,0.024243807
dia_semana_coseno,0.02387701,0.02387701
divergencia_rendimiento_1m,0.022261994,0.022261994
volumen_relativo_15m,0.019961273,0.019961273
volatilidad_5m,0.018146615,0.018146615
desviacion_media_cierre_15m,-0.014022892,0.014022892
beta_propio_otro_240m,0.014000292,0.014000292
mecha_inferior_relativa,0.013927776,0.013927776
proporcion_compradora_cotizacion,0.013621208,0.013621208
correlacion_btc_eth_240m,0.0114922505,0.0114922505
proporcion_compradora_base,0.01136435,0.01136435
zscore_divergencia_240m,-0.010815085,0.010815085
otro_rendimiento_30m,0.010717811,0.010717811
rendimiento_5m,0.010040668,0.010040668
operaciones_relativas_15m,-0.009742428,0.009742428
divergencia_rendimiento_15m,0.00898422,0.00898422
rendimiento_30m,0.008514841,0.008514841
otro_rendimiento_5m,0.008027358,0.008027358
divergencia_rendimiento_5m,0.007277502,0.007277502
rendimiento_15m,0.0050828834,0.0050828834
residual_propio_otro_1440m,0.004662725,0.004662725
volatilidad_60m,-0.0042362045,0.0042362045
desviacion_media_cierre_5m,-0.0038885148,0.0038885148
otro_rendimiento_60m,-0.0018152788,0.0018152788
otro_rendimiento_15m,0.0005774384,0.0005774384
divergencia_rendimiento_30m,0.00044872044,0.00044872044
otro_rendimiento_240m,0.00026455979,0.00026455979
