umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.20189353408743504,105563,417214,100,483,522777,0.9988860440232344,0.2019273992543666,0.9990535949196975,0.0011563406009619413,0.5001049677603298,0.3359525173445357,1.000167737748931,0.0003590089294818813,8.496795494261633e-05,2182,5.980824540932963,0.21219065077910174,0.5100824931255729,0.0003579072430359586,0.0003579072430359586,0.00011199502677505802,1.1196122299748374,-0.28111957869094717,0.0
0.06,0.20189353408743504,105513,416930,150,767,522443,0.998247859981657,0.20196078806683218,0.9985803923795463,0.0018362592980078862,0.5002083258387771,0.3359719537785023,1.0003331160638755,0.0003595357161470479,8.527278153724893e-05,2182,5.980824540932963,0.20989917506874428,0.5054995417048579,0.0003581991642675107,0.0003581991642675107,6.660925103996185e-05,1.1194440374626944,-0.2817867927730149,0.0
0.07,0.20189353408743504,105444,416488,219,1209,521932,0.9972714766126567,0.20202631760459216,0.9979273728741376,0.002894442622283617,0.5004109077482106,0.33602562161903776,1.0006576907861726,0.00035941169834611506,8.569419455017879e-05,2182,5.980824540932963,0.20210815765352888,0.5064161319890009,0.00035845791557041296,0.00035845791557041296,9.581934137126158e-05,1.1208282428161744,-0.2777143396656484,0.0
0.08,0.20189353408743504,105371,415794,292,1903,521165,0.9958059461938246,0.20218356950294053,0.9972364971655168,0.004555934086191665,0.5008962156258542,0.33620387091833803,1.001436576048938,0.00036033825683404034,8.72519137251615e-05,2181,5.978083558100271,0.20449335167354424,0.49701971572673087,0.0003587421833204825,0.0003587421833204825,-6.603238888669427e-05,1.120802544154686,-0.27820185842125056,0.0
0.09,0.20189353408743504,105291,414859,372,2838,520150,0.9938665545704678,0.20242430068249542,0.9964793731012748,0.006794398810621096,0.5016368859559479,0.3364934892691587,1.0026289430092918,0.00036156250439958824,8.974513700688025e-05,2181,5.978083558100271,0.20678587803759743,0.4924346629986245,0.0003584678797582039,0.0003584678797582039,-7.490636704121645e-05,1.1209454138928308,-0.27696483039111763,0.0
0.1,0.20189353408743504,105183,413666,480,4031,518849,0.9913806939773769,0.20272372115972084,0.9954572556145481,0.009650536154197899,0.502553895884373,0.3368486113957778,1.0041120042602567,0.00036242822763149214,9.096454523072062e-05,2180,5.975342575267579,0.21009174311926607,0.501834862385321,0.00036529112160297596,0.00036529112160297596,3.2902978084781154e-05,1.1226690252275142,-0.2685348257995114,0.0
0.11,0.20189353408743504,105071,412184,592,5513,517255,0.9883349892999083,0.20313191752617182,0.9943972819246094,0.013198562594416527,0.5037979222595129,0.33735098359655685,1.0061338439803647,0.00036368563316248315,9.288500835968883e-05,2178,5.969860609602196,0.2033976124885216,0.4986225895316804,0.0003683640171518388,0.0003683640171518388,-2.3155335241109576e-05,1.1245029958046762,-0.26483553811815796,0.0
0.12,0.20189353408743504,104927,410605,736,7092,515532,0.9850428003668603,0.2035314975598023,0.9930344586089738,0.016978814786795214,0.5050066366978845,0.3378230668308663,1.0081130060938845,0.0003637957335364212,9.452202845872115e-05,2175,5.961637661104121,0.20367816091954022,0.4979310344827586,0.00036203334918237897,0.00036203334918237897,-2.622318024236847e-05,1.1237135122354787,-0.2682981621167456,0.0
0.13,0.20189353408743504,104673,408493,990,9204,513166,0.9805220116172424,0.20397493208825215,0.9906305897050055,0.022035111576094633,0.5063328506405501,0.33829377744094086,1.0103093841525193,0.00036406042558574767,9.598562618673423e-05,2173,5.9561556954387385,0.2034054302807179,0.500230096640589,0.00036159307469945876,0.00036159307469945876,5.95766483368898e-06,1.1246754335647375,-0.2786049976649069,0.0
0.14,0.20189353408743504,104262,405494,1401,12203,509756,0.974006420055029,0.2045331491929472,0.9867408648249624,0.029214957253703044,0.5079779110393328,0.33883256773027803,1.0130742924355816,0.00036467433650276993,9.785244467408472e-05,2164,5.931486849944514,0.21025878003696857,0.5087800369685767,0.00036415352372795747,0.00036415352372795747,0.00017030768588910394,1.1234880495395083,-0.2731574160032576,0.0
