umbral,prevalencia_validacion_2023,verdaderos_positivos_validacion_2023,falsos_positivos_validacion_2023,falsos_negativos_validacion_2023,verdaderos_negativos_validacion_2023,senales_validacion_2023,cobertura_validacion_2023,precision_validacion_2023,recall_validacion_2023,especificidad_validacion_2023,balanced_accuracy_validacion_2023,f1_validacion_2023,precision_lift_validacion_2023,retorno_bruto_medio_todas_senales_validacion_2023,retorno_bruto_mediano_todas_senales_validacion_2023,operaciones_no_solapadas_validacion_2023,operaciones_no_solapadas_por_dia_validacion_2023,precision_objetivo_no_solapada_validacion_2023,tasa_retorno_positivo_no_solapada_validacion_2023,retorno_bruto_medio_no_solapado_validacion_2023,retorno_neto_medio_no_solapado_validacion_2023,retorno_neto_mediano_no_solapado_validacion_2023,factor_beneficio_no_solapado_validacion_2023,maximo_drawdown_no_solapado_validacion_2023,coste_operacion_validacion_2023,pr_auc_validacion_2023,pr_auc_lift_validacion_2023,prevalencia_validacion_2024,verdaderos_positivos_validacion_2024,falsos_positivos_validacion_2024,falsos_negativos_validacion_2024,verdaderos_negativos_validacion_2024,senales_validacion_2024,cobertura_validacion_2024,precision_validacion_2024,recall_validacion_2024,especificidad_validacion_2024,balanced_accuracy_validacion_2024,f1_validacion_2024,precision_lift_validacion_2024,retorno_bruto_medio_todas_senales_validacion_2024,retorno_bruto_mediano_todas_senales_validacion_2024,operaciones_no_solapadas_validacion_2024,operaciones_no_solapadas_por_dia_validacion_2024,precision_objetivo_no_solapada_validacion_2024,tasa_retorno_positivo_no_solapada_validacion_2024,retorno_bruto_medio_no_solapado_validacion_2024,retorno_neto_medio_no_solapado_validacion_2024,retorno_neto_mediano_no_solapado_validacion_2024,factor_beneficio_no_solapado_validacion_2024,maximo_drawdown_no_solapado_validacion_2024,coste_operacion_validacion_2024,pr_auc_validacion_2024,pr_auc_lift_validacion_2024,simbolo,detector,variante,variables,precision_minimo,precision_medio,precision_diferencia,recall_minimo,recall_medio,recall_diferencia,f1_minimo,f1_medio,f1_diferencia,precision_lift_minimo,precision_lift_medio,precision_lift_diferencia,operaciones_no_solapadas_minimo,operaciones_no_solapadas_medio,operaciones_no_solapadas_diferencia,precision_objetivo_no_solapada_minimo,precision_objetivo_no_solapada_medio,precision_objetivo_no_solapada_diferencia,tasa_retorno_positivo_no_solapada_minimo,tasa_retorno_positivo_no_solapada_medio,tasa_retorno_positivo_no_solapada_diferencia,retorno_neto_medio_no_solapado_minimo,retorno_neto_medio_no_solapado_medio,retorno_neto_medio_no_solapado_diferencia,factor_beneficio_no_solapado_minimo,factor_beneficio_no_solapado_medio,factor_beneficio_no_solapado_diferencia,maximo_drawdown_no_solapado_minimo,maximo_drawdown_no_solapado_medio,maximo_drawdown_no_solapado_diferencia,pr_auc_minimo,pr_auc_medio,pr_auc_diferencia,pr_auc_lift_minimo,pr_auc_lift_medio,pr_auc_lift_diferencia
0.05,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.06,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.07,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.08,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.09,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.1,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.11,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.12,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.13,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.14,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
0.15,0.155510547233262,81388,441972,0,0,523360,1.0,0.155510547233262,1.0,0.0,0.5,0.269163353992076,1.0,-0.0004843634267097,-0.0001133596097885,2182,5.980824540932963,0.1549037580201649,0.4885426214482126,-0.0004846609185768,-0.0004846609185768,-8.116316508999244e-05,0.837945773853495,-0.694892172075785,0.0,0.2283721216089039,1.4685313997792793,0.2236104783599088,117798,409002,0,0,526800,1.0,0.2236104783599088,1.0,0.0,0.5,0.3654929118613461,1.0,-0.000421163903572,-0.0003529744518918,2195,6.0000113895432605,0.2291571753986332,0.4783599088838269,-0.0004259415340564,-0.0004259415340564,-0.0003394659167264,0.8917782139928262,-0.7131877600773733,0.0,0.286286648709066,1.2802917412853867,BTCUSDT,BAJA,v4_52_balanceado,52,0.155510547233262,0.1895605127965854,0.0680999311266468,1.0,1.0,0.0,0.269163353992076,0.317328132926711,0.09632955786927005,1.0,1.0,0.0,2182,2188.5,13,0.1549037580201649,0.19203046670939905,0.0742534173784683,0.4783599088838269,0.4834512651660198,0.010182712564385688,-0.0004846609185768,-0.0004553012263166,5.8719384520399996e-05,0.837945773853495,0.8648619939231605,0.053832440139331195,-0.7131877600773733,-0.7040399660765791,0.01829558800158826,0.2283721216089039,0.25732938515898496,0.057914527100162094,1.2802917412853867,1.374411570532333,0.18823965849389257
