pliegue,umbral_sube,modo_entrada,umbral_veto_baja,usa_veto_baja,tipo_salida,nombre_salida,horizonte_salida,coste,operaciones,precision_clasificacion,porcentaje_acierto_clasificacion,porcentaje_operaciones_positivas,retorno_bruto_medio,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
validacion_2023,0.44,nivel,,False,fija,fija_60m,60,0.0005,106,0.4811320754716981,48.113207547169814,59.43396226415094,0.0020550735512809607,0.0015550735512809602,0.0013121876847543294,1.4132832051020634,-0.08429757089282364
validacion_2023,0.44,nivel,,False,fija,fija_60m,60,0.001,106,0.4811320754716981,48.113207547169814,55.660377358490564,0.0020550735512809607,0.0010550735512809598,0.0008121876847543294,1.2657257112303617,-0.10516456023911225
validacion_2023,0.44,nivel,,False,fija,fija_60m,60,0.002,106,0.4811320754716981,48.113207547169814,49.056603773584904,0.0020550735512809607,5.507355128095981e-05,-0.0001878123152456706,1.0123748874705627,-0.14570524190190826
validacion_2023,0.44,nivel,,False,fija,fija_120m,120,0.0005,91,0.4945054945054945,49.45054945054945,62.637362637362635,0.004179357608811379,0.0036793576088113783,0.0027247232901367884,1.9399607444780782,-0.062258803607177726
validacion_2023,0.44,nivel,,False,fija,fija_120m,120,0.001,91,0.4945054945054945,49.45054945054945,62.637362637362635,0.004179357608811379,0.003179357608811378,0.0022247232901367884,1.7752286602610117,-0.06920328256567365
validacion_2023,0.44,nivel,,False,fija,fija_120m,120,0.002,91,0.4945054945054945,49.45054945054945,56.043956043956044,0.004179357608811379,0.002179357608811378,0.0012247232901367883,1.4834049741821929,-0.09044632066350211
validacion_2023,0.44,nivel,,False,fija,fija_240m,240,0.0005,79,0.5063291139240507,50.63291139240506,64.55696202531645,0.00484308533391537,0.004343085333915369,0.004909871695934986,1.966791655080515,-0.0692001595404701
validacion_2023,0.44,nivel,,False,fija,fija_240m,240,0.001,79,0.5063291139240507,50.63291139240506,64.55696202531645,0.00484308533391537,0.0038430853339153684,0.004409871695934987,1.8230219017425828,-0.0720229993430932
validacion_2023,0.44,nivel,,False,fija,fija_240m,240,0.002,79,0.5063291139240507,50.63291139240506,62.0253164556962,0.00484308533391537,0.0028430853339153684,0.003409871695934987,1.5639312315674807,-0.08695161040941035
validacion_2023,0.44,nivel,,False,fija,fija_480m,480,0.0005,70,0.5,50.0,64.28571428571429,0.006200875906903553,0.0057008759069035525,0.005719992298277299,1.9102798608509466,-0.08685723010468493
validacion_2023,0.44,nivel,,False,fija,fija_480m,480,0.001,70,0.5,50.0,61.42857142857143,0.006200875906903553,0.005200875906903552,0.005219992298277299,1.8069193466587499,-0.08872424885244956
validacion_2023,0.44,nivel,,False,fija,fija_480m,480,0.002,70,0.5,50.0,61.42857142857143,0.006200875906903553,0.004200875906903551,0.004219992298277299,1.6149667211300072,-0.09244969654888324
validacion_2023,0.44,nivel,,False,barrera,tp030_sl020_120m,120,0.0005,801,0.4706616729088639,47.06616729088639,41.947565543071164,9.737827715355804e-05,-0.00040262172284644197,-0.0025,0.7225806451612902,-0.2846244113209384
validacion_2023,0.44,nivel,,False,barrera,tp030_sl020_120m,120,0.001,801,0.4706616729088639,47.06616729088639,41.947565543071164,9.737827715355804e-05,-0.0009026217228464419,-0.003,0.48172043010752696,-0.5165267522804229
validacion_2023,0.44,nivel,,False,barrera,tp030_sl020_120m,120,0.002,801,0.4706616729088639,47.06616729088639,41.947565543071164,9.737827715355804e-05,-0.001902621722846442,-0.004,0.18064516129032254,-0.7825722825405415
validacion_2023,0.44,nivel,,False,barrera,tp050_sl030_120m,120,0.0005,546,0.46886446886446886,46.88644688644688,41.57509157509158,0.0003260073260073261,-0.00017399267399267378,-0.0035,0.9149126735333634,-0.14926630225028137
validacion_2023,0.44,nivel,,False,barrera,tp050_sl030_120m,120,0.001,546,0.46886446886446886,46.88644688644688,41.57509157509158,0.0003260073260073261,-0.000673992673992674,-0.004,0.7115987460815049,-0.3271562358187523
validacion_2023,0.44,nivel,,False,barrera,tp050_sl030_120m,120,0.002,546,0.46886446886446886,46.88644688644688,41.57509157509158,0.0003260073260073261,-0.0016739926739926742,-0.005,0.42695924764890286,-0.604224517919699
validacion_2023,0.44,nivel,,False,barrera,tp050_sl030_240m,240,0.0005,546,0.46886446886446886,46.88644688644688,41.57509157509158,0.0003260073260073261,-0.00017399267399267378,-0.0035,0.9149126735333634,-0.14926630225028137
validacion_2023,0.44,nivel,,False,barrera,tp050_sl030_240m,240,0.001,546,0.46886446886446886,46.88644688644688,41.57509157509158,0.0003260073260073261,-0.000673992673992674,-0.004,0.7115987460815049,-0.3271562358187523
validacion_2023,0.44,nivel,,False,barrera,tp050_sl030_240m,240,0.002,546,0.46886446886446886,46.88644688644688,41.57509157509158,0.0003260073260073261,-0.0016739926739926742,-0.005,0.42695924764890286,-0.604224517919699
validacion_2023,0.44,nivel,,False,barrera,tp070_sl035_240m,240,0.0005,422,0.466824644549763,46.682464454976305,37.91469194312796,0.0004702352156329321,-2.976478436706778e-05,-0.004,0.9880145620201309,-0.09997012921689752
validacion_2023,0.44,nivel,,False,barrera,tp070_sl035_240m,240,0.001,422,0.466824644549763,46.682464454976305,37.91469194312796,0.0004702352156329321,-0.0005297647843670681,-0.0045000000000000005,0.8103810525844758,-0.22956071011152424
validacion_2023,0.44,nivel,,False,barrera,tp070_sl035_240m,240,0.002,422,0.466824644549763,46.682464454976305,37.91469194312796,0.0004702352156329321,-0.0015297647843670677,-0.0055,0.5520050388598872,-0.48255702989764926
validacion_2023,0.44,nivel,,False,barrera,tp070_sl040_480m,480,0.0005,395,0.4810126582278481,48.10126582278481,41.51898734177215,0.0005513824504039763,5.138245040397626e-05,-0.0045000000000000005,1.0195248368538434,-0.08179148637218947
validacion_2023,0.44,nivel,,False,barrera,tp070_sl040_480m,480,0.001,395,0.4810126582278481,48.10126582278481,41.265822784810126,0.0005513824504039763,-0.0004486175495960238,-0.005,0.8466037665143976,-0.20280205954165176
validacion_2023,0.44,nivel,,False,barrera,tp070_sl040_480m,480,0.002,395,0.4810126582278481,48.10126582278481,41.265822784810126,0.0005513824504039763,-0.0014486175495960236,-0.006,0.5875127521963162,-0.44468517219837334
validacion_2023,0.44,nivel,,False,barrera,tp100_sl050_480m,480,0.0005,295,0.5084745762711864,50.847457627118644,38.64406779661017,0.0007796923838890468,0.0002796923838890474,-0.0055,1.0833238002176249,-0.10865638815452983
validacion_2023,0.44,nivel,,False,barrera,tp100_sl050_480m,480,0.001,295,0.5084745762711864,50.847457627118644,38.30508474576271,0.0007796923838890468,-0.00022030761611095247,-0.006,0.9398750594734725,-0.1666485167462557
validacion_2023,0.44,nivel,,False,barrera,tp100_sl050_480m,480,0.002,295,0.5084745762711864,50.847457627118644,38.30508474576271,0.0007796923838890468,-0.0012203076161109527,-0.007,0.714955503834341,-0.35402828153506816
validacion_2023,0.44,nivel,0.25,True,fija,fija_60m,60,0.0005,17,0.5294117647058824,52.94117647058824,64.70588235294117,0.0019020716440992463,0.001402071644099246,0.0026184721768384715,1.5213453868447975,-0.04202736641294336
validacion_2023,0.44,nivel,0.25,True,fija,fija_60m,60,0.001,17,0.5294117647058824,52.94117647058824,58.82352941176471,0.0019020716440992463,0.0009020716440992456,0.0021184721768384715,1.312547155425736,-0.043484342276727594
validacion_2023,0.44,nivel,0.25,True,fija,fija_60m,60,0.002,17,0.5294117647058824,52.94117647058824,52.94117647058824,0.0019020716440992463,-9.792835590075402e-05,0.0011184721768384715,0.9707752447853645,-0.04733943302549082
validacion_2023,0.44,nivel,0.25,True,fija,fija_120m,120,0.0005,17,0.5294117647058824,52.94117647058824,64.70588235294117,0.00480681909274799,0.00430681909274799,0.002544040362761402,3.4629362818300167,-0.024705352130869884
validacion_2023,0.44,nivel,0.25,True,fija,fija_120m,120,0.001,17,0.5294117647058824,52.94117647058824,64.70588235294117,0.00480681909274799,0.0038068190927479893,0.002044040362761402,2.977442166048494,-0.027153391178245112
validacion_2023,0.44,nivel,0.25,True,fija,fija_120m,120,0.002,17,0.5294117647058824,52.94117647058824,58.82352941176471,0.00480681909274799,0.0028068190927479897,0.001044040362761402,2.2311009643549427,-0.03203472209741787
validacion_2023,0.44,nivel,0.25,True,fija,fija_240m,240,0.0005,16,0.5625,56.25,75.0,0.004612317618160014,0.0041123176181600135,0.0059144272241312135,2.226445254575697,-0.043063994983444265
validacion_2023,0.44,nivel,0.25,True,fija,fija_240m,240,0.001,16,0.5625,56.25,75.0,0.004612317618160014,0.003612317618160013,0.005414427224131214,2.0386078458443455,-0.04499775227539926
validacion_2023,0.44,nivel,0.25,True,fija,fija_240m,240,0.002,16,0.5625,56.25,62.5,0.004612317618160014,0.002612317618160013,0.004414427224131214,1.6962743053375677,-0.04912213405182253
validacion_2023,0.44,nivel,0.25,True,fija,fija_480m,480,0.0005,15,0.5333333333333333,53.333333333333336,60.0,0.0021993702342417414,0.0016993702342417408,0.004928796593924589,1.3958782663658187,-0.05083969752034312
validacion_2023,0.44,nivel,0.25,True,fija,fija_480m,480,0.001,15,0.5333333333333333,53.333333333333336,60.0,0.0021993702342417414,0.0011993702342417403,0.00442879659392459,1.266962248427457,-0.0518138876769727
validacion_2023,0.44,nivel,0.25,True,fija,fija_480m,480,0.002,15,0.5333333333333333,53.333333333333336,60.0,0.0021993702342417414,0.00019937023424174114,0.0034287965939245896,1.0407488548894412,-0.053760767990232106
validacion_2023,0.44,nivel,0.25,True,barrera,tp030_sl020_120m,120,0.0005,21,0.5238095238095238,52.38095238095239,57.14285714285714,0.0008571428571428571,0.00035714285714285714,0.0025,1.3333333333333333,-0.009968750194921938
validacion_2023,0.44,nivel,0.25,True,barrera,tp030_sl020_120m,120,0.001,21,0.5238095238095238,52.38095238095239,57.14285714285714,0.0008571428571428571,-0.00014285714285714281,0.002,0.8888888888888892,-0.012940090134433535
validacion_2023,0.44,nivel,0.25,True,barrera,tp030_sl020_120m,120,0.002,21,0.5238095238095238,52.38095238095239,57.14285714285714,0.0008571428571428571,-0.0011428571428571427,0.001,0.33333333333333337,-0.024756083837608522
validacion_2023,0.44,nivel,0.25,True,barrera,tp050_sl030_120m,120,0.0005,20,0.55,55.00000000000001,50.0,0.0010000000000000002,0.0005000000000000002,0.0005000000000000002,1.285714285714286,-0.012956128676213319
validacion_2023,0.44,nivel,0.25,True,barrera,tp050_sl030_120m,120,0.001,20,0.55,55.00000000000001,50.0,0.0010000000000000002,0.0,0.0,1.0,-0.01598298088429584
validacion_2023,0.44,nivel,0.25,True,barrera,tp050_sl030_120m,120,0.002,20,0.55,55.00000000000001,50.0,0.0010000000000000002,-0.0010000000000000002,-0.001,0.6,-0.029685789427471465
validacion_2023,0.44,nivel,0.25,True,barrera,tp050_sl030_240m,240,0.0005,20,0.55,55.00000000000001,50.0,0.0010000000000000002,0.0005000000000000002,0.0005000000000000002,1.285714285714286,-0.012956128676213319
validacion_2023,0.44,nivel,0.25,True,barrera,tp050_sl030_240m,240,0.001,20,0.55,55.00000000000001,50.0,0.0010000000000000002,0.0,0.0,1.0,-0.01598298088429584
validacion_2023,0.44,nivel,0.25,True,barrera,tp050_sl030_240m,240,0.002,20,0.55,55.00000000000001,50.0,0.0010000000000000002,-0.0010000000000000002,-0.001,0.6,-0.029685789427471465
validacion_2023,0.44,nivel,0.25,True,barrera,tp070_sl035_240m,240,0.0005,20,0.55,55.00000000000001,50.0,0.0017500000000000003,0.0012500000000000005,0.0012500000000000002,1.6249999999999998,-0.01984063872102393
validacion_2023,0.44,nivel,0.25,True,barrera,tp070_sl035_240m,240,0.001,20,0.55,55.00000000000001,50.0,0.0017500000000000003,0.0007499999999999998,0.0007499999999999998,1.3333333333333328,-0.022298409201532365
validacion_2023,0.44,nivel,0.25,True,barrera,tp070_sl035_240m,240,0.002,20,0.55,55.00000000000001,50.0,0.0017500000000000003,-0.00024999999999999973,-0.0002499999999999998,0.9090909090909092,-0.028225193378871638
validacion_2023,0.44,nivel,0.25,True,barrera,tp070_sl040_480m,480,0.0005,20,0.55,55.00000000000001,50.0,0.0015,0.0010000000000000002,0.001,1.4444444444444442,-0.022298409201532476
validacion_2023,0.44,nivel,0.25,True,barrera,tp070_sl040_480m,480,0.001,20,0.55,55.00000000000001,50.0,0.0015,0.0005000000000000001,0.0005,1.2,-0.02475124687812502
validacion_2023,0.44,nivel,0.25,True,barrera,tp070_sl040_480m,480,0.002,20,0.55,55.00000000000001,50.0,0.0015,-0.0004999999999999999,-0.0005,0.8333333333333333,-0.03164006123886964
validacion_2023,0.44,nivel,0.25,True,barrera,tp100_sl050_480m,480,0.0005,19,0.5263157894736842,52.63157894736842,42.10526315789473,0.0014792498437396686,0.0009792498437396686,-0.0055,1.324174391486906,-0.023358784660372
validacion_2023,0.44,nivel,0.25,True,barrera,tp100_sl050_480m,480,0.001,19,0.5263157894736842,52.63157894736842,42.10526315789473,0.0014792498437396686,0.00047924984373966907,-0.006,1.1447786816952834,-0.026783479312068925
validacion_2023,0.44,nivel,0.25,True,barrera,tp100_sl050_480m,480,0.002,19,0.5263157894736842,52.63157894736842,42.10526315789473,0.0014792498437396686,-0.0005207501562603314,-0.007,0.8661025374584365,-0.03554708499535941
validacion_2023,0.44,nivel,0.3,True,fija,fija_60m,60,0.0005,38,0.5526315789473685,55.26315789473685,60.526315789473685,0.0014737292695451286,0.0009737292695451281,0.0014323677286360308,1.2910501868200657,-0.062404359035471924
validacion_2023,0.44,nivel,0.3,True,fija,fija_60m,60,0.001,38,0.5526315789473685,55.26315789473685,55.26315789473685,0.0014737292695451286,0.00047372926954512785,0.0009323677286360308,1.1332703757378997,-0.06990768740567233
validacion_2023,0.44,nivel,0.3,True,fija,fija_60m,60,0.002,38,0.5526315789473685,55.26315789473685,50.0,0.0014737292695451286,-0.0005262707304548723,-6.763227136396925e-05,0.8688268128565185,-0.08474577352756396
validacion_2023,0.44,nivel,0.3,True,fija,fija_120m,120,0.0005,38,0.5526315789473685,55.26315789473685,60.526315789473685,0.003754138079638983,0.0032541380796389826,0.002467584341555307,2.124375301544332,-0.0412659659228134
