umbral_sube,modo_entrada,umbral_veto_baja_clave,usa_veto_baja,tipo_salida,nombre_salida,horizonte_salida,coste,operaciones_2023,precision_clasificacion_2023,porcentaje_acierto_clasificacion_2023,porcentaje_operaciones_positivas_2023,retorno_bruto_medio_2023,retorno_neto_medio_2023,retorno_neto_mediano_2023,factor_beneficio_2023,maximo_drawdown_2023,operaciones_2024,precision_clasificacion_2024,porcentaje_acierto_clasificacion_2024,porcentaje_operaciones_positivas_2024,retorno_bruto_medio_2024,retorno_neto_medio_2024,retorno_neto_mediano_2024,factor_beneficio_2024,maximo_drawdown_2024,operaciones_minimo,operaciones_medio,operaciones_diferencia,precision_clasificacion_minimo,precision_clasificacion_medio,precision_clasificacion_diferencia,porcentaje_acierto_clasificacion_minimo,porcentaje_acierto_clasificacion_medio,porcentaje_acierto_clasificacion_diferencia,porcentaje_operaciones_positivas_minimo,porcentaje_operaciones_positivas_medio,porcentaje_operaciones_positivas_diferencia,retorno_bruto_medio_minimo,retorno_bruto_medio_medio,retorno_bruto_medio_diferencia,retorno_neto_medio_minimo,retorno_neto_medio_medio,retorno_neto_medio_diferencia,retorno_neto_mediano_minimo,retorno_neto_mediano_medio,retorno_neto_mediano_diferencia,factor_beneficio_minimo,factor_beneficio_medio,factor_beneficio_diferencia,maximo_drawdown_minimo,maximo_drawdown_medio,maximo_drawdown_diferencia,umbral_veto_baja,cumple_filtros,puntuacion
0.6,creciente_5m,0.5,True,fija,fija_120m,120,0.002,4,0.5,50.0,100.0,0.0123007646494615,0.0103007646494615,0.0082410898133824,inf,0.0,1,1.0,100.0,100.0,0.0165550708638819,0.0145550708638819,0.0145550708638819,inf,0.0,1,2.5,3,0.5,0.75,0.5,50.0,75.0,50.0,100.0,100.0,0.0,0.0123007646494615,0.014427917756671701,0.004254306214420401,0.0103007646494615,0.012427917756671701,0.004254306214420399,0.0082410898133824,0.01139808033863215,0.0063139810504995,inf,inf,,0.0,0.0,0.0,0.5,False,inf
0.6,creciente_5m,0.5,True,fija,fija_120m,120,0.001,4,0.5,50.0,100.0,0.0123007646494615,0.0113007646494615,0.0092410898133824,inf,0.0,1,1.0,100.0,100.0,0.0165550708638819,0.0155550708638819,0.0155550708638819,inf,0.0,1,2.5,3,0.5,0.75,0.5,50.0,75.0,50.0,100.0,100.0,0.0,0.0123007646494615,0.014427917756671701,0.004254306214420401,0.0113007646494615,0.0134279177566717,0.004254306214420401,0.0092410898133824,0.01239808033863215,0.0063139810504995,inf,inf,,0.0,0.0,0.0,0.5,False,inf
0.59,cruce,0.25,True,fija,fija_480m,480,0.0005,2,1.0,100.0,100.0,0.0146366681629663,0.0141366681629663,0.0141366681629663,inf,0.0,1,1.0,100.0,100.0,0.0244071805797472,0.0239071805797472,0.0239071805797472,inf,0.0,1,1.5,1,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0146366681629663,0.01952192437135675,0.009770512416780898,0.0141366681629663,0.01902192437135675,0.009770512416780902,0.0141366681629663,0.01902192437135675,0.009770512416780902,inf,inf,,0.0,0.0,0.0,0.25,False,inf
0.59,cruce,0.25,True,fija,fija_240m,240,0.002,3,1.0,100.0,100.0,0.0149928481870041,0.0129928481870041,0.0104139862571164,inf,0.0,1,1.0,100.0,100.0,0.0164125061168818,0.0144125061168818,0.0144125061168818,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0149928481870041,0.01570267715194295,0.0014196579298777004,0.0129928481870041,0.01370267715194295,0.0014196579298777004,0.0104139862571164,0.0124132461869991,0.0039985198597654,inf,inf,,0.0,0.0,0.0,0.25,False,inf
0.59,cruce,0.25,True,fija,fija_60m,60,0.001,3,1.0,100.0,100.0,0.0082247640767316,0.0072247640767316,0.0075689072126913,inf,0.0,1,1.0,100.0,100.0,0.0086030477549543,0.0076030477549543,0.0076030477549543,inf,0.0,1,2.0,2,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0082247640767316,0.00841390591584295,0.0003782836782227003,0.0072247640767316,0.00741390591584295,0.0003782836782227003,0.0075689072126913,0.0075859774838228,3.414054226300034e-05,inf,inf,,0.0,0.0,0.0,0.25,False,inf
0.51,confirmacion_3m,0.3,True,barrera,tp100_sl050_480m,480,0.002,3,1.0,100.0,100.0,0.01,0.008,0.008,inf,0.0,4,1.0,100.0,100.0,0.01,0.008,0.008,inf,0.0,3,3.5,1,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.01,0.01,0.0,0.008,0.008,0.0,0.008,0.008,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.51,confirmacion_3m,0.3,True,barrera,tp100_sl050_480m,480,0.001,3,1.0,100.0,100.0,0.01,0.009,0.009,inf,0.0,4,1.0,100.0,100.0,0.01,0.009,0.009,inf,0.0,3,3.5,1,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.01,0.01,0.0,0.009,0.009,0.0,0.009,0.009,0.0,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_480m,480,0.002,1,1.0,100.0,100.0,0.0158649777974642,0.0138649777974642,0.0138649777974642,inf,0.0,4,0.75,75.0,100.0,0.0343712753842816,0.0323712753842816,0.0222176006709552,inf,0.0,1,2.5,3,0.75,0.875,0.25,75.0,87.5,25.0,100.0,100.0,0.0,0.0158649777974642,0.0251181265908729,0.018506297586817398,0.0138649777974642,0.0231181265908729,0.018506297586817398,0.0138649777974642,0.018041289234209702,0.008352622873491002,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_480m,480,0.001,1,1.0,100.0,100.0,0.0158649777974642,0.0148649777974642,0.0148649777974642,inf,0.0,4,0.75,75.0,100.0,0.0343712753842816,0.0333712753842816,0.0232176006709552,inf,0.0,1,2.5,3,0.75,0.875,0.25,75.0,87.5,25.0,100.0,100.0,0.0,0.0158649777974642,0.0251181265908729,0.018506297586817398,0.0148649777974642,0.0241181265908729,0.018506297586817398,0.0148649777974642,0.0190412892342097,0.008352622873490999,inf,inf,,0.0,0.0,0.0,0.3,False,inf
0.49,confirmacion_3m,0.3,True,fija,fija_480m,480,0.0005,1,1.0,100.0,100.0,0.0158649777974642,0.0153649777974642,0.0153649777974642,inf,0.0,4,0.75,75.0,100.0,0.0343712753842816,0.0338712753842816,0.0237176006709552,inf,0.0,1,2.5,3,0.75,0.875,0.25,75.0,87.5,25.0,100.0,100.0,0.0,0.0158649777974642,0.0251181265908729,0.018506297586817398,0.0153649777974642,0.0246181265908729,0.018506297586817398,0.0153649777974642,0.0195412892342097,0.008352622873490999,inf,inf,,0.0,0.0,0.0,0.3,False,inf
