variante,pliegue,umbral,operaciones,precision,porcentaje_acierto,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto
control_63,validacion_2023,0.4,116,0.4396551724137931,43.96551724137931,62.06896551724138,0.003457646051167374,0.003617562342653092,1.5936548743384986,-0.14124803789721208,0.4507058718800454
control_63,validacion_2023,0.42,96,0.4375,43.75,61.458333333333336,0.004507771535880324,0.004156769772228786,1.7770952899491752,-0.09683032472541164,0.5018299448494952
control_63,validacion_2023,0.44,77,0.4935064935064935,49.35064935064935,66.23376623376623,0.005575917712559872,0.006028209058902668,1.972432576846761,-0.0825551938323894,0.5017452615059688
control_63,validacion_2023,0.46,58,0.5862068965517241,58.620689655172406,65.51724137931035,0.005591013174075378,0.008002448871905599,1.9004115237208536,-0.0819542543919598,0.35798378716563595
control_63,validacion_2023,0.48,49,0.5306122448979592,53.06122448979592,63.26530612244898,0.004868555171525984,0.007379562301136234,1.6445625810611824,-0.09397968399845313,0.24758347631657407
control_63,validacion_2023,0.5,41,0.5121951219512195,51.21951219512195,63.41463414634146,0.003123618442117512,0.011236527459665635,1.389574923941295,-0.11207996841430234,0.1218841284625003
control_63,validacion_2024,0.4,164,0.38414634146341464,38.41463414634146,53.65853658536586,0.001398415712671945,0.0005426315333606499,1.1599816362812883,-0.23676372348774533,0.19890752082815855
control_63,validacion_2024,0.42,144,0.4791666666666667,47.91666666666667,60.416666666666664,0.004068884530393176,0.0044514267495408,1.5512673416561313,-0.09523061224235163,0.7234822485808359
control_63,validacion_2024,0.44,126,0.46825396825396826,46.82539682539682,60.317460317460316,0.0028652927343018916,0.0053591266025493365,1.348079626823793,-0.13233030283786018,0.38081383526100554
control_63,validacion_2024,0.46,105,0.45714285714285713,45.714285714285715,56.19047619047619,0.0017167147868277608,0.002784672890196683,1.2016420036859476,-0.21986805430664746,0.1602804524872372
control_63,validacion_2024,0.48,96,0.5208333333333334,52.083333333333336,56.25,0.0029933874316718755,0.004398889746356272,1.3661095300578923,-0.1886718280363784,0.2937529543948749
control_63,validacion_2024,0.5,85,0.5294117647058824,52.94117647058824,57.647058823529406,0.004171063281596751,0.007643789605400354,1.5037759582505448,-0.16865423286906334,0.3853658529454034
flujo_spot,validacion_2023,0.4,96,0.4583333333333333,45.83333333333333,68.75,0.006440301734428018,0.005632918978355606,2.27862893270818,-0.0676497984797152,0.8062286277604669
flujo_spot,validacion_2023,0.42,79,0.4936708860759494,49.36708860759494,65.82278481012658,0.0053394138521687525,0.005901934577804747,1.958193572503436,-0.08746295524234893,0.49192291669135213
flujo_spot,validacion_2023,0.44,61,0.5245901639344263,52.459016393442624,65.57377049180327,0.005963953837032199,0.009180467157180794,1.9215186328951928,-0.09982063655928652,0.40936902601610026
flujo_spot,validacion_2023,0.46,49,0.5306122448979592,53.06122448979592,63.26530612244898,0.00478103573535271,0.008625335442674964,1.6042842370072532,-0.08890020759610473,0.24097837001696676
flujo_spot,validacion_2023,0.48,42,0.5238095238095238,52.38095238095239,61.904761904761905,0.003410020610124314,0.0099309314511703,1.3877561288056928,-0.10854435584074551,0.13620965971488608
flujo_spot,validacion_2023,0.5,41,0.5121951219512195,51.21951219512195,60.97560975609756,0.0034514730992066377,0.011236527459665635,1.389097267202466,-0.10336518222388935,0.13443913942670394
flujo_spot,validacion_2024,0.4,146,0.4315068493150685,43.15068493150685,54.109589041095894,0.003703555499494257,0.002639225169160598,1.511140064516182,-0.09712451615351447,0.6497831299922439
flujo_spot,validacion_2024,0.42,130,0.46153846153846156,46.15384615384615,59.23076923076923,0.004127534491463495,0.0036694840222176736,1.570160359699161,-0.11861221879850714,0.6481286473657459
flujo_spot,validacion_2024,0.44,115,0.4608695652173913,46.08695652173913,58.26086956521739,0.0033903210933885304,0.0033949161272605064,1.4595688987482196,-0.16111595430210357,0.4304074084671716
flujo_spot,validacion_2024,0.46,95,0.47368421052631576,47.368421052631575,61.05263157894737,0.0037658578988084696,0.004251556016597547,1.5006909059477997,-0.13740983587555589,0.38866773466009885
flujo_spot,validacion_2024,0.48,83,0.5060240963855421,50.602409638554214,55.42168674698795,0.0034311423817016424,0.004773280445256823,1.4487791917740138,-0.15872074036661776,0.29708027675073057
flujo_spot,validacion_2024,0.5,76,0.5,50.0,60.526315789473685,0.004017194344460488,0.007761583681701989,1.5030407399437602,-0.17470417269320326,0.32237274155781326
flujo_spot_misma_muestra,validacion_2023,0.4,101,0.42574257425742573,42.57425742574257,62.37623762376238,0.004646304915685498,0.00559904859501359,1.7371036990477637,-0.1260842900652217,0.5509326592880761
flujo_spot_misma_muestra,validacion_2023,0.42,76,0.4868421052631579,48.68421052631579,60.526315789473685,0.004483867574730439,0.006147929769483641,1.645087665177719,-0.11954837735915302,0.37121062566994834
flujo_spot_misma_muestra,validacion_2023,0.44,64,0.515625,51.5625,62.5,0.004652013887460036,0.005789962950256356,1.6411048896813252,-0.12061147644608294,0.31486427253973237
flujo_spot_misma_muestra,validacion_2023,0.46,58,0.5172413793103449,51.724137931034484,60.3448275862069,0.0030893910940791914,0.004625733140025013,1.3806999490267153,-0.158134784013378,0.1703825860912438
flujo_spot_misma_muestra,validacion_2023,0.48,48,0.4583333333333333,45.83333333333333,60.416666666666664,0.0015538788640142183,0.006886425671412844,1.1842488564213185,-0.16301946296135905,0.06166452369887221
flujo_spot_misma_muestra,validacion_2023,0.5,43,0.4883720930232558,48.837209302325576,60.46511627906976,0.002972183687696607,0.006008276780356981,1.411627642414258,-0.10154738407286623,0.1233159929764196
flujo_spot_misma_muestra,validacion_2024,0.4,156,0.4230769230769231,42.30769230769231,52.56410256410257,0.0025290109176493067,0.0011420669590336283,1.3157670554881908,-0.18358768962656946,0.4185747298058935
flujo_spot_misma_muestra,validacion_2024,0.42,137,0.46715328467153283,46.715328467153284,54.01459854014598,0.004041236618281341,0.00223733972758955,1.4928608538457686,-0.12062779006455338,0.6625606852110242
flujo_spot_misma_muestra,validacion_2024,0.44,117,0.49572649572649574,49.572649572649574,60.68376068376068,0.004808425598450097,0.003901366203496016,1.6696333445266622,-0.11025930702608178,0.694262284998268
flujo_spot_misma_muestra,validacion_2024,0.46,99,0.494949494949495,49.494949494949495,56.56565656565656,0.003444296891924548,0.002784672890196683,1.4263321778070814,-0.1722487051880125,0.36031826400639844
flujo_spot_misma_muestra,validacion_2024,0.48,86,0.5116279069767442,51.162790697674424,55.81395348837209,0.0029802674771078935,0.0036929655870566744,1.3414308190097708,-0.17161147982118197,0.2535546835505247
flujo_spot_misma_muestra,validacion_2024,0.5,78,0.5,50.0,60.256410256410255,0.0041997893167816215,0.003964759923365647,1.5218849695179908,-0.13033864256348937,0.3492422911871089
flujo_spot_futuros,validacion_2023,0.4,115,0.4782608695652174,47.82608695652174,62.60869565217392,0.005411291482220699,0.004022433840972562,2.125833498296808,-0.10179512558900017,0.8145977842078211
flujo_spot_futuros,validacion_2023,0.42,102,0.47058823529411764,47.05882352941176,63.725490196078425,0.00509132126804963,0.004292559424807219,1.8807485076427106,-0.10340975060310975,0.633492906415767
flujo_spot_futuros,validacion_2023,0.44,84,0.4642857142857143,46.42857142857143,61.904761904761905,0.004717046317577573,0.0059650718183537075,1.7174105705229734,-0.10926087472472046,0.4485030857067476
flujo_spot_futuros,validacion_2023,0.46,75,0.44,44.0,60.0,0.004720537746941746,0.00442879659392459,1.7256295483342867,-0.11402890516018471,0.3920936871629712
flujo_spot_futuros,validacion_2023,0.48,64,0.4375,43.75,56.25,0.004340114961195138,0.004292559424807219,1.637106164872898,-0.11299180198651193,0.292766610493828
flujo_spot_futuros,validacion_2023,0.5,58,0.4827586206896552,48.275862068965516,60.3448275862069,0.004108936656517335,0.005672424332526017,1.6801195430314944,-0.11299180198651204,0.2522136890142599
flujo_spot_futuros,validacion_2024,0.4,139,0.43884892086330934,43.884892086330936,54.67625899280576,0.001689967957269505,0.0021479110349230677,1.2015717409405982,-0.16463549050907977,0.21303390618192153
flujo_spot_futuros,validacion_2024,0.42,120,0.4666666666666667,46.666666666666664,59.166666666666664,0.0022668372478716874,0.005085920561846536,1.2730339877994241,-0.16432408459484693,0.2646606333391617
flujo_spot_futuros,validacion_2024,0.44,111,0.5225225225225225,52.25225225225225,62.16216216216216,0.003095211823656005,0.005185741204273398,1.3974130856499258,-0.12168407831221117,0.36557608611878645
flujo_spot_futuros,validacion_2024,0.46,95,0.4842105263157895,48.421052631578945,56.84210526315789,0.002557582386390139,0.002774534807074792,1.3114732999542897,-0.12522430214284352,0.2366647325375606
flujo_spot_futuros,validacion_2024,0.48,87,0.5172413793103449,51.724137931034484,57.47126436781609,0.0042193211919015665,0.003901366203496016,1.5755629565763307,-0.12381950185199753,0.40222608620422706
flujo_spot_futuros,validacion_2024,0.5,79,0.5443037974683544,54.43037974683544,55.69620253164557,0.005256781307177063,0.003901366203496016,1.7275553807068236,-0.11759474988259389,0.47226763600232324
