variante,variable_macro,pliegue,meses_con_operaciones,meses_positivos,porcentaje_meses_positivos,peso_maximo_mes_retorno_absoluto
v41_dolar,impulso_dolar_amplio_20s,validacion_2023,12,9,75.0,0.21020188143562624
v41_dolar,impulso_dolar_amplio_20s,validacion_2024,12,6,50.0,0.21273534527319599
v41_tipo_real,impulso_rendimiento_real_10y_20s,validacion_2023,12,9,75.0,0.15983615127224488
v41_tipo_real,impulso_rendimiento_real_10y_20s,validacion_2024,12,9,75.0,0.2471574531872621
v41_credito,impulso_spread_baa_20s,validacion_2023,12,8,66.66666666666666,0.22894715166235582
v41_credito,impulso_spread_baa_20s,validacion_2024,12,9,75.0,0.25805039647752226
v41_vix,impulso_vix_20s,validacion_2023,11,9,81.81818181818183,0.19213688812368793
v41_vix,impulso_vix_20s,validacion_2024,12,8,66.66666666666666,0.2246524652257308
v41_nasdaq,retorno_nasdaq100_20s,validacion_2023,12,10,83.33333333333334,0.18933330287582129
v41_nasdaq,retorno_nasdaq100_20s,validacion_2024,12,8,66.66666666666666,0.20244664929306988
v41_reservas_fed,impulso_reservas_fed_4s,validacion_2023,12,11,91.66666666666666,0.19950321107228075
v41_reservas_fed,impulso_reservas_fed_4s,validacion_2024,12,9,75.0,0.2234964747006378
v45_dolar,impulso_dolar_amplio_20s,validacion_2023,12,10,83.33333333333334,0.22381763464102877
v45_dolar,impulso_dolar_amplio_20s,validacion_2024,12,10,83.33333333333334,0.2417106457396276
v45_tipo_real,impulso_rendimiento_real_10y_20s,validacion_2023,12,8,66.66666666666666,0.26542859862526996
v45_tipo_real,impulso_rendimiento_real_10y_20s,validacion_2024,12,9,75.0,0.201053965234703
v45_credito,impulso_spread_baa_20s,validacion_2023,11,7,63.63636363636363,0.30936332649116766
v45_credito,impulso_spread_baa_20s,validacion_2024,12,9,75.0,0.2034672103695097
v45_vix,impulso_vix_20s,validacion_2023,12,11,91.66666666666666,0.1983898355432439
v45_vix,impulso_vix_20s,validacion_2024,12,9,75.0,0.18236022360286255
v45_nasdaq,retorno_nasdaq100_20s,validacion_2023,12,10,83.33333333333334,0.2754736423328853
v45_nasdaq,retorno_nasdaq100_20s,validacion_2024,12,9,75.0,0.16517654362737832
v45_reservas_fed,impulso_reservas_fed_4s,validacion_2023,12,11,91.66666666666666,0.29269566779562206
v45_reservas_fed,impulso_reservas_fed_4s,validacion_2024,12,8,66.66666666666666,0.25679781680580227
