variante,base,variable_macro,pliegue,umbral,es_umbral_base,operaciones,precision,porcentaje_acierto,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto
v41_control_macro,v41,,validacion_2023,0.4,False,116,0.4396551724137931,43.96551724137931,62.06896551724138,0.003457646051167374,0.003617562342653092,1.5936548743384986,-0.14124803789721208,0.4507058718800454
v41_control_macro,v41,,validacion_2023,0.42,False,96,0.4375,43.75,61.458333333333336,0.004507771535880324,0.004156769772228786,1.7770952899491752,-0.09683032472541164,0.5018299448494952
v41_control_macro,v41,,validacion_2023,0.44,True,77,0.4935064935064935,49.35064935064935,66.23376623376623,0.005575917712559872,0.006028209058902668,1.972432576846761,-0.0825551938323894,0.5017452615059688
v41_control_macro,v41,,validacion_2023,0.46,False,58,0.5862068965517241,58.620689655172406,65.51724137931035,0.005591013174075378,0.008002448871905599,1.9004115237208536,-0.0819542543919598,0.35798378716563595
v41_control_macro,v41,,validacion_2023,0.48,False,49,0.5306122448979592,53.06122448979592,63.26530612244898,0.004868555171525984,0.007379562301136234,1.6445625810611824,-0.09397968399845313,0.24758347631657407
v41_control_macro,v41,,validacion_2023,0.5,False,41,0.5121951219512195,51.21951219512195,63.41463414634146,0.003123618442117512,0.011236527459665635,1.389574923941295,-0.11207996841430234,0.1218841284625003
v41_control_macro,v41,,validacion_2024,0.4,False,164,0.38414634146341464,38.41463414634146,53.65853658536586,0.001398415712671945,0.0005426315333606499,1.1599816362812883,-0.23676372348774533,0.19890752082815855
v41_control_macro,v41,,validacion_2024,0.42,False,144,0.4791666666666667,47.91666666666667,60.416666666666664,0.004068884530393176,0.0044514267495408,1.5512673416561313,-0.09523061224235163,0.7234822485808359
v41_control_macro,v41,,validacion_2024,0.44,True,126,0.46825396825396826,46.82539682539682,60.317460317460316,0.0028652927343018916,0.0053591266025493365,1.348079626823793,-0.13233030283786018,0.38081383526100554
v41_control_macro,v41,,validacion_2024,0.46,False,105,0.45714285714285713,45.714285714285715,56.19047619047619,0.0017167147868277608,0.002784672890196683,1.2016420036859476,-0.21986805430664746,0.1602804524872372
v41_control_macro,v41,,validacion_2024,0.48,False,96,0.5208333333333334,52.083333333333336,56.25,0.0029933874316718755,0.004398889746356272,1.3661095300578923,-0.1886718280363784,0.2937529543948749
v41_control_macro,v41,,validacion_2024,0.5,False,85,0.5294117647058824,52.94117647058824,57.647058823529406,0.004171063281596751,0.007643789605400354,1.5037759582505448,-0.16865423286906334,0.3853658529454034
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2023,0.4,False,101,0.43564356435643564,43.56435643564357,63.366336633663366,0.00402242161641862,0.004156322255689849,1.682986523446161,-0.09916866028811788,0.4610546935570419
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2023,0.42,False,81,0.5555555555555556,55.55555555555556,62.96296296296296,0.004807172190863866,0.006028209058902668,1.7914189765096111,-0.09379914774441866,0.440830585881016
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2023,0.44,True,59,0.576271186440678,57.6271186440678,64.40677966101694,0.005087625899783331,0.008625335442674964,1.715924112873901,-0.08927138044768801,0.32265102068889684
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2023,0.46,False,51,0.5490196078431373,54.90196078431373,64.70588235294117,0.005903770422399134,0.010675536184517997,1.7489533433109232,-0.09921307046074668,0.32382426639838124
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2023,0.48,False,40,0.5,50.0,60.0,0.0025507723673395544,0.0099309314511703,1.280544349519184,-0.11456743646718293,0.09132810405106229
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2023,0.5,False,38,0.47368421052631576,47.368421052631575,57.89473684210527,0.0006209067798546195,0.006010865311075309,1.0637292751616707,-0.15327831374780243,0.009858496323356114
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2024,0.4,False,153,0.43790849673202614,43.790849673202615,57.51633986928104,0.003109573178884371,0.0030844012517728956,1.3825250998146508,-0.15892351962656426,0.534463809516049
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2024,0.42,False,137,0.46715328467153283,46.715328467153284,59.854014598540154,0.003523287361554066,0.004149854010419563,1.4681119841673942,-0.13216288030259793,0.5590612572506579
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2024,0.44,True,114,0.47368421052631576,47.368421052631575,57.89473684210527,0.0018235843876668752,0.0030084626873395645,1.2115879645421723,-0.16028028888899815,0.18989822383708765
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2024,0.46,False,97,0.4948453608247423,49.48453608247423,55.670103092783506,0.0015049305084788946,0.0033949161272605064,1.1627903391561718,-0.1881757064785603,0.12238885494551544
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2024,0.48,False,82,0.524390243902439,52.4390243902439,56.09756097560976,0.0032646722618735104,0.004958988804342091,1.3887696221742873,-0.15131524314408884,0.2725900307530309
v41_dolar,v41,impulso_dolar_amplio_20s,validacion_2024,0.5,False,77,0.5064935064935064,50.649350649350644,54.54545454545454,0.002314379174016059,0.004931877689264509,1.2735429736779313,-0.17768261652221762,0.16780100358533256
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2023,0.4,False,127,0.4094488188976378,40.94488188976378,56.69291338582677,0.003759181540651929,0.002881710454513021,1.6788617601660076,-0.11614329093261688,0.5623450860309833
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2023,0.42,False,107,0.45794392523364486,45.794392523364486,62.616822429906534,0.0044781235141185755,0.004156322255689849,1.7433828502371482,-0.11808199619107218,0.5669784859876701
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2023,0.44,True,82,0.4634146341463415,46.34146341463415,60.97560975609756,0.004730122344714837,0.004292559424807219,1.7494466296860207,-0.11127333635859382,0.4382276738096449
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2023,0.46,False,65,0.5384615384615384,53.84615384615385,61.53846153846154,0.004492000204215105,0.00442879659392459,1.6679708955485328,-0.08930735072247453,0.31165469990009576
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2023,0.48,False,51,0.5294117647058824,52.94117647058824,60.78431372549019,0.0033405822540666917,0.006011188002630009,1.415273863787041,-0.12653603009074021,0.16525221596477913
v41_tipo_real,v41,impulso_rendimiento_real_10y_20s,validacion_2023,0.5,False,44,0.5227272727272727,52.27272727272727,61.36363636363637,0.003930214808027282,0.009911351946400027,1.4605270042194847,-0.10336518222388968,0.16878638163784632
