comparacion,semilla,control,candidata,umbral,variable_macro,operaciones_minimas_candidata,retorno_minimo_candidata,factor_minimo_candidata,mediana_minima_candidata,retencion_retorno_peor_ano,retencion_factor_peor_ano,mejora_retorno_media,mejora_factor_media,mejora_drawdown_peor,coeficiente_validacion_2023,coeficiente_validacion_2024,signo_estable,concentracion_mensual_maxima,aprueba_semilla
v41_reservas_044,11,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,51,0.002445972299317242,1.2844619707277545,0.0029614586956422393,0.9235853607676974,0.960021341815618,-0.0475580336852065,-0.02229092941631583,-0.035438012217503756,0.04437354545879695,0.06735442415844357,True,0.2050578764926026,False
v41_reservas_044,23,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,39,0.0023920412185708096,1.2842302078737293,0.0025243819395103237,0.7629191605678757,0.8578477370565643,-0.09114945723845941,-0.07323487814764384,-0.04066379835943734,0.027147707434098337,0.05719837060439264,True,0.22586703824920332,False
v41_reservas_044,42,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,76,0.004083354603700438,1.526315689386557,0.004480120401746502,1.0793293612366597,1.0483340287259009,0.25221920512057383,0.09027440854659585,-0.004104444159694576,0.0413181893071168,0.05580138140141365,True,0.2234964747006378,True
v41_reservas_044,77,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,79,0.002934715359930609,1.3406480644575034,0.0037223402236415968,0.9531793246623922,0.9791449191305376,0.08537415940944076,0.03581471603593672,-0.03207907855262537,0.051338419870980964,0.07149028774795144,True,0.3034043918167798,False
v41_reservas_044,101,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,67,0.0025473211618872497,1.3711744619674726,0.00347994238720395,1.1124964980082424,1.026983205164272,6.576050161497324,0.18328168232064557,0.0006611893803950553,0.03752581646151821,0.05866571396867858,True,0.19791222215277435,True
v41_vix_042,11,v41_control_macro,v41_vix,0.42,impulso_vix_20s,61,0.0010337520710770793,1.1367431824623255,0.0023572104018912974,0.36494810372448877,0.7980052731909336,-0.48914659032712,-0.17135311164958283,-0.0329010808997352,0.05713392787812854,0.01917986579750834,True,0.1959262578379373,False
v41_vix_042,23,v41_control_macro,v41_vix,0.42,impulso_vix_20s,54,0.0016185462223547319,1.208006858952298,0.002822106162851724,0.2927634884628786,0.6407813212914854,0.20265264581450287,-0.053178292133735094,-0.013825463184858555,0.07901048529367517,0.029669889387145702,True,0.24879532492864526,False
v41_vix_042,42,v41_control_macro,v41_vix,0.42,impulso_vix_20s,97,0.004456190605117999,1.6087844427654503,0.004480120401746502,1.09518728581059,1.0370774911356762,0.1386971348986643,0.08484442880967902,-0.00831046942438729,0.06525746309608838,0.023156507358788637,True,0.18686088758545008,True
v41_vix_042,77,v41_control_macro,v41_vix,0.42,impulso_vix_20s,121,0.0023874472798252797,1.278776099396991,0.0026944093467019545,0.6965774347530546,0.8143910718682501,-0.24967917172704862,-0.12255193952381593,-0.00022787670949853123,0.056118420170440456,0.022949024485848055,True,0.33409771576381253,False
v41_vix_042,101,v41_control_macro,v41_vix,0.42,impulso_vix_20s,76,0.0031198490105600867,1.3474491971240068,0.002784672890196683,1.1793658532952807,1.0373903992922067,0.35707541912849194,0.14049298196242055,0.026720804238012485,0.0638775061403499,0.027232649175582276,True,0.2948973347070054,True
v45_reservas_044,11,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,49,0.001386343587261382,1.1696331077626232,0.0039144017810843765,0.3192302569234089,0.7308268782972064,-0.5994207021695493,-0.2145091514986357,-0.047814082496642984,0.04388819219026584,0.06612101933238748,True,0.20692758448310108,False
v45_reservas_044,23,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,56,0.001243685467806421,1.1378448217917883,0.002757173870690078,0.6760078026773093,0.9026600157696734,-0.06781233565426648,-0.0398057102146161,-0.0030177072036474684,0.052200006098035025,0.05715511847230301,True,0.26885598304874514,False
v45_reservas_044,42,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,76,0.004536510836040426,1.62724057658126,0.004368912075873089,0.9993345512723564,1.0803091856590885,0.16870579899124938,0.09759336052898004,0.02725357767815917,0.05017407827196387,0.05785637178139745,True,0.2338259619586975,True
v45_reservas_044,77,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,66,0.002744839607815825,1.3264451504566783,0.00403864568454615,0.8574424209337622,0.8901127848473374,-0.11094531195759932,-0.07653384022590093,-0.0490043864742814,0.06391040259399901,0.07090202961250752,True,0.28182487578402726,False
v45_reservas_044,101,v45_control_macro,v45_reservas_fed,0.44,impulso_reservas_fed_4s,40,0.0037253789173012485,1.459961747251804,0.004081208727909403,0.9352361505800242,0.9678142972051197,0.47982331861232264,0.12744973788620556,-0.05144019838107228,0.05664357611775987,0.06627328404571069,True,0.23610772827058282,False
