base,variante,clave_macro,variable_macro,umbral_congelado,operaciones_minimas,retorno_minimo,factor_minimo,drawdown_peor,mediana_minima,retencion_retorno_peor_ano,mejora_relativa_retorno_minimo,mejora_relativa_factor_minimo,mejora_drawdown_absoluta,signo_coeficiente_estable,mejora_material,no_degrada,aprobada_preliminar
v41,v41_dolar,dolar,impulso_dolar_amplio_20s,0.44,59,0.0018235843876668,1.2115879645421723,-0.1602802888889981,0.0030084626873395,0.6364391204555795,-0.3635608795444205,-0.10124896153442231,-0.027949986051137993,True,False,False,False
v41,v41_tipo_real,tipo_real,impulso_rendimiento_real_10y_20s,0.44,82,0.0035676170261227,1.4505869761226908,-0.1494638430200211,0.0039735551834192,0.8483127959475013,0.24511432406645128,0.07603953598825264,-0.01713354018216101,False,True,False,False
v41,v41_credito,credito,impulso_spread_baa_20s,0.44,72,0.0040314307088931,1.5482639627674832,-0.1162714989597148,0.0061364221020979,0.7230075687473418,0.40698737711190924,0.14849592854937232,0.016058803878145303,True,True,False,False
v41,v41_vix,vix,impulso_vix_20s,0.44,71,0.0033638852636488,1.4399102960996817,-0.125176669386004,0.0044287965939245,0.7750505223158728,0.17401102630042242,0.06811961804678468,0.007153633451856101,True,True,False,False
v41,v41_nasdaq,nasdaq,retorno_nasdaq100_20s,0.44,79,0.0036868037744042,1.4495757883453686,-0.1375445854864891,0.0053591266025493,0.7947361062852619,0.28671103314076607,0.0752894409959377,-0.005214282648628998,True,True,False,False
v41,v41_reservas_fed,reservas_fed,impulso_reservas_fed_4s,0.44,76,0.0040833546037004,1.526315689386557,-0.1263229254809912,0.0044801204017465,1.0793293612366694,0.4251090490045204,0.13221478836729084,0.006007377356868904,True,True,True,True
v45,v45_dolar,dolar,impulso_dolar_amplio_20s,0.42,57,0.0030983058735809,1.3861094966571947,-0.1070424253781006,0.0058193522149089,0.5802707861505185,-0.2493567576506408,-0.11721787644494475,0.011569793420406496,True,True,False,False
v45,v45_tipo_real,tipo_real,impulso_rendimiento_real_10y_20s,0.42,78,0.0043722239023784,1.7038382411587545,-0.1130916376849368,0.0048103867930734,0.8188584034561288,0.059282220759407034,0.08513645159479499,0.005520581113570303,False,True,False,False
v45,v45_credito,credito,impulso_spread_baa_20s,0.42,60,0.0036525701672359,1.4774651512386747,-0.1570330761399068,0.0038707816124331,0.7679083916832252,-0.11507216359059502,-0.0590355041686611,-0.0384208573413997,True,False,False,False
v45,v45_vix,vix,impulso_vix_20s,0.42,82,0.00357677614175,1.491367702602837,-0.1079829025835134,0.0027654826315389,0.7249775373056428,-0.1334351901486185,-0.050181280281092144,0.010629316214993703,True,True,False,False
v45,v45_nasdaq,nasdaq,retorno_nasdaq100_20s,0.42,79,0.0040786432360761,1.6192638111795643,-0.1224343921372033,0.0041498540104195,0.7638747152778738,-0.011845147627092323,0.03127288953455154,-0.0038221733386961942,True,True,False,False
v45,v45_reservas_fed,reservas_fed,impulso_reservas_fed_4s,0.42,95,0.0039912019370617,1.5509217871629215,-0.1812336687989144,0.0033850524323338,0.7610741183607183,-0.03303002184080217,-0.012252616376027592,-0.0626214500004073,True,False,False,False
