variable,coeficiente,coeficiente_absoluto
otro_volatilidad_240m,0.42278734,0.42278734
ratio_volatilidad_240m,0.390659,0.390659
desviacion_media_cierre_30m,-0.3658342,0.3658342
volatilidad_60m,-0.29246116,0.29246116
desviacion_media_cierre_60m,0.28360265,0.28360265
cuerpos_negativos_acumulados_15m,0.28136072,0.28136072
volatilidad_15m,-0.26598632,0.26598632
volatilidad_240m,-0.2359359,0.2359359
distancia_minimo_240m,-0.22500084,0.22500084
ratio_volatilidad_60m,0.21765701,0.21765701
otro_volatilidad_60m,0.19995716,0.19995716
cuerpos_positivos_acumulados_60m,0.1853004,0.1853004
aceleracion_15m_60m,0.1775446,0.1775446
correlacion_btc_eth_60m,0.17425598,0.17425598
beta_propio_otro_240m,-0.16467276,0.16467276
rendimiento_60m,-0.16091886,0.16091886
desviacion_media_cierre_240m,0.15488444,0.15488444
beta_propio_otro_60m,-0.15171191,0.15171191
semivolatilidad_negativa_240m,0.14521644,0.14521644
divergencia_rendimiento_60m,-0.14400741,0.14400741
aceleracion_60m_240m,0.13586956,0.13586956
operaciones_relativas_30m,-0.135435,0.135435
distancia_minimo_60m,-0.13052592,0.13052592
cuerpos_negativos_acumulados_60m,-0.13042049,0.13042049
correlacion_btc_eth_240m,0.118427016,0.118427016
dia_semana_seno,0.11585599,0.11585599
pendiente_log_15m,0.11467248,0.11467248
pendiente_log_60m,-0.10641573,0.10641573
distancia_maximo_1440m,-0.10543048,0.10543048
residual_propio_otro_60m,0.10476909,0.10476909
ratio_semivolatilidad_240m,0.101418346,0.101418346
rango_relativo,-0.099827185,0.099827185
posicion_rango_60m,0.09826291,0.09826291
distancia_minimo_1440m,0.08556208,0.08556208
minuto_dia_seno,-0.084108606,0.084108606
aceleracion_5m_15m,0.07748661,0.07748661
expansion_volatilidad_60m_240m,0.07498833,0.07498833
desviacion_media_cierre_15m,-0.074919455,0.074919455
posicion_rango_1440m,0.07419315,0.07419315
residual_propio_otro_240m,-0.06939786,0.06939786
operaciones_relativas_60m,0.066935174,0.066935174
rendimiento_1m,0.06449075,0.06449075
operaciones_relativas_15m,0.06446082,0.06446082
divergencia_rendimiento_240m,0.06273953,0.06273953
operaciones_relativas_240m,0.061272625,0.061272625
semivolatilidad_positiva_60m,0.058431704,0.058431704
rendimiento_240m,0.057954364,0.057954364
dia_semana_coseno,0.056314446,0.056314446
volumen_relativo_60m,-0.052534036,0.052534036
otro_rendimiento_60m,-0.04877348,0.04877348
ruptura_maximo_60m,-0.046122465,0.046122465
divergencia_rendimiento_15m,-0.04215132,0.04215132
cuerpos_positivos_acumulados_15m,-0.041448865,0.041448865
mecha_inferior_relativa,0.041291635,0.041291635
velas_positivas_consecutivas,-0.040691722,0.040691722
operaciones_relativas_5m,-0.040262852,0.040262852
otro_rendimiento_1m,0.039583255,0.039583255
ruptura_minimo_240m,-0.039449714,0.039449714
expansion_volatilidad_15m_60m,0.037647344,0.037647344
r2_tendencia_60m,0.037043143,0.037043143
ruptura_minimo_60m,0.036855523,0.036855523
volumen_relativo_30m,0.031995732,0.031995732
semivolatilidad_negativa_60m,0.030277736,0.030277736
ratio_semivolatilidad_60m,-0.027883666,0.027883666
mecha_superior_relativa,0.025837613,0.025837613
volumen_relativo_15m,-0.025384359,0.025384359
rendimiento_15m,-0.02319239,0.02319239
otro_rendimiento_5m,-0.022300271,0.022300271
r2_tendencia_240m,0.022244684,0.022244684
rendimiento_5m,-0.021629844,0.021629844
divergencia_rendimiento_1m,0.020885587,0.020885587
distancia_maximo_240m,0.020414239,0.020414239
ruptura_maximo_240m,0.01938365,0.01938365
volatilidad_30m,0.018779043,0.018779043
volumen_relativo_5m,0.017906789,0.017906789
distancia_maximo_60m,0.016746143,0.016746143
r2_tendencia_15m,-0.015751276,0.015751276
porcentaje_velas_positivas_60m,0.013914423,0.013914423
residual_propio_otro_1440m,0.013788209,0.013788209
semivolatilidad_positiva_240m,0.013631391,0.013631391
porcentaje_velas_positivas_15m,0.012787365,0.012787365
correlacion_btc_eth_1440m,0.012618331,0.012618331
otro_rendimiento_240m,0.011316654,0.011316654
otro_rendimiento_30m,-0.0111188935,0.0111188935
divergencia_rendimiento_5m,0.010505031,0.010505031
rendimiento_30m,-0.010367303,0.010367303
velas_negativas_consecutivas,0.010025668,0.010025668
zscore_divergencia_240m,-0.010012268,0.010012268
posicion_rango_240m,0.007837826,0.007837826
zscore_divergencia_1440m,-0.0063624373,0.0063624373
proporcion_compradora_cotizacion,-0.0062161866,0.0062161866
divergencia_rendimiento_30m,0.0060577868,0.0060577868
desviacion_media_cierre_5m,-0.0059677646,0.0059677646
volumen_relativo_240m,0.0053779883,0.0053779883
proporcion_compradora_base,0.004015932,0.004015932
otro_rendimiento_15m,0.0036812774,0.0036812774
beta_propio_otro_1440m,0.0032572688,0.0032572688
volatilidad_5m,0.0024450822,0.0024450822
cuerpo_relativo,0.0024084863,0.0024084863
pendiente_log_240m,-0.0020149786,0.0020149786
minuto_dia_coseno,0.00037323104,0.00037323104
