variable,coeficiente,coeficiente_absoluto
otro_volatilidad_240m,0.38843662,0.38843662
ratio_volatilidad_240m,0.3672533,0.3672533
volatilidad_60m,-0.3214607,0.3214607
desviacion_media_cierre_30m,-0.2977316,0.2977316
distancia_minimo_240m,-0.27467257,0.27467257
desviacion_media_cierre_60m,0.26456383,0.26456383
volatilidad_240m,-0.2555537,0.2555537
volatilidad_15m,-0.22944087,0.22944087
cuerpos_negativos_acumulados_15m,0.21699238,0.21699238
ratio_volatilidad_60m,0.2069601,0.2069601
aceleracion_15m_60m,0.17955655,0.17955655
cuerpos_positivos_acumulados_60m,0.17599048,0.17599048
aceleracion_60m_240m,0.16870385,0.16870385
correlacion_btc_eth_60m,0.16657948,0.16657948
desviacion_media_cierre_240m,0.1604551,0.1604551
beta_propio_otro_60m,-0.15142483,0.15142483
otro_volatilidad_60m,0.14753312,0.14753312
rendimiento_60m,-0.14374444,0.14374444
beta_propio_otro_240m,-0.13913816,0.13913816
rango_relativo,-0.13760352,0.13760352
operaciones_relativas_30m,-0.13367331,0.13367331
correlacion_btc_eth_240m,0.1300584,0.1300584
divergencia_rendimiento_60m,-0.12379187,0.12379187
semivolatilidad_negativa_240m,0.11585128,0.11585128
distancia_minimo_60m,-0.11398859,0.11398859
pendiente_log_15m,0.11350565,0.11350565
dia_semana_seno,0.10910975,0.10910975
pendiente_log_60m,-0.10191611,0.10191611
distancia_maximo_1440m,-0.09837646,0.09837646
posicion_rango_60m,0.09144219,0.09144219
expansion_volatilidad_60m_240m,0.09094251,0.09094251
ratio_semivolatilidad_240m,0.08877766,0.08877766
volumen_relativo_60m,-0.08808867,0.08808867
desviacion_media_cierre_15m,-0.08657729,0.08657729
minuto_dia_seno,-0.08559099,0.08559099
aceleracion_5m_15m,0.08408996,0.08408996
distancia_minimo_1440m,0.08371365,0.08371365
semivolatilidad_positiva_60m,0.0824563,0.0824563
rendimiento_240m,0.0811548,0.0811548
cuerpos_negativos_acumulados_60m,-0.074580185,0.074580185
operaciones_relativas_15m,0.067511745,0.067511745
semivolatilidad_positiva_240m,0.0666436,0.0666436
posicion_rango_1440m,0.06509941,0.06509941
operaciones_relativas_60m,0.063577205,0.063577205
residual_propio_otro_60m,0.062415443,0.062415443
divergencia_rendimiento_240m,0.058251336,0.058251336
ruptura_maximo_60m,-0.053157862,0.053157862
ruptura_minimo_240m,-0.05148868,0.05148868
dia_semana_coseno,0.050759487,0.050759487
volumen_relativo_15m,-0.048862837,0.048862837
volumen_relativo_240m,-0.04871208,0.04871208
rendimiento_1m,0.04643461,0.04643461
otro_rendimiento_60m,-0.046088457,0.046088457
operaciones_relativas_240m,0.045193084,0.045193084
expansion_volatilidad_15m_60m,0.044962138,0.044962138
residual_propio_otro_240m,-0.04455532,0.04455532
volumen_relativo_30m,0.04443022,0.04443022
rendimiento_5m,-0.044037532,0.044037532
velas_positivas_consecutivas,-0.042924635,0.042924635
ratio_semivolatilidad_60m,-0.04274616,0.04274616
cuerpos_positivos_acumulados_15m,-0.04234752,0.04234752
volumen_relativo_5m,0.0412579,0.0412579
distancia_maximo_240m,0.038305778,0.038305778
r2_tendencia_240m,0.03747234,0.03747234
divergencia_rendimiento_15m,-0.036155913,0.036155913
otro_rendimiento_5m,-0.03369347,0.03369347
otro_rendimiento_240m,0.031504452,0.031504452
volatilidad_5m,0.029322278,0.029322278
r2_tendencia_60m,0.027574683,0.027574683
otro_rendimiento_1m,0.026150472,0.026150472
mecha_inferior_relativa,0.02605082,0.02605082
rendimiento_15m,-0.023931993,0.023931993
otro_rendimiento_30m,-0.019561179,0.019561179
divergencia_rendimiento_1m,0.019462382,0.019462382
posicion_rango_240m,-0.018567557,0.018567557
r2_tendencia_15m,-0.017228186,0.017228186
rendimiento_30m,-0.015758684,0.015758684
distancia_maximo_60m,0.01485517,0.01485517
correlacion_btc_eth_1440m,0.014767551,0.014767551
divergencia_rendimiento_30m,0.014364427,0.014364427
desviacion_media_cierre_5m,0.013261176,0.013261176
pendiente_log_240m,0.011419357,0.011419357
operaciones_relativas_5m,-0.009639999,0.009639999
ruptura_maximo_240m,-0.00920136,0.00920136
zscore_divergencia_240m,-0.009015049,0.009015049
porcentaje_velas_positivas_60m,0.007818528,0.007818528
mecha_superior_relativa,0.007601446,0.007601446
proporcion_compradora_cotizacion,-0.007193342,0.007193342
porcentaje_velas_positivas_15m,-0.006752655,0.006752655
residual_propio_otro_1440m,0.006583426,0.006583426
beta_propio_otro_1440m,-0.00556561,0.00556561
volatilidad_30m,-0.005260257,0.005260257
ruptura_minimo_60m,-0.0045333407,0.0045333407
cuerpo_relativo,-0.004071555,0.004071555
proporcion_compradora_base,0.0031101513,0.0031101513
velas_negativas_consecutivas,0.0027400155,0.0027400155
semivolatilidad_negativa_60m,-0.002457874,0.002457874
zscore_divergencia_1440m,-0.0020638104,0.0020638104
divergencia_rendimiento_5m,-0.0013403336,0.0013403336
minuto_dia_coseno,-0.0009797503,0.0009797503
otro_rendimiento_15m,2.4147132e-05,2.4147132e-05
