variable,coeficiente,coeficiente_absoluto
otro_volatilidad_240m,0.3132282,0.3132282
ratio_volatilidad_60m,0.25757018,0.25757018
ratio_volatilidad_240m,0.24731745,0.24731745
beta_propio_otro_60m,-0.23606622,0.23606622
desviacion_media_cierre_60m,0.22855954,0.22855954
desviacion_media_cierre_30m,-0.20816527,0.20816527
posicion_rango_1440m,0.20194575,0.20194575
distancia_maximo_1440m,-0.18968368,0.18968368
aceleracion_15m_60m,0.18764259,0.18764259
correlacion_btc_eth_60m,0.17370677,0.17370677
aceleracion_60m_240m,0.17062987,0.17062987
desviacion_media_cierre_240m,0.16855317,0.16855317
distancia_minimo_240m,-0.16255304,0.16255304
volatilidad_15m,-0.15753053,0.15753053
volatilidad_60m,-0.15316792,0.15316792
rendimiento_60m,-0.13228159,0.13228159
divergencia_rendimiento_240m,0.12542503,0.12542503
desviacion_media_cierre_15m,-0.1247962,0.1247962
dia_semana_seno,0.12174319,0.12174319
operaciones_relativas_60m,0.11895034,0.11895034
residual_propio_otro_240m,-0.113764435,0.113764435
rendimiento_240m,0.11366573,0.11366573
volumen_relativo_60m,-0.113298856,0.113298856
semivolatilidad_negativa_60m,0.111811444,0.111811444
divergencia_rendimiento_60m,-0.1103847,0.1103847
correlacion_btc_eth_240m,0.10985533,0.10985533
posicion_rango_60m,0.10438266,0.10438266
semivolatilidad_positiva_240m,-0.100904666,0.100904666
posicion_rango_240m,-0.09939984,0.09939984
cuerpos_negativos_acumulados_15m,0.09936132,0.09936132
volatilidad_240m,-0.09865091,0.09865091
ratio_semivolatilidad_240m,0.09799541,0.09799541
operaciones_relativas_30m,-0.09268495,0.09268495
distancia_minimo_60m,-0.08675061,0.08675061
minuto_dia_seno,-0.08175049,0.08175049
pendiente_log_15m,0.07938618,0.07938618
rendimiento_15m,-0.073337905,0.073337905
expansion_volatilidad_15m_60m,0.06328015,0.06328015
ruptura_maximo_60m,-0.05997555,0.05997555
beta_propio_otro_240m,-0.057807382,0.057807382
operaciones_relativas_15m,0.057394754,0.057394754
semivolatilidad_positiva_60m,0.057267684,0.057267684
porcentaje_velas_positivas_60m,0.05582016,0.05582016
rendimiento_1m,0.05490327,0.05490327
pendiente_log_60m,-0.054901335,0.054901335
otro_volatilidad_60m,0.054774784,0.054774784
cuerpos_negativos_acumulados_60m,0.054303456,0.054303456
volatilidad_30m,0.049395986,0.049395986
dia_semana_coseno,0.046668388,0.046668388
cuerpos_positivos_acumulados_60m,-0.045082707,0.045082707
otro_rendimiento_60m,-0.044253618,0.044253618
otro_rendimiento_1m,0.04379809,0.04379809
residual_propio_otro_1440m,0.042782422,0.042782422
aceleracion_5m_15m,0.042684577,0.042684577
divergencia_rendimiento_15m,-0.04193422,0.04193422
distancia_maximo_60m,-0.041893326,0.041893326
residual_propio_otro_60m,0.041604303,0.041604303
operaciones_relativas_5m,-0.04104514,0.04104514
mecha_superior_relativa,-0.03774424,0.03774424
otro_rendimiento_15m,-0.035346903,0.035346903
expansion_volatilidad_60m_240m,0.031565566,0.031565566
rendimiento_5m,-0.030527985,0.030527985
volatilidad_5m,-0.028983003,0.028983003
porcentaje_velas_positivas_15m,0.028202381,0.028202381
beta_propio_otro_1440m,-0.026369771,0.026369771
volumen_relativo_30m,0.025579192,0.025579192
rendimiento_30m,-0.025284026,0.025284026
zscore_divergencia_240m,-0.024376022,0.024376022
volumen_relativo_240m,0.022963032,0.022963032
rango_relativo,-0.021964509,0.021964509
ruptura_minimo_60m,0.021891551,0.021891551
otro_rendimiento_5m,-0.021750677,0.021750677
pendiente_log_240m,-0.021697136,0.021697136
otro_rendimiento_240m,0.02094649,0.02094649
velas_positivas_consecutivas,-0.020363264,0.020363264
ratio_semivolatilidad_60m,-0.017900359,0.017900359
r2_tendencia_15m,-0.017012173,0.017012173
ruptura_maximo_240m,0.01584167,0.01584167
velas_negativas_consecutivas,-0.015624293,0.015624293
zscore_divergencia_1440m,0.015221641,0.015221641
mecha_inferior_relativa,0.015178156,0.015178156
proporcion_compradora_cotizacion,-0.014684466,0.014684466
otro_rendimiento_30m,-0.014211658,0.014211658
semivolatilidad_negativa_240m,-0.013880617,0.013880617
volumen_relativo_15m,0.013677144,0.013677144
cuerpo_relativo,-0.012537842,0.012537842
divergencia_rendimiento_30m,-0.010284978,0.010284978
desviacion_media_cierre_5m,0.010172729,0.010172729
distancia_minimo_1440m,0.00859248,0.00859248
r2_tendencia_240m,0.008348831,0.008348831
proporcion_compradora_base,-0.0080233,0.0080233
operaciones_relativas_240m,-0.006883397,0.006883397
volumen_relativo_5m,-0.006638061,0.006638061
distancia_maximo_240m,-0.006225509,0.006225509
minuto_dia_coseno,-0.006162844,0.006162844
correlacion_btc_eth_1440m,0.004532533,0.004532533
divergencia_rendimiento_5m,-0.0040386845,0.0040386845
cuerpos_positivos_acumulados_15m,0.0033595525,0.0033595525
r2_tendencia_60m,-0.0029572092,0.0029572092
ruptura_minimo_240m,0.0017245497,0.0017245497
divergencia_rendimiento_1m,-0.0011778796,0.0011778796
