variable,coeficiente,coeficiente_absoluto
ratio_semivolatilidad_60m,-0.61386496,0.61386496
semivolatilidad_negativa_60m,-0.3165635,0.3165635
correlacion_btc_eth_240m,0.28794524,0.28794524
ratio_volatilidad_240m,0.2435903,0.2435903
beta_propio_otro_60m,-0.2362195,0.2362195
beta_propio_otro_240m,-0.23325405,0.23325405
distancia_minimo_240m,-0.22770053,0.22770053
posicion_rango_1440m,0.2207693,0.2207693
semivolatilidad_negativa_240m,0.20540276,0.20540276
correlacion_btc_eth_60m,0.19003703,0.19003703
ratio_volatilidad_60m,0.17481521,0.17481521
volatilidad_15m,-0.17337938,0.17337938
distancia_minimo_60m,-0.15134491,0.15134491
cuerpos_negativos_acumulados_60m,0.14680408,0.14680408
volatilidad_60m,0.143752,0.143752
distancia_maximo_1440m,-0.14127849,0.14127849
porcentaje_velas_positivas_60m,0.14017624,0.14017624
desviacion_media_cierre_30m,-0.12998018,0.12998018
dia_semana_seno,0.12445783,0.12445783
aceleracion_15m_60m,0.11936802,0.11936802
operaciones_relativas_60m,0.111670464,0.111670464
otro_volatilidad_60m,-0.10730876,0.10730876
semivolatilidad_positiva_240m,0.10710884,0.10710884
desviacion_media_cierre_240m,0.102731586,0.102731586
volatilidad_30m,0.098628536,0.098628536
expansion_volatilidad_60m_240m,0.098549895,0.098549895
rendimiento_240m,0.097513616,0.097513616
aceleracion_60m_240m,0.09705795,0.09705795
divergencia_rendimiento_240m,0.08896108,0.08896108
cuerpos_negativos_acumulados_15m,0.086730175,0.086730175
divergencia_rendimiento_60m,-0.08444414,0.08444414
residual_propio_otro_240m,-0.08134536,0.08134536
minuto_dia_seno,-0.08061608,0.08061608
rendimiento_60m,-0.0774722,0.0774722
cuerpos_positivos_acumulados_60m,0.07694719,0.07694719
expansion_volatilidad_15m_60m,0.07385449,0.07385449
volumen_relativo_60m,-0.07255694,0.07255694
operaciones_relativas_30m,-0.06124937,0.06124937
operaciones_relativas_240m,-0.06111745,0.06111745
residual_propio_otro_60m,0.06084079,0.06084079
distancia_maximo_240m,-0.06022971,0.06022971
pendiente_log_15m,0.058506362,0.058506362
semivolatilidad_positiva_60m,0.058201414,0.058201414
minuto_dia_coseno,-0.057082754,0.057082754
rango_relativo,-0.051538546,0.051538546
pendiente_log_240m,0.051314633,0.051314633
posicion_rango_240m,0.046798002,0.046798002
ruptura_maximo_240m,-0.04456447,0.04456447
desviacion_media_cierre_60m,0.044501994,0.044501994
pendiente_log_60m,0.035610884,0.035610884
volatilidad_5m,-0.032850355,0.032850355
desviacion_media_cierre_5m,0.032576263,0.032576263
correlacion_btc_eth_1440m,-0.030834103,0.030834103
desviacion_media_cierre_15m,-0.030624034,0.030624034
distancia_minimo_1440m,0.030395765,0.030395765
volumen_relativo_240m,-0.03012304,0.03012304
rendimiento_15m,-0.02992785,0.02992785
otro_rendimiento_240m,0.029364191,0.029364191
mecha_inferior_relativa,0.029188704,0.029188704
otro_volatilidad_240m,-0.028809806,0.028809806
ruptura_minimo_240m,-0.028300142,0.028300142
beta_propio_otro_1440m,-0.026037456,0.026037456
zscore_divergencia_1440m,-0.025721885,0.025721885
volumen_relativo_30m,0.025674338,0.025674338
otro_rendimiento_15m,-0.024891237,0.024891237
residual_propio_otro_1440m,0.024616165,0.024616165
posicion_rango_60m,0.024154507,0.024154507
cuerpo_relativo,0.024022792,0.024022792
dia_semana_coseno,0.02394785,0.02394785
r2_tendencia_60m,0.023842242,0.023842242
ratio_semivolatilidad_240m,0.023243433,0.023243433
distancia_maximo_60m,0.023169927,0.023169927
aceleracion_5m_15m,0.02257162,0.02257162
volumen_relativo_15m,-0.02213468,0.02213468
rendimiento_1m,-0.02212965,0.02212965
otro_rendimiento_1m,-0.01979334,0.01979334
volumen_relativo_5m,0.018953152,0.018953152
volatilidad_240m,-0.018713905,0.018713905
rendimiento_30m,0.018490747,0.018490747
mecha_superior_relativa,-0.017865682,0.017865682
otro_rendimiento_60m,-0.016748972,0.016748972
ruptura_minimo_60m,-0.016633326,0.016633326
otro_rendimiento_30m,0.016241774,0.016241774
ruptura_maximo_60m,-0.015216165,0.015216165
velas_positivas_consecutivas,-0.01410762,0.01410762
r2_tendencia_240m,0.01141084,0.01141084
divergencia_rendimiento_5m,-0.00874789,0.00874789
cuerpos_positivos_acumulados_15m,-0.0076310146,0.0076310146
operaciones_relativas_15m,0.006294248,0.006294248
proporcion_compradora_base,0.005961912,0.005961912
operaciones_relativas_5m,-0.005785794,0.005785794
zscore_divergencia_240m,0.0054951715,0.0054951715
velas_negativas_consecutivas,0.004278695,0.004278695
r2_tendencia_15m,-0.0039733523,0.0039733523
divergencia_rendimiento_1m,0.0038906133,0.0038906133
otro_rendimiento_5m,0.0037759382,0.0037759382
porcentaje_velas_positivas_15m,-0.0035477625,0.0035477625
divergencia_rendimiento_30m,-0.0032816713,0.0032816713
divergencia_rendimiento_15m,0.002366192,0.002366192
rendimiento_5m,-0.00093667617,0.00093667617
proporcion_compradora_cotizacion,-0.00076933583,0.00076933583
