umbral,coste,senales_validacion_2023,cobertura_validacion_2023,precision_validacion_2023,recall_validacion_2023,f1_validacion_2023,precision_lift_validacion_2023,operaciones_no_solapadas_validacion_2023,operaciones_por_dia_validacion_2023,tasa_retorno_positivo_validacion_2023,retorno_neto_medio_validacion_2023,retorno_neto_mediano_validacion_2023,factor_beneficio_validacion_2023,maximo_drawdown_validacion_2023,pr_auc_validacion_2023,pr_auc_lift_validacion_2023,senales_validacion_2024,cobertura_validacion_2024,precision_validacion_2024,recall_validacion_2024,f1_validacion_2024,precision_lift_validacion_2024,operaciones_no_solapadas_validacion_2024,operaciones_por_dia_validacion_2024,tasa_retorno_positivo_validacion_2024,retorno_neto_medio_validacion_2024,retorno_neto_mediano_validacion_2024,factor_beneficio_validacion_2024,maximo_drawdown_validacion_2024,pr_auc_validacion_2024,pr_auc_lift_validacion_2024,senales_minimo,senales_medio,senales_diferencia,cobertura_minimo,cobertura_medio,cobertura_diferencia,precision_minimo,precision_medio,precision_diferencia,recall_minimo,recall_medio,recall_diferencia,f1_minimo,f1_medio,f1_diferencia,precision_lift_minimo,precision_lift_medio,precision_lift_diferencia,operaciones_no_solapadas_minimo,operaciones_no_solapadas_medio,operaciones_no_solapadas_diferencia,operaciones_por_dia_minimo,operaciones_por_dia_medio,operaciones_por_dia_diferencia,tasa_retorno_positivo_minimo,tasa_retorno_positivo_medio,tasa_retorno_positivo_diferencia,retorno_neto_medio_minimo,retorno_neto_medio_medio,retorno_neto_medio_diferencia,retorno_neto_mediano_minimo,retorno_neto_mediano_medio,retorno_neto_mediano_diferencia,factor_beneficio_minimo,factor_beneficio_medio,factor_beneficio_diferencia,maximo_drawdown_minimo,maximo_drawdown_medio,maximo_drawdown_diferencia,pr_auc_minimo,pr_auc_medio,pr_auc_diferencia,pr_auc_lift_minimo,pr_auc_lift_medio,pr_auc_lift_diferencia,simbolo,objetivo,variante,tipo_modelo
0.05,0.0005,482231,0.9237451608021624,0.2278223506991462,0.9844884133555568,0.3700181029764661,1.065757586757636,4142,11.350558252565754,0.4051183003380009,-0.0004366580041978,-0.0012423380739055,0.741491882935526,-0.847757172141824,0.3273470757634776,1.5313362733165772,523029,0.9926155773172398,0.2866074347693914,0.9986609373438592,0.4453912593926321,1.006090333624381,4378,11.964495491716944,0.3917313841936957,-0.0005032181476293,-0.003500000026077,0.7380661052544838,-0.8945678373959046,0.3515532621225506,1.2340724484701668,482231,502630.0,40798,0.9237451608021624,0.958180369059701,0.06887041651507742,0.2278223506991462,0.2572148927342688,0.058785084070245186,0.9844884133555568,0.991574675349708,0.014172523988302377,0.3700181029764661,0.40770468118454906,0.07537315641616599,1.006090333624381,1.0359239601910084,0.05966725313325516,4142,4260.0,236,11.350558252565754,11.65752687214135,0.6139372391511895,0.3917313841936957,0.3984248422658483,0.013386916144305205,-0.0005032181476293,-0.00046993807591355,6.656014343149998e-05,-0.003500000026077,-0.00237116904999125,0.0022576619521715,0.7380661052544838,0.7397789940950049,0.0034257776810422413,-0.8945678373959046,-0.8711625047688643,0.04681066525408062,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.06,0.0005,473441,0.906907338340622,0.230928457822622,0.9797211319604996,0.3737588349414992,1.080288019008762,4091,11.210800051001089,0.3930579320459545,-0.0004766900496809,-0.0013008569711819,0.721683718766211,-0.8666254111340891,0.3273470757634776,1.5313362733165772,520738,0.9882676687163136,0.2874574162054622,0.9972352686452816,0.446274314556461,1.0090740598046846,4371,11.945365416695926,0.3948753145733242,-0.0004779807114018,-0.003500000026077,0.7500875370876934,-0.881859149507247,0.3515532621225506,1.2340724484701668,473441,497089.5,47297,0.906907338340622,0.9475875035284678,0.08136033037569157,0.230928457822622,0.2591929370140421,0.05652895838284022,0.9797211319604996,0.9884782003028906,0.017514136684781967,0.3737588349414992,0.4100165747489801,0.0725154796149618,1.0090740598046846,1.0446810394067234,0.07121395920407747,4091,4231.0,280,11.210800051001089,11.578082733848508,0.7345653656948379,0.3930579320459545,0.3939666233096394,0.001817382527369682,-0.0004779807114018,-0.00047733538054135,1.2906617209000083e-06,-0.003500000026077,-0.00240042849862945,0.0021991430548951,0.721683718766211,0.7358856279269521,0.02840381832148242,-0.881859149507247,-0.874242280320668,0.01523373837315789,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.07,0.0005,464875,0.8904986025948253,0.2335918257596128,0.9730899510726384,0.3767453236860958,1.0927473083474246,4048,11.09296470458382,0.400197628458498,-0.0004649950690772,-0.0012666073215659,0.7278429040391688,-0.8577954419878598,0.3273470757634776,1.5313362733165772,518292,0.9836255978137098,0.2883837682233181,0.9957496419173244,0.4472401880918077,1.0123258729038394,4360,11.915303870234323,0.3931192660550459,-0.0004767261887301,-0.003500000026077,0.7507443982381823,-0.8805816435252285,0.3515532621225506,1.2340724484701668,464875,491583.5,53417,0.8904986025948253,0.9370621002042676,0.09312699521888457,0.2335918257596128,0.26098779699146546,0.054791942463705334,0.9730899510726384,0.9844197964949815,0.022659690844685998,0.3767453236860958,0.4119927558889518,0.0704948644057119,1.0123258729038394,1.0525365906256319,0.08042143544358527,4048,4204.0,312,11.09296470458382,11.504134287409071,0.8223391656505044,0.3931192660550459,0.3966584472567719,0.00707836240345211,-0.0004767261887301,-0.00047086062890365,1.173111965289996e-05,-0.003500000026077,-0.00238330367382145,0.0022333927045111,0.7278429040391688,0.7392936511386756,0.02290149419901344,-0.8805816435252285,-0.8691885427565442,0.022786201537368656,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.08,0.0005,455684,0.8728926382894765,0.236556473345564,0.9659569510905603,0.3800429419085527,1.1066159900070336,4006,10.977869715059974,0.3991512730903644,-0.0004694167392638,-0.0013153309754561,0.725709523693894,-0.8573522316691409,0.3273470757634776,1.5313362733165772,515814,0.9789227966294692,0.2893891984319929,0.9944438892775056,0.4483157861541719,1.0158552775576144,4348,11.88250945591258,0.3914443422263109,-0.0004863606958304,-0.003500000026077,0.7477783661204702,-0.8850514468135711,0.3515532621225506,1.2340724484701668,455684,485749.0,60130,0.8728926382894765,0.9259077174594729,0.10603015833999274,0.236556473345564,0.26297283588877846,0.05283272508642889,0.9659569510905603,0.980200420184033,0.028486938186945254,0.3800429419085527,0.4141793640313623,0.06827284424561919,1.0158552775576144,1.0612356337823239,0.09076071244941919,4006,4177.0,342,10.977869715059974,11.430189585486277,0.9046397408526055,0.3914443422263109,0.39529780765833766,0.007706930864053496,-0.0004863606958304,-0.00047788871754709996,1.6943956566600022e-05,-0.003500000026077,-0.00240766550076655,0.0021846690506209,0.725709523693894,0.7367439449071821,0.02206884242657625,-0.8850514468135711,-0.871201839241356,0.02769921514443019,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.09,0.0005,445963,0.8542714241656275,0.2395243551595087,0.9572109611627864,0.3831679989669218,1.1204998014509275,3954,10.835371156601882,0.398583712696004,-0.0004423570657859,-0.0013684234635438,0.7426393843567624,-0.8420823440876537,0.3273470757634776,1.5313362733165772,513095,0.9737626205116526,0.2905154016312768,0.99305153059525,0.4495235223160434,1.0198086368045862,4338,11.855180777311125,0.4066390041493776,-0.0003947429660188,-0.003500000026077,0.7902521688078218,-0.8278017494198152,0.3515532621225506,1.2340724484701668,445963,479529.0,67132,0.8542714241656275,0.9140170223386401,0.11949119634602512,0.2395243551595087,0.26501987839539276,0.05099104647176811,0.9572109611627864,0.9751312458790182,0.03584056943246361,0.3831679989669218,0.4163457606414826,0.06635552334912165,1.0198086368045862,1.0701542191277569,0.10069116464634131,3954,4146.0,384,10.835371156601882,11.345275966956503,1.0198096207092426,0.398583712696004,0.4026113584226908,0.008055291453373581,-0.0004423570657859,-0.00041855001590235003,4.7614099767099986e-05,-0.003500000026077,-0.0024342117448104,0.0021315765625332,0.7426393843567624,0.7664457765822921,0.04761278445105943,-0.8420823440876537,-0.8349420467537345,0.014280594667838487,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.1,0.0005,436226,0.8356195609906539,0.2423927046989404,0.9475240604333568,0.3860319082910445,1.1339179988917878,3905,10.701093668824065,0.4051216389244558,-0.000398130945315,-0.0012535711629316,0.76651974370071,-0.8077660717279249,0.3273470757634776,1.5313362733165772,509746,0.9674068169741136,0.2919709031556893,0.991512607841178,0.4511048706450395,1.0249179460430753,4324,11.816920627269088,0.3982423681776133,-0.0004542649833553,-0.003500000026077,0.7608540706552577,-0.8666193603502956,0.3515532621225506,1.2340724484701668,436226,472986.0,73520,0.8356195609906539,0.9015131889823838,0.13178725598345964,0.2423927046989404,0.26718180392731483,0.049578198456748906,0.9475240604333568,0.9695183341372674,0.04398854740782121,0.3860319082910445,0.418568389468042,0.06507296235399501,1.0249179460430753,1.0794179724674315,0.1090000528487125,3905,4114.5,419,10.701093668824065,11.259007148046576,1.115826958445023,0.3982423681776133,0.40168200355103456,0.00687927074684247,-0.0004542649833553,-0.00042619796433515,5.613403804029997e-05,-0.003500000026077,-0.0023767855945043,0.0022464288631453997,0.7608540706552577,0.7636869071779838,0.005665673045452291,-0.8666193603502956,-0.8371927160391103,0.058853288622370714,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.11,0.0005,426365,0.8167301676694653,0.2450576384084059,0.9362868971450078,0.3884459596363291,1.1463846129459097,3852,10.555854753472548,0.4034267912772585,-0.0004198350305424,-0.0012863309874664,0.7553009060089175,-0.8199872512495665,0.3273470757634776,1.5313362733165772,505716,0.9597585971304942,0.2936766881016222,0.989420738816162,0.4529193179236407,1.030905835878264,4310,11.778660477227051,0.388631090487239,-0.0004908507073608,-0.003500000026077,0.7450871807358367,-0.8858776843404705,0.3515532621225506,1.2340724484701668,426365,466040.5,79351,0.8167301676694653,0.8882443823999797,0.1430284294610289,0.2450576384084059,0.26936716325501403,0.04861904969321629,0.9362868971450078,0.9628538179805849,0.0531338416711542,0.3884459596363291,0.4206826387799849,0.0644733582873116,1.030905835878264,1.0886452244120868,0.11547877706764575,3852,4081.0,458,10.555854753472548,11.1672576153498,1.2228057237545027,0.388631090487239,0.3960289408822487,0.014795700790019517,-0.0004908507073608,-0.0004553428689516,7.101567681839995e-05,-0.003500000026077,-0.0023931655067717,0.0022136690386106,0.7450871807358367,0.750194043372377,0.010213725273080843,-0.8858776843404705,-0.8529324677950185,0.06589043309090403,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.12,0.0005,416818,0.7984422619765956,0.2477628125464831,0.9254260981773214,0.3908768158179602,1.15903947254291,3813,10.448980834628978,0.4059795436664044,-0.0004069052173641,-0.0012339684525504,0.7624604348894553,-0.8100762340035887,0.3273470757634776,1.5313362733165772,501334,0.9514423441888712,0.2954597134844235,0.98680257153326,0.4547593865273648,1.0371648661217978,4293,11.732201723604575,0.4018169112508735,-0.0004092732058045,-0.003500000026077,0.7835645423162798,-0.8370359209400435,0.3515532621225506,1.2340724484701668,416818,459076.0,84516,0.7984422619765956,0.8749423030827335,0.15300008221227557,0.2477628125464831,0.2716112630154533,0.047696900937940406,0.9254260981773214,0.9561143348552907,0.061376473355938654,0.3908768158179602,0.4228181011726625,0.06388257070940462,1.0371648661217978,1.0981021693323538,0.12187460642111225,3813,4053.0,480,10.448980834628978,11.090591279116776,1.2832208889755972,0.4018169112508735,0.4038982274586389,0.004162632415530887,-0.0004092732058045,-0.00040808921158430004,2.367988440399977e-06,-0.003500000026077,-0.0023669842393137,0.0022660315735266003,0.7624604348894553,0.7730124886028675,0.02110410742682456,-0.8370359209400435,-0.8235560774718161,0.026959686936454785,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.13,0.0005,407790,0.7811485348795779,0.2502734250472057,0.9145563381543812,0.3930001694314803,1.1707841688461584,3754,10.28729977791691,0.3945125199786894,-0.0004771962152514,-0.0014165763040073,0.7283663120666872,-0.8445051504772816,0.3273470757634776,1.5313362733165772,496884,0.9429970393987702,0.2971015367771955,0.9834782319043336,0.4563446982869878,1.0429282286308907,4271,11.672078630681376,0.395926012643409,-0.0004502270632392,-0.003500000026077,0.7642560797047753,-0.8612109146834701,0.3515532621225506,1.2340724484701668,407790,452337.0,89094,0.7811485348795779,0.862072787139174,0.1618485045191923,0.2502734250472057,0.2736874809122006,0.046828111729989796,0.9145563381543812,0.9490172850293574,0.06892189374995239,0.3930001694314803,0.42467243385923403,0.06334452885550751,1.0429282286308907,1.1068561987385246,0.1278559402152677,3754,4012.5,517,10.28729977791691,10.979689204299143,1.384778852764466,0.3945125199786894,0.3952192663110492,0.0014134926647195734,-0.0004771962152514,-0.00046371163924530004,2.6969152012200034e-05,-0.003500000026077,-0.00245828816504215,0.0020834237220697,0.7283663120666872,0.7463111958857312,0.035889767638088044,-0.8612109146834701,-0.8528580325803758,0.016705764206188523,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
0.14,0.0005,398792,0.7639122747534188,0.2531344660875845,0.9046006057673353,0.3955751137374457,1.1841681769799142,3704,10.150281933245669,0.3982181425485961,-0.0004785268771841,-0.0014831098723225,0.7290163132118962,-0.8408872425718987,0.3273470757634776,1.5313362733165772,492027,0.9337793213391028,0.2988758746979332,0.979680890043636,0.4580210922364872,1.0491567629048666,4257,11.63381848063934,0.4014564247122387,-0.0003908195934964,-0.003500000026077,0.7928379243563809,-0.8203940939000187,0.3515532621225506,1.2340724484701668,398792,445409.5,93235,0.7639122747534188,0.8488457980462608,0.16986704658568397,0.2531344660875845,0.27600517039275885,0.0457414086103487,0.9046006057673353,0.9421407479054856,0.07508028427630076,0.3955751137374457,0.4267981029869664,0.06244597849904149,1.0491567629048666,1.1166624699423904,0.13501141407504758,3704,3980.5,553,10.150281933245669,10.892050206942503,1.4835365473936708,0.3982181425485961,0.3998372836304174,0.0032382821636425807,-0.0004785268771841,-0.00043467323534025,8.770728368769998e-05,-0.003500000026077,-0.00249155494919975,0.0020168901537545,0.7290163132118962,0.7609271187841385,0.0638216111444847,-0.8408872425718987,-0.8306406682359587,0.020493148671880013,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb
